,Name ,player_positions,overall,potential,age,value_eur,wage_eur,club_contract_valid_until,pace,passing,dribbling,defending,attacking_crossing,attacking_short_passing,skill_dribbling,skill_curve,skill_long_passing,movement_acceleration,movement_sprint_speed,defending_marking_awareness,defending_sliding_tackle,defending_standing_tackle,power_stamina,height_cm
4636,F. Peluso,"CB, LB",70,70,37,275000.0,11000.0,2022.0,49,58,59,73,68,62,59,69,62,49,49,74,72,72,59,188
16520,D. O'Reilly,"CB, LB",58,59,26,210000.0,500.0,2021.0,50,50,50,55,51,53,48,47,52,58,43,56,55,56,66,179
9906,L. Gutiérrez,"CB, LB",65,65,36,130000.0,500.0,2021.0,50,49,58,66,40,59,47,39,50,47,52,73,57,63,58,180
3096,J. Morel,"CB, LB",72,72,37,425000.0,9000.0,2024.0,50,60,57,74,56,65,51,57,64,44,54,76,72,70,60,172
5723,K. Wimmer,"CB, LB, CM",69,69,28,1200000.0,13000.0,2023.0,50,57,63,70,44,67,62,24,69,50,50,70,68,70,62,187
13380,Yang Sang Min,"CB, LB",62,62,37,70000.0,850.0,2021.0,50,61,60,61,62,61,58,60,57,53,48,62,60,61,53,182
7849,C. Burgess,"CB, LB",67,70,25,1200000.0,4000.0,2024.0,50,48,48,66,41,59,44,32,58,44,54,66,65,67,71,194
12890,E. Katayama,"LB, CB, LM",63,63,29,425000.0,1000.0,2022.0,51,55,58,61,59,66,57,33,61,64,40,58,59,64,68,180
11944,J. Álvez,"RB, CB, LB",64,64,37,130000.0,500.0,2021.0,51,57,51,66,67,60,40,57,54,56,46,66,62,70,56,173
13459,Kim Dong Woo,"CB, LB",62,62,33,190000.0,1000.0,2025.0,51,46,51,62,42,47,47,33,34,34,64,60,63,64,71,189
10320,Míchel Zabaco,"CB, LB",65,65,32,475000.0,2000.0,2022.0,51,50,46,65,52,58,38,49,54,49,53,64,65,66,66,185
7665,J. Anibaba,"CB, LB",67,67,32,650000.0,3000.0,2025.0,51,55,53,67,58,61,47,50,57,43,58,69,65,64,72,183
10877,P. Adorno,"CB, LB",65,71,25,1000000.0,500.0,2021.0,51,42,48,65,41,59,39,32,33,45,55,66,62,67,52,184
10116,Ó. Benítez,"CB, LB",65,65,30,575000.0,4000.0,2022.0,51,41,36,66,27,50,24,55,42,49,52,68,66,67,65,186
4826,B. van Hintum,"CB, LB",70,70,34,525000.0,6000.0,2022.0,52,70,64,71,73,71,60,77,70,60,45,73,68,71,62,177
14436,B. Cevahir,LB,61,61,29,300000.0,2000.0,2024.0,52,57,55,61,50,65,51,51,62,61,45,60,64,68,60,180
8703,L. Grimi,"LB, CB",66,66,36,190000.0,3000.0,2021.0,52,63,64,67,72,63,63,34,60,53,51,68,65,67,62,183
11463,J. Kramer,"CB, LB",64,68,24,750000.0,2000.0,2022.0,52,41,51,63,25,50,45,41,51,43,60,65,62,65,53,187
10382,S. Yamamoto,"LB, RB, CB",65,65,36,160000.0,950.0,2022.0,52,66,63,63,76,69,66,49,67,42,61,65,60,62,67,180
7556,L. Gerson,"LB, RB, CB",67,67,31,750000.0,2000.0,2022.0,52,68,62,64,70,70,61,70,68,55,50,64,60,65,81,187
9832,C. Daniels,"LWB, LB",65,65,34,250000.0,4000.0,2022.0,52,65,64,65,70,64,64,68,64,53,52,66,65,66,54,185
6975,Paulo Mesqueira,"CM, RB, LB",68,68,33,750000.0,7000.0,2024.0,52,71,66,64,72,75,68,68,71,52,52,62,66,68,74,175
19052,Lee Tae Suk,LB,50,69,18,110000.0,500.0,2022.0,53,35,47,48,46,34,53,34,24,50,55,42,54,53,59,174
18157,Zhang Gong,"CM, CDM, LB",54,54,29,100000.0,2000.0,2021.0,53,49,51,54,38,55,45,34,53,55,51,55,53,55,71,183
3313,S. Denswil,"CB, LB",72,74,28,2400000.0,21000.0,2022.0,53,66,65,72,58,68,63,68,70,54,52,73,71,71,65,188
8817,M. Gollner,"CB, LB",66,66,30,700000.0,3000.0,2022.0,53,44,54,67,54,53,50,13,40,55,52,68,66,68,70,184
12784,L. Gibson,"CB, LB",63,76,20,1100000.0,9000.0,2022.0,53,48,54,64,45,55,49,46,50,53,53,64,63,66,51,185
15956,D. Massey,"CB, LB",59,59,33,110000.0,500.0,2021.0,53,58,55,57,56,57,53,63,58,55,52,58,57,57,71,183
6066,T. McIntyre,"CB, LB, CDM",69,77,22,2900000.0,11000.0,2024.0,54,54,62,68,39,65,62,43,64,53,55,65,69,69,68,185
13868,R. Lamie,"CB, LB",62,62,28,350000.0,1000.0,2022.0,54,50,57,60,58,58,57,36,50,53,55,58,60,61,73,188
13623,L. Jackson,"CB, LB",62,62,26,375000.0,1000.0,2022.0,54,37,43,62,37,44,40,26,39,53,54,65,62,64,69,196
12419,A. Winkler,"CB, LB",63,63,29,400000.0,1000.0,2022.0,54,46,39,62,43,54,29,39,58,54,54,61,63,65,61,190
13727,I. Tapia,"CB, RB, LB",62,74,22,925000.0,1000.0,2022.0,54,38,39,62,30,48,29,30,36,56,52,62,60,60,65,188
15311,M. Massop,"LB, CB",60,60,27,240000.0,2000.0,2022.0,54,53,59,61,60,59,58,48,52,53,54,62,60,60,50,183
5738,Pol García,"CB, LB",69,73,26,1700000.0,5000.0,2021.0,54,65,62,70,71,65,59,67,67,53,54,68,71,70,70,185
15222,A. Al Shammari,"CB, LB",60,61,27,250000.0,3000.0,2022.0,54,48,52,60,51,55,49,40,43,51,56,59,58,61,65,186
6626,C. Forsyth,"LB, CB",68,68,32,825000.0,6000.0,2022.0,54,63,64,68,72,62,65,58,60,53,55,67,69,69,71,189
14293,I. Saravanja,"CB, LB",62,65,24,475000.0,2000.0,2022.0,54,51,47,63,52,58,42,42,48,55,54,63,62,66,51,188
5540,G. Friend,"CB, LB, LWB",69,69,33,675000.0,10000.0,2023.0,55,61,66,70,64,64,67,66,60,54,55,71,71,71,71,188
13385,J. Grounds,"CB, LB",62,62,33,190000.0,2000.0,2022.0,55,54,56,60,57,58,56,46,55,54,55,59,61,62,72,185
16397,B. Meijer,LB,59,75,18,550000.0,500.0,2023.0,55,41,44,63,51,40,40,37,39,57,54,62,65,67,54,183
13301,K. Ezekwem,"CB, LB",63,75,20,1100000.0,4000.0,2025.0,55,52,56,62,61,59,60,49,52,55,55,63,62,65,55,188
14218,Lucas Maia,"CB, LB",62,63,28,375000.0,2000.0,2021.0,55,49,56,63,33,61,55,45,55,54,55,62,65,68,70,192
3909,M. Schmelzer,LB,71,71,33,975000.0,27000.0,2022.0,55,65,65,74,70,71,63,71,63,55,55,76,73,74,55,180
6983,J. Simpson,"CB, LB",68,76,24,2500000.0,15000.0,2025.0,55,50,56,68,40,59,54,43,58,55,55,67,67,68,66,190
17665,R. Jurkovskis,"LB, RB",56,62,24,210000.0,550.0,2021.0,55,47,50,53,56,46,51,51,41,54,55,50,54,57,66,187
13685,Lee Dong Su,"CM, CDM, LB",62,63,27,450000.0,1000.0,2021.0,55,56,60,60,36,64,58,51,62,55,55,63,55,60,70,185
13509,H. Zackrisson,"CB, LB",62,65,26,450000.0,750.0,2021.0,55,50,50,60,37,59,48,43,57,54,56,59,58,63,62,189
8747,S. Eriksson,"CDM, CM, LB",66,66,32,575000.0,2000.0,2022.0,56,65,61,62,65,65,59,69,64,60,53,62,60,64,66,184
15180,I. Bermingham,"LB, CB",60,60,32,170000.0,600.0,2021.0,56,55,56,57,58,57,56,56,55,58,55,56,56,57,70,177
8296,C. Almeida,LB,67,67,31,750000.0,500.0,2022.0,56,58,60,69,58,62,62,40,55,61,51,68,73,73,70,170
14291,S. Belkorchia,"LB, CB",62,65,26,475000.0,1000.0,2022.0,56,51,48,59,66,56,39,51,48,59,53,61,64,62,61,180
14070,J. Sosa,"CB, LB",62,76,19,875000.0,500.0,2023.0,56,52,56,63,56,47,61,44,71,51,60,63,61,68,64,183
9234,T. Wada,"CDM, LB, RB",66,66,30,725000.0,4000.0,2022.0,56,66,64,62,66,73,61,39,68,55,56,62,68,66,70,170
510,J. Milner,"CM, LB, RB",79,79,35,7000000.0,76000.0,2022.0,56,81,77,77,85,82,76,81,80,60,52,77,78,80,77,175
8020,D. Romney,"CB, LB, RB",67,68,28,975000.0,3000.0,2026.0,56,57,60,66,59,61,61,54,61,57,55,67,64,67,69,188
15464,J. Nelson,"LB, LWB",60,69,22,525000.0,1000.0,2021.0,56,47,58,59,51,60,55,50,39,60,53,60,58,62,61,177
1593,Arbilla,"CB, LB, RB",75,75,34,1800000.0,11000.0,2023.0,56,71,67,74,76,71,63,82,75,48,62,68,74,78,69,178
18180,M. Al Qaydhi,"CB, LB",54,61,23,200000.0,2000.0,2022.0,56,38,42,52,37,45,37,35,37,66,47,53,52,55,65,185
10402,S. Van der Heyden,"CB, LB, CDM",65,71,23,1000000.0,3000.0,2024.0,56,54,53,64,52,61,48,35,60,52,59,64,64,67,72,185
17354,F. Yılmaz,"CB, LB",57,70,19,375000.0,1000.0,2025.0,56,30,35,61,27,36,32,29,27,59,54,59,61,64,51,182
2250,Eltildo Correia,"CB, RB, LB",74,74,29,3500000.0,28000.0,2024.0,56,61,51,76,61,67,45,54,75,50,61,79,77,75,69,188
7409,A. Carboni,"CB, LB",68,81,20,2700000.0,8000.0,2025.0,56,54,61,70,60,63,59,40,50,58,54,69,72,73,55,185
17457,D. Kane,"LB, CB",56,62,24,210000.0,500.0,2021.0,56,50,54,55,53,50,53,52,50,50,61,55,55,54,55,188
7039,M. Sørensen,"CB, LB",68,77,22,2500000.0,14000.0,2023.0,56,53,59,69,54,62,55,31,63,54,58,74,62,66,70,193
17902,J. Hernández,"LM, LB",55,64,22,275000.0,500.0,2025.0,56,52,53,47,51,57,49,31,50,55,57,48,44,49,60,172
12253,S. Ward,LB,63,63,35,150000.0,2000.0,2022.0,56,60,61,62,64,59,60,63,59,58,54,63,61,62,65,186
16047,R. McCourt,"LB, CB",59,65,23,325000.0,500.0,2021.0,57,55,59,57,54,57,60,55,54,64,51,56,55,58,63,178
6545,M. van der Maarel,"RB, CB, LB",68,68,31,875000.0,6000.0,2023.0,57,60,60,67,58,67,52,43,65,49,63,69,66,67,74,177
9090,D. Roßbach,"CB, LB",66,67,28,800000.0,4000.0,2022.0,57,53,56,66,60,58,53,36,57,53,61,64,64,67,65,187
8018,A. Al Bulayhi,"CB, LB",67,67,31,700000.0,11000.0,2023.0,57,38,43,65,30,55,34,30,30,50,63,60,70,67,70,181
3451,R. Hollingshead,"LB, RB, CB",72,72,30,2000000.0,6000.0,2021.0,58,66,69,70,65,71,72,59,67,52,63,68,69,72,84,185
539,Marcos Alonso,"LWB, LB",79,79,30,15000000.0,95000.0,2023.0,58,78,77,75,83,82,78,85,71,61,55,68,77,80,82,188
11311,B. Cargill,"CB, LB",64,67,25,700000.0,4000.0,2023.0,58,59,57,63,63,63,60,45,60,62,55,62,63,66,79,189
6384,Juan Iglesias,"RB, RM, LB",69,77,22,3000000.0,10000.0,2026.0,58,54,59,71,65,63,59,42,38,65,53,68,72,75,55,185
14742,S. Junqua,LB,61,68,24,625000.0,1000.0,2021.0,58,48,56,62,57,54,59,32,52,52,63,62,63,65,54,183
6451,G. Bong,LB,68,68,33,625000.0,17000.0,2022.0,58,66,65,70,68,68,65,64,68,56,60,70,69,71,57,187
5705,M. Wallace,"CB, LWB, LB",69,69,28,1200000.0,7000.0,2022.0,58,54,60,68,58,63,58,26,58,53,62,70,66,69,80,188
14428,D. Lafferty,"LWB, LB, LM",61,61,32,230000.0,550.0,2022.0,58,56,57,60,60,59,55,62,57,55,61,61,58,59,64,180
9039,T. Pellenard,"LB, LWB",66,67,27,900000.0,2000.0,2026.0,58,61,63,65,70,66,62,54,61,60,56,67,63,64,68,182
19070,C. Browne,LB,50,59,19,100000.0,500.0,2021.0,58,36,49,47,41,39,47,31,31,59,58,43,50,51,51,175
11429,D. Mendoza,"LB, CB",64,64,36,130000.0,500.0,2021.0,58,51,57,63,55,56,56,45,58,59,58,56,69,67,65,180
18432,Liao Chengjian,"RB, LB",53,54,27,100000.0,1000.0,2022.0,58,32,35,57,36,35,32,25,33,60,57,54,63,65,61,182
7509,J. Bornstein,LB,67,67,36,230000.0,2000.0,2026.0,58,61,65,67,66,65,65,67,56,67,50,72,66,67,64,173
11681,L. Ranieri,"CB, LB",64,77,22,1400000.0,8000.0,2022.0,58,43,60,68,49,45,68,38,36,55,61,65,71,72,49,187
15483,P. Gozzi,"CB, LB",60,76,20,600000.0,6000.0,2022.0,58,40,43,61,26,56,33,28,38,55,61,59,65,62,64,187
9134,G. Canto,"CB, LB",66,69,27,975000.0,4000.0,2022.0,58,53,53,68,62,61,52,58,53,55,61,68,66,69,71,180
12552,Kim Sung Ju,"LM, LB",63,63,30,475000.0,2000.0,2021.0,58,63,62,57,63,66,63,65,64,55,61,49,62,65,63,179
2689,C. Salcedo,"CB, RB, LB",73,75,27,3200000.0,31000.0,2022.0,58,51,60,72,28,69,57,25,65,55,60,71,71,72,75,188
13593,L. Lozoya,LB,62,62,28,350000.0,4000.0,2026.0,58,41,60,64,52,37,64,40,35,63,54,62,68,71,63,170
16257,C. Wiggett,LB,59,80,18,700000.0,2000.0,2022.0,58,37,57,62,47,31,68,40,32,62,55,62,71,67,63,173
12763,S. Schäfer,"CB, LB",63,65,27,500000.0,600.0,2023.0,58,45,50,63,36,65,41,30,42,62,55,63,59,62,65,189
14465,Park Joon Kang,"LB, RB",61,61,30,275000.0,1000.0,2022.0,59,48,64,59,61,55,62,26,52,52,64,57,56,64,63,170
11522,T. Ugajin,"LB, RB, LM",64,64,33,300000.0,3000.0,2022.0,59,64,66,60,65,66,65,64,65,71,50,59,57,60,66,172
743,J. Hector,"CDM, LB",78,78,31,10000000.0,28000.0,2023.0,59,75,75,76,78,76,74,65,75,67,53,77,77,78,78,185
3361,R. Czichos,"CB, LB",72,72,31,1600000.0,18000.0,2022.0,59,59,62,72,56,64,59,52,67,52,65,70,72,75,67,187
17885,R. Burke,LB,55,68,20,300000.0,2000.0,2022.0,59,45,50,54,48,49,49,56,40,62,57,53,56,60,62,177
14861,K. De La Hoz,"CB, RB, LB",61,68,22,625000.0,500.0,2025.0,59,39,48,61,40,50,38,36,28,56,61,57,61,66,65,172
16561,N. Walstad,LB,58,65,24,400000.0,650.0,2023.0,59,46,49,56,54,53,43,22,47,60,58,55,54,58,65,180
10614,A. Buongiorno,"CB, LB",65,76,22,1500000.0,8000.0,2024.0,59,52,54,65,55,56,51,52,47,51,66,67,66,66,64,194
19061,Niu Ziyi,LB,50,57,21,90000.0,1000.0,2021.0,59,37,46,46,46,38,50,35,29,62,57,38,56,50,54,183
10013,K. Rowe,"CM, CAM, LB",65,65,29,700000.0,2000.0,2021.0,59,67,67,57,67,68,67,69,65,58,59,53,56,61,67,173
4163,Chema Rodríguez,"CB, LB",71,72,29,1700000.0,16000.0,2023.0,59,57,60,72,48,67,54,36,67,60,58,70,74,74,63,189
17704,A. Flanagan,"LB, LM",56,64,22,300000.0,1000.0,2021.0,59,42,44,54,51,55,36,20,32,57,60,53,50,60,62,180
18576,D. Markovic,LB,53,66,19,210000.0,500.0,2022.0,59,42,52,49,49,48,54,30,42,63,56,48,50,53,63,173
17119,L. Singh,"CB, LB",57,70,19,375000.0,650.0,2025.0,59,41,41,57,29,54,32,21,45,59,59,55,54,58,52,188
16801,L. Sánchez,"CB, LB",58,66,21,425000.0,5000.0,2021.0,59,33,39,62,34,36,30,33,28,64,55,59,67,65,62,182
904,L. Cabrera,"CB, LB",77,77,30,8500000.0,19000.0,2024.0,59,59,58,78,63,63,54,50,63,63,56,78,78,78,76,190
18323,J. Stafford,"LB, CB",54,63,18,220000.0,500.0,2021.0,59,49,53,51,47,55,53,38,52,59,59,50,53,54,59,186
7802,S. Miangue,"LB, CB, LM",67,72,24,1400000.0,8000.0,2022.0,59,67,63,65,71,69,66,62,69,55,63,62,66,67,68,197
16846,T. Rapnouil,"CDM, LB, LM",58,69,20,425000.0,900.0,2024.0,59,56,61,57,59,62,62,53,54,60,58,59,55,56,46,188
12525,K. Burger,"CB, LB",63,65,26,525000.0,1000.0,2022.0,59,52,54,63,57,59,53,23,55,56,62,64,63,63,72,189
2248,Caio Nunson,"CB, LB",74,74,21,4400000.0,9000.0,2024.0,59,61,59,73,53,71,61,69,57,55,62,72,72,77,50,185
3144,J. Pied,"RB, LB",72,72,32,1600000.0,21000.0,2022.0,59,72,72,72,72,75,73,73,70,64,55,73,71,73,61,173
13987,Irazábal,"CB, LB",62,71,24,825000.0,1000.0,2022.0,59,52,56,60,52,63,53,42,54,52,64,56,53,64,61,187
6533,J. Raitala,"CB, LB, RB",68,68,32,775000.0,3000.0,2021.0,59,65,64,66,65,68,63,65,67,57,61,69,63,66,77,181
14232,N. Arai,"RB, CB, LB",62,66,24,525000.0,1000.0,2024.0,60,55,58,61,58,61,56,52,56,68,54,60,64,62,54,173
9750,N. Amarilla,"CB, LB",66,66,33,400000.0,500.0,2021.0,60,50,35,68,55,61,25,22,58,58,61,68,67,70,77,180
7078,R. Marchizza,"LB, CB",68,75,23,2300000.0,10000.0,2022.0,60,54,62,68,69,58,60,29,57,51,68,69,68,70,63,186
6010,Oh Jae Suk,"RB, LB",69,69,31,1000000.0,3000.0,2022.0,60,58,66,69,65,65,66,31,53,59,61,69,70,71,74,176
9703,F. Andueza,"CB, LB",66,73,24,1600000.0,3000.0,2022.0,60,47,54,65,35,62,48,35,58,64,56,64,63,65,66,189
10551,G. Johnston,"CB, LB",65,75,22,1500000.0,2000.0,2024.0,60,49,59,64,35,61,56,38,54,66,55,63,66,66,60,181
3885,N. Theuerkauf,"LB, CDM, CB",71,71,34,700000.0,14000.0,2022.0,60,64,63,73,66,67,59,57,64,60,60,75,72,74,68,183
6085,Josema,"CB, LB",69,76,25,2500000.0,8000.0,2023.0,60,53,52,69,53,62,44,60,45,61,60,70,69,70,62,184
5475,C. Molinaro,"LB, LM",69,69,37,300000.0,7000.0,2024.0,60,62,65,70,71,65,67,66,60,57,62,72,70,70,59,182
14779,L. Pétrot,"LB, CB",61,67,24,475000.0,3000.0,2023.0,60,42,50,63,56,42,51,37,34,61,60,61,68,67,62,188
11376,José Carlos,"CB, LB",64,71,25,1100000.0,2000.0,2022.0,60,53,59,63,59,60,55,49,65,59,60,63,64,62,77,182
11781,L. Trejo,"CB, LB",64,64,33,275000.0,500.0,2021.0,60,41,44,65,28,61,27,22,35,64,57,67,67,67,62,183
4655,S. Candia,"CB, LB",70,70,37,275000.0,500.0,2021.0,60,50,51,70,40,63,34,49,51,57,63,68,70,74,70,184
11862,R. Fernández,"LB, LM",64,75,21,1300000.0,500.0,2021.0,60,53,50,61,62,59,51,51,59,64,56,55,67,68,87,173
12038,M. Kreuzriegler,"CB, LB",64,67,27,675000.0,1000.0,2021.0,60,44,47,64,34,57,44,38,43,54,65,62,64,66,53,185
9881,Mossa,LB,65,65,32,500000.0,3000.0,2022.0,60,64,63,63,67,65,63,70,61,61,59,61,65,64,64,178
13763,F. Ayala,LB,62,62,32,275000.0,700.0,2021.0,60,44,38,65,46,53,31,33,44,57,63,66,65,67,68,174
7806,G. Þórarinsson,"LB, LWB, CM",67,67,29,900000.0,3000.0,2021.0,60,69,70,61,76,66,69,73,67,68,54,61,65,64,76,183
9195,Adri Castellano,"CB, LB",66,69,27,975000.0,3000.0,2022.0,60,56,63,67,66,66,63,42,47,52,67,65,70,68,73,180
18697,Park Jae Woo,"RB, LB",52,61,23,170000.0,1000.0,2022.0,60,34,47,51,49,33,46,31,23,69,52,47,52,57,54,174
3100,O. Wendt,LB,72,72,35,725000.0,3000.0,2022.0,60,72,68,71,75,73,66,74,69,62,59,72,71,71,69,181
15730,E. Elmalı,"LB, LM, RB",60,69,20,525000.0,2000.0,2022.0,60,43,58,60,54,40,61,55,35,65,56,60,59,64,60,180
18585,S. Stalin,"LB, RB",53,63,20,200000.0,500.0,2024.0,60,43,46,50,45,44,48,38,42,65,56,48,56,52,59,166
15532,A. Ohata,"LB, LWB, CB",60,72,20,575000.0,550.0,2023.0,60,50,60,59,49,59,59,33,54,67,55,59,60,62,62,168
16974,L. Bogarde,"CB, LB",58,81,17,600000.0,500.0,2023.0,60,52,59,57,50,58,58,50,56,64,57,54,61,60,60,183
18950,Sun Qinhan,LB,51,59,21,130000.0,1000.0,2021.0,60,33,45,48,48,29,46,28,28,60,60,40,55,53,54,178
18908,Choi Ji Moog,"CB, LB",51,64,22,140000.0,750.0,2021.0,60,45,54,51,49,48,52,33,46,65,55,50,58,58,57,178
16765,F. Kara,"LB, CB",58,70,20,475000.0,2000.0,2024.0,60,43,42,59,54,50,39,27,40,61,59,51,61,67,52,179
15398,L. Nieuwpoort,"CB, LB",60,62,26,275000.0,1000.0,2023.0,60,49,57,60,48,57,56,48,59,60,60,60,62,61,64,189
16189,S. Sutton,"LB, CAM, CM",59,71,19,500000.0,500.0,2023.0,60,61,62,54,63,61,60,63,60,61,59,56,53,53,63,175
2729,Samir,"CB, LB",73,75,26,3300000.0,13000.0,2023.0,60,55,57,75,63,62,57,29,57,55,64,73,74,78,66,188
18216,A. Fouad,"LB, CB",54,72,19,275000.0,2000.0,2022.0,60,38,44,52,42,46,38,29,34,62,58,51,50,54,66,178
14295,Sergi Cardona,LB,62,69,21,775000.0,1000.0,2022.0,61,48,58,61,64,46,61,46,38,69,55,61,72,63,56,186
5082,Heitinho Zanon,"CB, LB",70,70,25,1500000.0,7000.0,2024.0,61,47,41,70,51,48,22,33,44,60,61,64,75,73,77,187
14292,F. Jaritz,"LB, LM, LW",62,65,23,500000.0,2000.0,2022.0,61,58,62,58,63,62,62,55,47,64,58,55,56,60,59,180
16005,M. Foulds,"LB, CB",59,67,23,475000.0,3000.0,2022.0,61,50,49,59,51,55,42,39,48,62,60,59,59,60,59,178
12454,S. McQueen,LB,63,66,26,575000.0,9000.0,2022.0,61,61,64,64,70,61,63,67,57,60,61,66,61,66,35,181
18944,J. Charles,LB,51,61,19,120000.0,1000.0,2022.0,61,38,50,46,43,35,51,55,39,60,62,40,49,52,58,173
16853,P. Hernández,LB,58,68,20,425000.0,2000.0,2021.0,61,42,55,57,52,40,62,41,35,64,58,50,63,64,63,176
14367,Paco Puertas,"CB, LB",62,69,25,725000.0,1000.0,2022.0,61,42,46,65,30,57,45,35,36,60,62,62,72,73,59,184
10342,D. Widgren,"LB, LWB",65,66,27,750000.0,2000.0,2021.0,61,64,62,61,63,66,61,66,62,60,62,60,59,61,75,180
15911,B. Locko,LB,60,75,19,550000.0,2000.0,2023.0,61,43,59,59,58,42,67,43,30,62,60,49,65,68,62,180
13599,N. Dekoké,"LB, CB",62,65,25,475000.0,1000.0,2022.0,61,52,60,62,56,59,61,49,53,59,63,64,62,62,51,180
18620,E. Jones,"LB, LWB",53,70,19,230000.0,2000.0,2021.0,61,34,51,52,46,30,59,30,30,64,59,50,59,52,56,183
16379,N. Cova,LB,59,60,26,240000.0,500.0,2021.0,61,50,46,58,50,60,49,37,53,63,60,55,65,65,66,164
7924,S. Kingsley,"LB, LWB, CB",67,68,26,1100000.0,3000.0,2022.0,61,64,66,66,70,66,66,70,61,59,63,68,66,67,61,178
18525,S. Pereira,LB,53,60,23,180000.0,500.0,2024.0,61,42,50,49,45,47,47,46,43,62,60,49,50,54,56,172
7502,Bolaño,"CB, LB",67,67,35,275000.0,2000.0,2022.0,61,61,58,66,65,62,57,58,63,62,61,65,67,66,67,182
16157,J. Longridge,LB,59,61,26,250000.0,1000.0,2023.0,61,46,52,57,53,51,49,34,54,66,57,56,58,58,59,183
4640,E. Insúa,"LB, LWB, CB",70,70,32,1100000.0,7000.0,2021.0,61,65,69,67,68,70,70,59,68,59,63,65,68,68,75,180
13212,H. Noguera,"RB, LB",63,63,34,180000.0,500.0,2021.0,61,48,57,61,60,58,51,27,40,63,60,56,63,67,66,171
