,Name ,player_positions,overall,potential,age,value_eur,wage_eur,club_contract_valid_until,pace,passing,dribbling,defending,attacking_crossing,attacking_short_passing,skill_dribbling,skill_curve,skill_long_passing,movement_acceleration,movement_sprint_speed,defending_marking_awareness,defending_sliding_tackle,defending_standing_tackle,power_stamina,height_cm
7834,F. Heerkens,"RB, LB, CB",67,67,31,750000.0,3000.0,2022.0,49,56,58,68,60,64,55,22,60,42,54,69,68,68,77,185
5688,I. Höhn,"CB, RB",69,69,29,1200000.0,4000.0,2025.0,50,52,59,70,47,61,55,34,56,51,49,72,73,70,51,183
16513,J. Dunleavy,"RB, CB",58,58,29,180000.0,500.0,2021.0,50,52,52,58,54,55,51,42,54,48,52,61,56,57,62,183
16161,H. Teruyama,"CB, RB",59,69,20,450000.0,650.0,2023.0,50,53,56,57,45,62,53,30,63,56,45,57,58,60,46,182
5923,M. Polster,"CDM, RB",69,69,28,1200000.0,4000.0,2021.0,50,64,64,65,58,72,67,63,66,39,59,65,63,65,87,183
8303,J. Cascante,"CB, RB",67,70,27,1200000.0,3000.0,2021.0,50,46,49,65,21,65,45,24,56,49,51,64,65,67,57,188
5967,Emidio Hoffman,"CB, RB",69,69,25,1300000.0,7000.0,2024.0,50,56,55,70,54,62,49,48,65,47,52,71,74,68,70,188
12273,K. Watson,"CB, RB",63,63,31,325000.0,2000.0,2022.0,50,56,57,63,61,62,57,53,57,47,52,65,64,63,70,184
12181,K. Gkezos,"CB, RB",64,64,28,500000.0,3000.0,2023.0,50,49,49,63,55,51,44,31,54,49,50,60,58,65,60,182
1995,M. Kelly,"CB, RB",74,74,31,2900000.0,39000.0,2023.0,50,59,61,76,66,68,58,60,64,49,51,76,75,77,49,191
17717,A. Roncaglia,"CB, RB",56,65,21,300000.0,700.0,2025.0,50,49,41,56,40,62,37,23,60,46,54,53,62,59,66,180
11279,S. Hoare,"CB, RB",64,67,27,675000.0,950.0,2024.0,51,50,56,63,51,58,57,35,55,50,52,63,61,63,68,189
13048,J. Díaz,RB,63,71,22,1000000.0,4000.0,2025.0,51,48,61,61,65,55,62,40,30,65,39,55,72,66,71,178
11074,J. Perch,"CB, RB",64,64,35,150000.0,3000.0,2022.0,51,57,57,62,58,61,55,47,59,52,51,63,61,63,68,180
11944,J. Álvez,"RB, CB, LB",64,64,37,130000.0,500.0,2021.0,51,57,51,66,67,60,40,57,54,56,46,66,62,70,56,173
12296,M. Hornschuh,"CB, RB, CDM",63,63,30,400000.0,4000.0,2022.0,51,57,56,64,61,61,54,43,60,50,52,65,64,64,48,188
10630,L. Meisl,"CB, RB",65,73,22,1500000.0,2000.0,2022.0,51,43,48,65,31,56,38,22,51,50,52,65,63,68,61,184
9323,Álex Martín,"CB, RB",66,75,23,1800000.0,5000.0,2025.0,51,51,46,66,45,67,29,35,59,53,49,65,65,70,58,182
9007,A. González,"CB, RB",66,66,33,400000.0,500.0,2022.0,51,52,43,66,49,62,28,31,63,41,60,64,66,67,52,184
4074,P. González,"CM, CDM, RB",71,71,28,1900000.0,15000.0,2025.0,52,71,68,64,70,75,66,71,75,55,50,62,64,68,77,172
15486,J. Just,"CB, RB",60,65,24,325000.0,650.0,2022.0,52,43,39,60,49,49,36,38,40,39,63,58,61,64,66,190
6431,D. Simpson,RB,68,68,34,450000.0,12000.0,2022.0,52,61,66,74,65,64,64,44,59,54,50,76,72,72,33,176
10382,S. Yamamoto,"LB, RB, CB",65,65,36,160000.0,950.0,2022.0,52,66,63,63,76,69,66,49,67,42,61,65,60,62,67,180
2696,M. Nervo,"CB, RB",73,73,30,2500000.0,11000.0,2023.0,52,56,56,72,57,64,48,55,64,51,52,74,70,72,76,183
10088,L. Rougeaux,"CB, RB",65,66,27,725000.0,4000.0,2022.0,52,54,49,66,59,62,44,27,59,52,52,68,66,65,75,185
12803,A. Aguirre,"CB, RB",63,74,21,1000000.0,2000.0,2022.0,52,38,47,63,34,48,42,28,38,50,54,58,66,68,64,184
7556,L. Gerson,"LB, RB, CB",67,67,31,750000.0,2000.0,2022.0,52,68,62,64,70,70,61,70,68,55,50,64,60,65,81,187
6975,Paulo Mesqueira,"CM, RB, LB",68,68,33,750000.0,7000.0,2024.0,52,71,66,64,72,75,68,68,71,52,52,62,66,68,74,175
6569,J. Heris,"CB, RB",68,68,30,1000000.0,5000.0,2022.0,53,54,56,68,58,61,55,26,59,52,53,69,66,68,74,188
1836,Duirval Diniz,"CB, RB",75,75,25,5500000.0,13000.0,2024.0,53,55,52,77,45,66,41,36,62,54,52,76,75,82,62,187
5947,A. Calabresi,"RB, CB",69,73,25,1800000.0,2000.0,2024.0,53,58,63,70,69,64,64,31,48,40,64,70,70,72,65,186
5625,M. te Wierik,"CB, RB",69,69,29,1200000.0,5000.0,2024.0,53,59,62,69,61,63,59,33,63,43,61,70,65,66,73,191
18904,T. Gray,"CB, RB, CDM",51,71,18,150000.0,500.0,2025.0,53,29,38,52,24,33,24,22,20,52,54,52,49,56,65,180
14528,F. Lach,"CB, RB, CDM",61,68,24,600000.0,500.0,2022.0,53,42,52,61,31,56,51,22,48,53,53,60,59,64,57,190
15334,S. Bone,"CB, RB",60,66,22,350000.0,550.0,2021.0,53,51,52,58,49,61,52,51,55,52,53,58,60,61,65,183
17539,F. Nevarez,RB,56,71,20,325000.0,1000.0,2024.0,53,53,61,54,43,66,69,30,59,52,53,41,63,65,34,178
1938,Vítor Tormena,"CB, RB",75,78,25,6500000.0,12000.0,2024.0,53,58,60,77,66,69,58,40,63,54,53,80,76,77,70,192
7690,P. Papp,"CB, RB",67,67,31,700000.0,5000.0,2023.0,54,57,51,66,62,67,43,52,63,53,54,66,64,66,59,188
13378,A. Scarlatache,"CB, RB",62,62,34,130000.0,1000.0,2022.0,54,53,53,61,63,54,47,34,52,54,54,62,60,61,76,184
8217,Tachi,"CB, RB",67,76,23,2100000.0,6000.0,2023.0,54,46,48,68,33,68,40,30,41,47,60,63,70,71,34,184
6024,R. Nagaki,"CDM, CM, RB",69,69,33,700000.0,5000.0,2022.0,54,68,67,68,70,70,63,65,68,55,53,71,68,69,71,173
2000,J. Ward,RB,74,74,31,3100000.0,39000.0,2023.0,54,67,66,77,73,70,64,43,69,52,55,77,77,76,69,188
13727,I. Tapia,"CB, RB, LB",62,74,22,925000.0,1000.0,2022.0,54,38,39,62,30,48,29,30,36,56,52,62,60,60,65,188
1182,A. Dragović,"CB, RB",76,76,30,2850451.813201148,9017.989362811555,2031.0,54,63,65,77,53,67,62,32,74,62,47,77,76,78,66,186
14775,S. Chergui,"CDM, RB, CB",61,70,22,700000.0,1000.0,2022.0,54,59,61,57,53,63,59,41,65,57,51,55,57,61,48,183
6821,B. Tuiloma,"CB, CDM, RB",68,73,26,1600000.0,3000.0,2021.0,54,62,59,68,55,70,58,37,68,58,51,70,68,68,73,183
11349,Z. Kvržić,"RB, CAM, RM",64,64,32,400000.0,3000.0,2022.0,54,62,64,64,60,67,65,53,58,45,62,65,64,68,55,180
8030,Edenildo Lagoas,"RB, CB",67,67,21,1100000.0,3000.0,2024.0,54,64,58,67,75,66,50,45,65,71,40,74,57,63,72,180
19003,K. Chambers,RB,50,53,25,60000.0,500.0,2021.0,54,47,53,43,51,50,51,31,46,56,53,40,42,45,62,179
10086,P. Retre,"CDM, RB, RM",65,65,28,625000.0,3000.0,2022.0,54,60,67,62,62,64,66,42,61,54,54,63,59,62,83,170
16311,L. Rose,"RM, RB",59,67,22,500000.0,800.0,2023.0,54,58,60,54,60,60,60,50,58,56,53,52,54,58,58,170
13996,Rúben Ramos,"CDM, RB",62,70,22,850000.0,2000.0,2024.0,54,53,56,63,42,62,54,47,56,55,53,61,56,68,67,190
5806,L. Dos Santos,"RWB, RB, LWB",69,69,28,1300000.0,3000.0,2022.0,54,63,65,68,70,70,65,41,68,56,53,70,73,70,75,177
11539,M. Mihara,"CDM, CM, RB",64,64,32,400000.0,3000.0,2022.0,54,60,58,61,64,62,58,33,62,55,53,62,59,58,84,175
12343,A. Thompson,"CB, RB",63,65,28,475000.0,3000.0,2022.0,55,54,53,62,60,60,47,29,53,54,55,62,62,64,81,183
12966,K. Kościelny,"CB, RB",63,63,29,400000.0,950.0,2022.0,55,33,36,63,27,42,26,31,27,61,50,62,62,63,54,185
14635,I. Aaneba,"RB, CB",61,72,22,700000.0,1000.0,2023.0,55,51,56,62,53,60,53,35,48,65,47,62,65,65,52,182
15601,A. Liljenbäck,"RWB, RB, CB",60,63,26,300000.0,650.0,2022.0,55,51,54,60,56,56,52,29,49,57,54,59,60,60,63,183
8871,D. Schmidt,RB,66,66,29,750000.0,3000.0,2022.0,55,57,60,66,63,64,58,43,61,55,55,66,66,69,69,177
3863,M. Lustig,RB,71,71,34,700000.0,6000.0,2022.0,55,66,61,73,68,69,59,63,67,56,54,74,71,72,71,189
8693,T. Clarke,"CB, RB",66,66,33,400000.0,3000.0,2022.0,55,56,56,64,60,59,54,45,57,54,55,64,64,65,75,180
14840,M. Acuña,"CB, RB",61,66,24,450000.0,500.0,2022.0,55,45,47,61,33,58,40,35,36,54,55,60,59,64,60,178
17665,R. Jurkovskis,"LB, RB",56,62,24,210000.0,550.0,2021.0,55,47,50,53,56,46,51,51,41,54,55,50,54,57,66,187
9489,H. Pernía,"CB, RB",66,66,30,700000.0,500.0,2024.0,55,47,37,68,48,65,22,20,42,54,55,67,65,69,55,183
13532,J. Hanson,"RB, CDM",62,66,25,525000.0,2000.0,2022.0,55,62,57,62,62,63,54,62,61,55,55,63,62,63,48,178
9878,J. Brayford,"RB, CB",65,65,33,375000.0,2000.0,2022.0,56,60,62,64,65,63,59,47,62,54,57,65,63,64,65,173
15234,F. Yıldırım,"RM, RB",60,62,25,300000.0,2000.0,2023.0,56,60,61,45,59,63,60,60,62,52,60,34,42,51,53,175
18743,B. Camp,"CB, RB",52,68,20,200000.0,3000.0,2022.0,56,28,40,54,28,28,29,26,23,55,57,52,55,59,51,183
14905,T. Vannoye,"CB, RB",61,69,22,700000.0,950.0,2024.0,56,49,50,62,56,58,47,26,48,54,58,59,63,66,69,183
9234,T. Wada,"CDM, LB, RB",66,66,30,725000.0,4000.0,2022.0,56,66,64,62,66,73,61,39,68,55,56,62,68,66,70,170
510,J. Milner,"CM, LB, RB",79,79,35,7000000.0,76000.0,2022.0,56,81,77,77,85,82,76,81,80,60,52,77,78,80,77,175
8020,D. Romney,"CB, LB, RB",67,68,28,975000.0,3000.0,2026.0,56,57,60,66,59,61,61,54,61,57,55,67,64,67,69,188
11929,A. Dawa,"CB, RB",64,67,25,700000.0,2000.0,2022.0,56,46,46,61,41,57,41,24,54,53,58,57,60,65,62,194
1593,Arbilla,"CB, LB, RB",75,75,34,1800000.0,11000.0,2023.0,56,71,67,74,76,71,63,82,75,48,62,68,74,78,69,178
10277,A. Soto,"CM, CDM, RB",65,65,26,775000.0,700.0,2026.0,56,57,62,65,49,65,59,40,63,53,58,60,68,70,79,180
6492,A. Coeff,"CB, RB, CDM",68,69,29,1100000.0,3000.0,2023.0,56,63,63,65,60,68,56,53,68,48,63,61,67,66,90,186
2250,Eltildo Correia,"CB, RB, LB",74,74,29,3500000.0,28000.0,2024.0,56,61,51,76,61,67,45,54,75,50,61,79,77,75,69,188
6411,E. Ruud,RB,68,68,37,275000.0,2000.0,2021.0,56,70,65,65,73,70,62,80,68,60,52,66,65,65,70,182
9931,R. Padovani,"CB, CM, RB",65,65,31,500000.0,2000.0,2022.0,56,60,61,67,55,68,59,47,67,57,55,68,64,67,81,187
6430,L. Peltier,RB,68,68,34,450000.0,11000.0,2022.0,57,59,61,71,61,63,60,49,60,62,53,71,72,73,56,177
5122,D. Nishi,"RB, RM",70,70,33,825000.0,7000.0,2022.0,57,69,67,67,67,73,66,64,68,59,55,67,71,66,83,178
18934,E. Arias,RB,51,69,19,150000.0,500.0,2023.0,57,36,32,52,40,40,21,22,40,58,57,51,53,53,55,180
15758,J. Plata,RB,60,69,21,525000.0,500.0,2021.0,57,47,42,57,65,57,26,27,39,60,55,55,62,55,58,181
4633,A. Jędrzejczyk,"CB, RB",70,70,33,750000.0,6000.0,2023.0,57,56,61,68,61,62,60,47,62,62,52,65,65,70,72,189
12241,L. Spatz,"CB, RB",64,78,19,1300000.0,3000.0,2022.0,57,51,44,64,43,64,29,38,58,59,55,65,62,67,60,184
6309,Patrick William,"CB, RB",69,77,24,2900000.0,4000.0,2022.0,57,63,56,68,64,66,52,60,57,53,60,68,68,69,73,186
15910,Víctor Sanchís,"CB, RB",60,71,20,500000.0,1000.0,2022.0,57,44,43,63,47,55,41,37,39,57,57,56,73,70,58,180
16088,N. Kastenhofer,"CB, RB",59,69,22,475000.0,700.0,2022.0,57,37,48,59,25,49,47,25,39,60,55,58,57,60,50,185
3887,J. Faussurier,RB,71,71,34,700000.0,11000.0,2022.0,57,73,70,69,76,75,69,65,73,60,54,70,69,73,73,173
17772,M. Ram,"CB, RB",56,68,20,325000.0,1000.0,2022.0,57,33,37,56,31,37,28,29,33,58,57,56,54,56,61,191
11142,Aimar,"CB, RB",64,64,36,100000.0,1000.0,2022.0,57,38,48,64,30,45,37,38,32,55,59,71,66,64,43,179
8826,M. Power,"CM, CDM, RB",66,66,27,900000.0,2000.0,2023.0,57,67,64,63,67,68,63,60,67,60,55,66,63,64,83,181
6545,M. van der Maarel,"RB, CB, LB",68,68,31,875000.0,6000.0,2023.0,57,60,60,67,58,67,52,43,65,49,63,69,66,67,74,177
17581,E. Munjoma,RB,56,65,22,300000.0,1000.0,2025.0,57,46,52,49,69,30,55,27,50,61,54,43,58,52,78,178
12470,A. Rambal,"CB, RB",63,65,28,475000.0,500.0,2021.0,57,49,56,63,45,55,54,39,54,60,55,63,64,67,57,183
5508,M. Pereira,RB,69,69,37,300000.0,500.0,2021.0,57,66,68,69,70,68,67,67,65,58,57,68,73,72,60,173
9753,Y. Imazu,"CB, RB",66,69,25,1000000.0,3000.0,2022.0,57,49,46,66,47,62,37,33,60,59,56,67,65,67,61,184
5560,G. Zusi,RB,69,69,34,500000.0,4000.0,2021.0,57,74,68,65,71,75,68,80,73,59,56,63,66,68,83,178
12445,V. González,"CB, RB",63,64,27,475000.0,800.0,2021.0,57,49,51,64,59,56,48,27,52,54,60,63,68,65,70,180
14015,Carreira,RB,62,76,20,925000.0,3000.0,2022.0,58,48,54,63,60,60,48,33,25,58,58,61,62,66,43,170
3451,R. Hollingshead,"LB, RB, CB",72,72,30,2000000.0,6000.0,2021.0,58,66,69,70,65,71,72,59,67,52,63,68,69,72,84,185
15075,C. Kammerknecht,"CB, RB",61,69,21,700000.0,600.0,2022.0,58,44,45,61,41,54,39,36,48,60,56,61,62,63,56,187
18883,S. Lynch,RB,51,57,21,90000.0,500.0,2021.0,58,49,49,46,50,51,48,49,52,65,52,45,50,50,53,170
17176,J. Toledo,"CB, RB",57,60,25,190000.0,500.0,2023.0,58,48,49,55,52,56,40,36,49,63,54,56,60,52,63,183
14750,J. Boller,"CB, RB",61,70,21,700000.0,3000.0,2023.0,58,44,37,61,44,54,29,28,48,55,61,55,62,65,60,185
10315,N. Antonitsch,"CB, RB",65,66,29,650000.0,5000.0,2022.0,58,42,42,65,24,54,31,27,41,55,60,64,65,67,74,187
19140,L. Sailung,"CDM, RB",49,59,20,100000.0,500.0,2022.0,58,43,46,45,32,53,43,30,51,57,59,42,48,46,49,176
6384,Juan Iglesias,"RB, RM, LB",69,77,22,3000000.0,10000.0,2026.0,58,54,59,71,65,63,59,42,38,65,53,68,72,75,55,185
14780,A. Linguet,"RB, RWB",61,72,21,700000.0,800.0,2022.0,58,47,63,60,64,45,68,46,34,59,57,54,68,68,62,180
5771,S. Mosquera,"CB, RB",69,72,27,1600000.0,1000.0,2026.0,58,42,51,70,23,53,45,45,49,59,58,73,65,69,53,185
14319,M. Gajić,"CB, RB",62,63,29,375000.0,2000.0,2022.0,58,48,42,60,55,54,38,25,49,55,60,60,58,63,66,190
11524,K. Oiwa,"CB, RB",64,64,31,400000.0,1000.0,2022.0,58,50,51,64,62,56,45,28,50,57,59,66,63,66,81,183
19025,H. Baker,RB,50,69,18,110000.0,600.0,2022.0,58,32,50,49,39,29,51,32,28,61,55,49,52,52,53,170
18976,M. Frederiksen,RB,51,64,19,130000.0,850.0,2021.0,58,32,48,48,46,29,54,25,23,60,57,41,53,54,58,180
12985,J. ter Heide,"CDM, RB",63,71,22,1000000.0,2000.0,2022.0,58,57,58,62,51,68,54,43,64,55,60,63,62,63,57,173
18432,Liao Chengjian,"RB, LB",53,54,27,100000.0,1000.0,2022.0,58,32,35,57,36,35,32,25,33,60,57,54,63,65,61,182
18982,L. Macari,"CB, RB",51,66,19,130000.0,2000.0,2022.0,58,28,32,54,24,28,26,30,29,61,56,52,54,57,59,185
2249,Otávio Cairinho,"CB, RB",74,74,29,3500000.0,30000.0,2024.0,58,58,53,75,62,64,44,47,61,56,59,77,76,75,62,179
3391,D. Biraschi,"CB, RB, RM",72,74,26,2600000.0,12000.0,2022.0,58,56,62,75,49,66,56,46,60,63,53,76,75,78,53,182
12796,G. Marsh,"RB, CM, CDM",63,74,22,1000000.0,2000.0,2023.0,58,57,57,60,56,63,54,47,60,65,52,59,62,64,71,178
12269,B. Sævarsson,RB,63,63,36,2850451.813201148,9017.989362811555,2031.0,58,55,56,62,60,58,50,55,50,57,59,63,58,63,63,187
15252,Luo Xin,"CB, RB",60,60,31,170000.0,2000.0,2022.0,58,54,56,58,59,55,56,36,52,52,63,57,59,61,74,182
8290,H. Delbridge,"CB, RB",67,67,29,850000.0,2000.0,2022.0,58,41,45,63,21,61,39,20,48,54,62,64,62,62,84,193
14988,J. Jiménez,"CB, RB",61,66,26,425000.0,500.0,2025.0,58,40,47,60,30,60,32,22,33,59,57,59,59,63,63,186
10862,C. Nuñez,"CB, RB",65,72,25,1300000.0,500.0,2021.0,58,47,57,67,60,61,55,39,22,54,62,65,67,70,63,180
2689,C. Salcedo,"CB, RB, LB",73,75,27,3200000.0,31000.0,2022.0,58,51,60,72,28,69,57,25,65,55,60,71,71,72,75,188
17709,W. Mikelbrencis,RB,56,76,17,375000.0,500.0,2023.0,58,43,54,55,51,42,58,39,37,65,53,46,67,62,55,175
16246,A. Sylla,"CB, RB",59,69,21,475000.0,3000.0,2025.0,58,46,40,61,59,53,37,32,38,66,52,56,68,67,66,180
16098,M. Bernauer,"RB, CB",59,67,23,475000.0,1000.0,2024.0,58,57,54,58,53,68,53,39,56,56,60,62,60,59,45,186
8221,D. Wiebe,"RB, CB, CDM",67,68,27,1100000.0,3000.0,2024.0,58,63,64,66,62,68,63,43,66,54,62,65,62,68,81,187
10284,F. Kalig,"CB, RB, LM",65,67,28,725000.0,3000.0,2022.0,58,51,56,65,49,57,57,48,48,63,54,61,70,67,34,181
12042,T. Raemaekers,"CB, RB",64,75,20,1200000.0,2000.0,2022.0,58,59,56,63,52,62,55,59,70,54,62,57,66,65,51,194
17659,Son Ho Jun,RB,56,73,18,350000.0,500.0,2022.0,58,48,54,54,56,51,54,51,48,62,55,56,56,56,55,175
6288,D. Abels,RB,69,73,24,1900000.0,4000.0,2023.0,58,54,62,68,66,65,60,48,51,52,63,69,65,69,75,179
15281,J. Tratt,"CB, RB",60,61,26,250000.0,800.0,2022.0,58,50,51,57,57,54,48,39,49,54,62,57,55,57,72,190
14465,Park Joon Kang,"LB, RB",61,61,30,275000.0,1000.0,2022.0,59,48,64,59,61,55,62,26,52,52,64,57,56,64,63,170
11522,T. Ugajin,"LB, RB, LM",64,64,33,300000.0,3000.0,2022.0,59,64,66,60,65,66,65,64,65,71,50,59,57,60,66,172
7356,G. Chávez,"CB, RB",68,74,22,1800000.0,500.0,2023.0,59,48,57,68,31,63,48,28,49,61,58,68,63,65,67,180
19106,M. Dhot,"RB, CB",49,57,23,100000.0,500.0,2022.0,59,34,41,49,37,35,38,34,28,56,61,50,45,48,40,184
17677,J. Filipovic,RB,56,61,25,200000.0,600.0,2022.0,59,34,44,56,61,23,45,27,21,63,55,57,57,56,78,184
14861,K. De La Hoz,"CB, RB, LB",61,68,22,625000.0,500.0,2025.0,59,39,48,61,40,50,38,36,28,56,61,57,61,66,65,172
16658,M. Lavinier,"RB, CB",58,74,20,525000.0,7000.0,2022.0,59,45,51,56,55,50,49,38,34,61,58,55,61,59,58,180
7040,Diogo Queirós,"CB, RB",68,78,22,2500000.0,3000.0,2022.0,59,43,58,68,24,59,53,29,59,55,62,67,67,69,65,185
14527,T. Baack,"CDM, CB, RB",61,70,22,700000.0,2000.0,2022.0,59,53,53,61,39,62,47,43,58,64,54,65,59,60,62,183
18496,C. Brennan,"CB, RB",53,67,21,220000.0,750.0,2022.0,59,35,40,52,30,44,34,24,36,62,56,52,51,54,62,189
10648,E. Gutiérrez,RB,65,70,25,975000.0,10000.0,2023.0,59,58,60,64,63,62,55,36,63,65,54,67,64,64,68,176
17739,E. Belhadji,"RM, RB",56,64,20,325000.0,750.0,2025.0,59,53,57,38,64,63,60,31,55,65,54,36,31,46,31,187
15949,P. Bennevendo,RB,60,68,21,525000.0,1000.0,2025.0,59,38,60,61,49,33,67,41,35,61,58,58,71,67,61,177
6471,R. Feltscher,RB,68,68,30,1000000.0,4000.0,2024.0,59,63,62,66,69,67,61,68,60,56,61,64,65,67,77,184
10355,B. Hines-Ike,"CB, RB",65,67,26,775000.0,4000.0,2021.0,59,52,56,64,44,58,51,48,56,61,58,66,60,62,71,185
10347,J. Bamert,"CB, RB",65,76,23,1500000.0,5000.0,2022.0,59,50,57,66,41,62,55,33,56,62,57,69,64,65,64,183
6425,S. Kaya,"CB, RB",68,68,30,1000000.0,6000.0,2022.0,59,56,56,67,50,65,51,38,62,66,54,63,68,70,67,183
16258,J. Brooking,"CB, RB",59,79,18,575000.0,3000.0,2022.0,59,36,41,62,35,41,37,28,33,61,58,55,70,68,58,185
10145,S. Dursun,"CB, RB",65,65,29,600000.0,4000.0,2023.0,59,52,54,64,57,57,52,50,56,53,64,63,62,65,68,188
8277,T. Holmes,"CB, RB",67,76,21,2100000.0,6000.0,2022.0,59,53,53,66,53,60,50,46,56,54,63,64,68,67,63,189
4943,T. Hlatshwayo,"CB, RB",70,70,31,1100000.0,550.0,2024.0,59,48,37,70,39,69,31,31,51,58,60,64,73,74,55,188
5462,Thales,RB,70,71,27,1700000.0,5000.0,2023.0,59,64,61,72,70,70,60,62,62,64,55,75,74,73,61,178
16399,G. Luján,"CB, RB",59,70,20,450000.0,2000.0,2025.0,59,45,52,59,49,48,50,29,51,58,59,57,59,61,60,182
18472,S. Anderson,RB,53,73,18,250000.0,500.0,2023.0,59,43,53,48,43,48,55,42,43,61,57,41,49,55,61,175
3144,J. Pied,"RB, LB",72,72,32,1600000.0,21000.0,2022.0,59,72,72,72,72,75,73,73,70,64,55,73,71,73,61,173
10490,Y. Tatsuta,"CB, RB",65,72,23,1300000.0,1000.0,2024.0,59,57,65,62,60,68,66,35,64,48,68,60,64,66,79,191
5402,A. Espínola,RB,70,70,30,1400000.0,600.0,2022.0,59,57,58,67,72,67,44,41,59,60,59,62,65,70,75,178
14010,J. Sylvestre-Brac,RB,62,70,22,850000.0,1000.0,2025.0,59,52,51,60,54,61,52,45,57,52,64,58,65,63,68,185
6533,J. Raitala,"CB, LB, RB",68,68,32,775000.0,3000.0,2021.0,59,65,64,66,65,68,63,65,67,57,61,69,63,66,77,181
12632,S. Takahashi,"RB, RM",63,63,31,350000.0,2000.0,2022.0,59,55,52,57,68,56,40,50,51,60,58,51,60,61,89,170
14200,M. Brasil,"CB, RB",62,73,22,825000.0,500.0,2021.0,59,39,46,61,27,57,30,21,40,58,59,59,57,66,50,180
