,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,mentality_vision,passing,dribbling,defending,attacking_crossing,attacking_volleys,attacking_short_passing,skill_long_passing,skill_dribbling,skill_ball_control,skill_curve,skill_fk_accuracy,movement_reactions,power_stamina,mentality_positioning,mentality_composure,mentality_penalties,height_cm
4150,A. Godoy,"CDM, CM",71,71,1300000.0,5000.0,31,2021.0,64,64,66,64,42,31,77,74,65,67,50,47,65,74,56,73,36,183
526,Iborra,"CDM, CM",79,79,8500000.0,34000.0,33,2024.0,77,75,70,77,59,66,82,81,69,80,66,67,75,65,77,81,69,190
11075,G. Whelan,"CDM, CM",64,64,110000.0,2000.0,37,2023.0,62,64,62,65,64,59,65,64,62,63,65,66,64,34,60,69,64,180
10272,Y. Takahagi,"CM, CDM, CAM",65,65,325000.0,3000.0,34,2022.0,65,66,64,62,64,59,67,68,63,65,63,64,60,61,71,68,60,183
9824,B. Watson,"CDM, CM",65,65,200000.0,2000.0,35,2022.0,63,64,61,65,63,56,65,64,60,62,67,65,63,63,58,72,64,181
4908,I. Seck,"CDM, CM",70,70,1100000.0,8000.0,31,2022.0,66,56,56,72,38,60,65,56,53,63,35,39,65,87,43,75,43,195
7485,C. Adam,"CM, CDM",67,67,400000.0,2000.0,35,2022.0,69,71,62,63,73,65,70,71,62,68,75,72,67,66,64,70,74,185
3106,C. Gentner,"CM, CDM, CAM",72,72,950000.0,9000.0,35,2022.0,75,72,66,73,68,73,75,74,67,71,70,55,68,65,74,73,64,189
4611,N. Ortigoza,"CM, CDM",70,70,500000.0,6000.0,36,2022.0,78,75,65,65,64,42,80,79,62,74,65,67,71,32,69,74,90,180
1975,Y. Cahuzac,"CDM, CM",74,74,825000.0,16000.0,36,2022.0,67,63,62,73,52,37,69,65,56,68,53,45,75,79,59,70,47,178
6663,F. Starzyński,"CAM, CM",68,68,1200000.0,4000.0,30,2023.0,74,72,71,45,72,69,72,70,71,72,72,71,68,66,67,71,74,184
4079,A. Ateef,"CDM, CM",71,71,1600000.0,22000.0,28,2023.0,80,74,67,68,70,34,75,79,63,75,65,53,68,56,65,80,58,176
6777,M. Leitgeb,"CDM, CM",68,68,600000.0,7000.0,33,2023.0,58,59,61,68,45,42,70,64,55,66,54,38,64,66,40,70,60,183
10366,S. Tomita,"CDM, CM",65,65,200000.0,1000.0,35,2023.0,59,61,62,63,62,27,70,60,56,64,33,31,65,59,44,51,41,169
12460,C. Stanko,"CDM, CM",63,64,500000.0,2000.0,27,2021.0,57,56,61,60,44,37,63,62,59,63,45,38,58,60,48,49,46,178
12354,P. Ulvestad,"CDM, CM",63,63,400000.0,1000.0,30,2021.0,54,54,55,61,49,55,59,55,53,62,55,43,62,70,52,58,46,194
13390,C. Skuse,"CDM, CM",62,62,110000.0,2000.0,35,2023.0,54,59,58,63,56,45,62,61,53,60,64,60,61,53,54,62,53,185
6175,K. Parks,"CM, CDM",69,75,2200000.0,4000.0,23,2021.0,67,65,68,64,60,41,71,68,69,73,47,52,69,71,69,74,54,191
2431,Mikel Rico,"CM, CDM",73,73,950000.0,8000.0,36,2022.0,75,68,69,72,55,53,73,72,65,72,52,63,77,78,69,76,60,179
6793,S. Marreh,"CDM, CM, CB",68,72,1500000.0,8000.0,25,2023.0,65,56,61,67,34,24,66,64,60,62,27,40,64,71,48,66,47,184
5483,Pita,"CDM, CB, CM",69,69,275000.0,3000.0,36,2022.0,68,69,62,69,72,55,67,66,64,67,78,70,72,61,65,75,71,185
7488,Zheng Zhi,"CDM, CM",67,67,2850451.813201148,5000.0,40,2021.0,72,67,66,67,61,64,70,66,65,70,64,65,62,31,63,72,68,180
3832,S. Brown,"CDM, CM",71,71,375000.0,4000.0,36,2023.0,51,60,68,70,53,49,71,64,65,71,55,44,62,72,47,73,65,175
10073,M. Lackner,"CDM, CM, CB",65,65,600000.0,3000.0,30,2022.0,52,57,56,64,55,35,65,61,52,56,37,39,62,76,48,56,63,191
5672,Oriol Rosell,"CDM, CM",69,69,1200000.0,4000.0,28,2021.0,63,66,66,67,61,53,72,70,66,70,64,42,71,60,54,69,49,182
1498,M. Fellaini,"CM, CDM",75,75,3500000.0,19000.0,33,2021.0,72,69,70,75,60,68,78,67,66,80,64,46,81,82,83,75,64,194
3123,G. Svensson,"CDM, CB, CM",72,72,800000.0,4000.0,34,2023.0,64,61,63,69,49,45,68,68,64,66,55,33,70,85,50,70,45,184
5600,M. Höger,"CDM, CM",69,69,975000.0,2000.0,31,2023.0,68,67,67,69,65,68,68,66,67,70,70,61,66,67,66,70,69,182
16126,Algobia,CM,59,70,500000.0,4000.0,22,2022.0,59,58,60,54,50,43,64,60,61,63,53,48,60,30,60,60,47,180
9019,S. Silva,"CB, CM",66,66,725000.0,1000.0,29,2021.0,30,45,52,67,27,28,62,59,50,50,28,24,59,49,28,61,35,180
13395,Zhao Xuri,"CM, CDM",62,62,160000.0,2000.0,35,2021.0,61,61,59,62,54,54,64,69,57,62,50,61,54,64,60,63,58,185
8697,Yeom Ki Hun,"CM, LW, ST",66,66,275000.0,2000.0,38,2021.0,75,75,70,46,78,66,73,71,70,73,78,79,57,34,70,78,80,182
5509,J. Morávek,"CM, CAM",69,69,1100000.0,11000.0,31,2022.0,72,73,72,55,72,74,77,73,73,72,64,67,68,34,71,69,69,180
1470,M. Noble,"CM, CDM, CAM",75,75,2600000.0,55000.0,34,2022.0,78,76,73,72,71,68,78,79,74,76,71,67,74,68,64,77,92,177
2485,F. Lemoine,"CDM, CM",73,73,1000000.0,15000.0,34,2022.0,69,69,68,71,63,58,73,70,65,70,60,62,64,83,59,70,57,175
4632,H. Özmert,"CM, CDM",70,70,500000.0,8000.0,36,2022.0,74,73,67,65,69,60,75,74,66,70,73,77,60,65,67,72,57,183
9895,H. Mulder,"CB, CDM, CM",65,65,230000.0,2000.0,34,2022.0,61,62,60,63,61,53,65,63,57,66,49,49,60,53,55,66,51,180
8692,T. Jodłowiec,"CDM, CM",66,66,240000.0,2000.0,35,2022.0,61,62,57,64,60,52,65,65,59,62,61,43,61,50,56,65,55,189
1979,L. Schøne,"CM, CDM",74,74,1700000.0,9000.0,35,2023.0,77,79,75,62,80,84,79,77,75,81,85,87,69,55,66,74,76,178
4899,Gumbau,"CDM, CM",70,75,2100000.0,10000.0,26,2023.0,67,68,64,68,48,46,77,75,64,74,64,62,63,53,55,61,50,187
2591,Recio,"CM, CDM, CAM",73,73,2900000.0,11000.0,30,2022.0,74,72,70,71,64,55,74,72,70,73,76,71,75,73,75,69,69,183
10130,H. Takahashi,"CDM, CB, CM",65,65,350000.0,1000.0,33,2022.0,61,59,58,64,53,44,64,66,54,61,39,43,60,68,54,60,48,182
5505,C. Gülselam,"CDM, CM",69,69,700000.0,7000.0,33,2022.0,57,57,58,72,40,49,70,57,57,62,22,66,70,69,48,56,36,192
9851,N. Gerzić,"CM, CDM",65,65,230000.0,1000.0,37,2021.0,70,69,69,56,65,49,70,69,67,71,74,72,67,52,47,68,60,175
3177,Víctor Vázquez,"CAM, CM",72,72,1100000.0,7000.0,34,2021.0,78,76,73,46,71,69,79,73,73,76,78,73,70,46,74,76,71,175
13673,Y. Takahashi,"CM, CDM",62,62,130000.0,750.0,36,2022.0,59,56,62,61,47,30,65,60,53,67,32,35,52,87,57,61,39,170
7991,R. Strieder,"CDM, CM",67,67,900000.0,4000.0,28,2022.0,66,64,64,65,57,48,68,64,60,66,58,53,68,71,44,70,55,174
2043,Osmar,"CDM, CB, CM",74,74,2100000.0,6000.0,33,2021.0,71,69,57,71,56,44,74,76,58,65,65,60,60,91,59,59,68,192
8944,Alex Vallejo,"CDM, CM, CB",66,66,725000.0,3000.0,29,2022.0,64,61,60,63,54,42,68,66,56,69,40,39,63,55,49,55,48,191
8768,E. Friberg,"CM, CDM",66,66,350000.0,1000.0,35,2022.0,70,70,62,58,69,50,71,69,58,67,73,66,66,75,64,67,47,180
2112,Lucas Torró,"CDM, CM",74,77,5000000.0,21000.0,26,2024.0,62,65,65,73,49,46,77,72,62,74,58,52,73,79,56,69,57,190
3946,R. Petrović,"CDM, CB, CM",71,71,1200000.0,7000.0,32,2023.0,65,60,59,71,49,36,68,66,62,66,36,33,66,76,55,67,47,193
4608,G. İnler,"CDM, CM",70,70,325000.0,7000.0,37,2022.0,69,72,68,68,68,70,75,74,70,72,71,68,62,60,61,74,72,183
3347,A. Touré,"CDM, CM",72,73,2400000.0,12000.0,27,2025.0,58,59,58,74,48,42,64,70,60,70,49,49,54,76,32,53,61,188
1143,S. Davis,CM,76,76,2400000.0,36000.0,36,2022.0,75,76,76,74,72,64,79,78,75,78,73,69,77,76,71,78,62,173
9252,A. Schetino,"CDM, CM, CB",66,68,925000.0,500.0,27,2021.0,63,57,59,63,40,50,66,59,62,58,49,45,63,74,49,59,39,186
685,P. Diop,"CDM, CM",78,78,4000000.0,7000.0,35,2022.0,65,68,68,78,58,67,72,74,63,76,70,69,75,76,59,73,61,179
8671,É. Barreto,"CM, CB",66,66,275000.0,3000.0,36,2022.0,68,67,65,66,65,68,67,66,66,68,70,71,67,60,66,70,60,182
13429,S. Bennett,"CM, CB",62,62,375000.0,3000.0,30,2023.0,60,55,56,62,36,46,63,61,57,60,48,43,64,77,60,56,49,178
4831,B. Touré,"CDM, CM",70,70,1400000.0,5000.0,29,2022.0,64,63,65,68,62,35,66,65,61,72,55,46,67,85,48,65,56,183
18136,K. Stephensen,CM,54,54,100000.0,750.0,30,2021.0,49,53,52,40,54,38,59,57,48,55,35,31,55,65,54,55,51,188
17437,Yao Hanlin,"CM, RW, RM",56,56,45000.0,1000.0,36,2021.0,57,62,55,44,63,59,64,63,53,56,65,62,59,35,60,58,60,175
3472,A. Blin,"CDM, CM",72,74,2700000.0,3000.0,24,2024.0,69,66,64,70,62,48,70,67,62,65,65,46,74,86,62,68,52,184
695,S. Nzonzi,"CDM, CM",78,78,9500000.0,47000.0,32,2022.0,72,70,67,77,58,50,79,72,70,75,65,40,75,84,60,79,57,196
7642,V. Ulloa,"CDM, CM",67,67,875000.0,3000.0,29,2021.0,60,62,66,63,44,43,73,65,65,67,67,57,64,79,51,62,53,180
4635,W. Brama,"CDM, CM",70,70,550000.0,6000.0,34,2022.0,62,66,66,68,63,45,70,69,65,68,64,50,71,70,56,73,53,176
13400,M. Viniegra,CM,62,62,240000.0,2000.0,33,2024.0,66,63,62,61,53,52,67,65,60,65,61,57,64,50,60,65,63,180
740,William Carvalho,"CDM, CM",78,78,12000000.0,25000.0,29,2023.0,79,75,68,74,68,50,79,77,71,72,80,50,71,81,63,86,60,187
15175,J. Taylor,CM,60,60,110000.0,2000.0,34,2023.0,58,57,57,59,51,46,62,60,54,58,44,43,59,80,56,63,54,185
1148,Cesc Fàbregas,"CM, CAM, CDM",76,76,3500000.0,44000.0,34,2022.0,86,81,75,62,74,68,83,82,75,80,78,79,76,41,68,84,78,179
6419,E. Culio,CM,68,68,375000.0,5000.0,37,2022.0,72,70,66,61,66,53,71,67,65,67,74,73,67,67,65,83,70,176
719,Oriol Romeu,"CDM, CM",78,78,12000000.0,53000.0,29,2023.0,56,62,65,80,37,52,78,72,63,70,49,53,72,74,48,74,54,183
2454,N. Domingo,"CDM, CM, CB",73,73,600000.0,9000.0,36,2022.0,69,67,67,71,60,55,73,72,60,72,54,44,72,74,55,73,68,174
2574,Timor,"CDM, CB, CM",73,73,2100000.0,20000.0,31,2022.0,73,72,67,68,61,53,75,74,68,72,78,81,66,71,59,71,69,185
5743,P. Riese,"CDM, CM",69,69,975000.0,5000.0,31,2023.0,62,63,63,64,59,43,68,71,59,63,45,51,70,77,49,68,61,175
770,Dani García,CM,78,78,11500000.0,29000.0,31,2022.0,71,71,74,78,55,52,79,80,72,80,61,57,79,92,73,71,58,180
3115,Mario Suárez,"CDM, CM",72,72,800000.0,13000.0,34,2022.0,71,70,64,68,64,43,73,72,60,73,66,70,70,64,64,74,59,188
15379,J. Issa,"CDM, CM",60,69,525000.0,2000.0,24,2022.0,58,52,51,59,39,30,60,55,45,59,33,35,60,54,39,43,43,189
3894,Mikel San José,"CM, CDM, CB",71,71,1500000.0,6000.0,32,2022.0,73,64,64,73,47,75,73,74,64,74,31,44,73,65,64,79,51,187
868,L. Biglia,"CDM, CM",77,77,3000000.0,11000.0,35,2022.0,76,78,77,75,74,78,82,79,76,80,71,76,70,65,50,80,72,178
4647,C. Yacob,"CDM, CM",70,70,800000.0,7000.0,33,2021.0,60,59,63,70,34,23,71,69,59,69,52,55,67,52,42,82,69,181
4817,Sergi Samper,"CDM, CM",70,73,1900000.0,6000.0,26,2022.0,70,66,66,66,55,48,73,68,63,71,52,44,67,73,53,75,48,182
6062,M. Besuschkow,"CDM, CM",69,74,1900000.0,5000.0,24,2022.0,66,66,67,64,60,53,70,69,68,70,57,52,66,83,61,64,59,187
6461,D. Marcq,"CDM, CM",68,68,800000.0,6000.0,32,2022.0,60,61,57,68,52,46,69,68,49,62,59,30,62,68,39,74,33,181
1202,Tomás Pina,"CM, CDM",76,76,4600000.0,24000.0,33,2022.0,74,72,73,73,58,59,79,78,76,78,65,61,78,70,71,70,59,184
6852,T. Aoyama,"CM, CDM",68,68,475000.0,4000.0,35,2022.0,76,71,66,68,68,61,73,70,61,71,64,60,61,67,51,75,64,174
52,Sergio Busquets,"CDM, CM",86,86,45000000.0,200000.0,32,2023.0,83,79,80,82,62,44,87,85,81,86,66,68,86,78,77,90,60,189
11071,D. Pratley,"CM, CB, CDM",64,64,180000.0,3000.0,36,2022.0,62,61,63,66,60,62,63,60,62,63,61,52,69,85,64,62,59,185
4768,Erik Morán,"CDM, CM",70,70,1300000.0,5000.0,30,2023.0,67,66,66,67,56,39,71,70,66,70,59,67,64,70,57,59,49,187
15282,N. Hazazi,"CDM, CM",60,60,220000.0,3000.0,28,2024.0,49,53,52,60,47,31,60,57,49,55,40,37,53,68,39,50,43,175
11527,Y. Kobayashi,"CM, CDM",64,64,450000.0,1000.0,32,2022.0,66,60,58,61,44,25,69,67,57,61,34,37,64,73,63,55,39,180
5759,J. Marié,"CM, CDM",69,69,1400000.0,3000.0,29,2022.0,68,66,71,65,61,39,71,68,71,72,61,37,71,78,63,71,33,177
1647,G. Pizarro,"CDM, CM",75,75,3900000.0,37000.0,31,2022.0,65,66,63,73,52,54,77,70,61,70,61,51,71,91,61,74,60,185
9870,S. Conneely,"CDM, CM",65,65,475000.0,2000.0,32,2023.0,61,58,60,63,51,40,64,63,57,62,40,39,62,73,58,62,52,175
6414,Ł. Trałka,"CDM, CM",68,68,240000.0,1000.0,37,2022.0,58,64,58,67,64,43,68,64,56,60,55,62,63,73,59,66,57,186
9925,A. Acosta,"LB, RB, CM",65,65,375000.0,3000.0,33,2025.0,64,67,68,63,70,67,66,67,67,70,73,61,68,67,55,68,65,170
14924,R. Costin,"CDM, CM",61,61,60000.0,1000.0,36,2022.0,57,56,52,63,45,41,62,59,54,52,53,54,60,32,57,59,63,176
15176,C. McCann,"CM, LB",60,60,150000.0,700.0,33,2021.0,62,63,61,60,65,51,64,62,60,63,66,60,59,48,53,66,59,185
9836,L. Craig,CM,65,65,325000.0,2000.0,34,2022.0,66,68,66,61,70,62,68,65,66,67,67,72,62,69,62,70,75,183
9858,E. Paartalu,"CDM, CM",65,65,200000.0,500.0,35,2022.0,56,57,54,63,43,55,63,64,54,60,48,63,65,82,54,61,56,193
11118,M. Bartley,"CDM, CM",64,64,200000.0,2000.0,34,2022.0,56,57,60,63,53,52,63,60,56,59,44,31,56,74,54,63,41,180
3975,J. Van Damme,"CDM, CM",71,71,1600000.0,10000.0,29,2023.0,67,68,61,67,67,46,70,72,63,69,58,65,65,74,58,71,67,195
5531,S. de Jong,"CAM, CM, ST",69,69,1100000.0,5000.0,32,2022.0,74,68,67,59,63,77,69,66,66,72,66,70,74,70,71,71,72,185
16569,O. Brennan,"CDM, CB, CM",58,60,230000.0,500.0,25,2021.0,52,55,54,56,52,53,59,56,55,55,56,52,55,68,53,54,54,184
12760,A. Okosun,CM,63,63,500000.0,3000.0,27,2024.0,60,58,61,59,52,47,65,62,62,65,35,35,60,80,67,68,39,197
8984,F. Rodríguez,"CDM, CB, CM",66,66,300000.0,700.0,34,2026.0,47,53,51,68,42,33,60,70,44,55,38,37,66,70,39,61,43,186
4612,F. Haroun,"CDM, CM",70,70,450000.0,8000.0,35,2022.0,67,62,56,72,58,58,63,60,52,59,59,59,68,77,68,81,66,188
11152,Kwon Soon Hyung,"CM, LM",64,64,230000.0,1000.0,35,2021.0,71,68,65,61,67,62,67,66,63,66,68,68,68,35,66,65,54,176
1984,Mosquera,"CDM, CM",74,74,2100000.0,11000.0,33,2022.0,73,71,68,71,61,51,74,71,65,72,79,69,71,80,70,71,51,184
7479,P. Toranzo,"CAM, CM",67,67,325000.0,3000.0,39,2021.0,74,73,68,55,75,62,72,70,70,71,76,75,61,34,63,59,63,178
1477,Salva Sevilla,"CDM, CM",75,75,1100000.0,16000.0,37,2022.0,80,79,71,69,75,56,80,81,73,77,81,83,72,64,64,69,73,178
1156,J. Cork,"CDM, CM",76,76,5000000.0,31000.0,32,2022.0,61,71,69,75,69,53,78,74,66,76,74,64,74,82,63,79,60,184
7515,H. Medunjanin,"CDM, CM",67,67,200000.0,2000.0,36,2021.0,68,72,69,60,66,65,76,73,73,74,75,78,64,62,71,74,71,188
6729,D. Bojanić,"CM, CDM",68,71,1600000.0,3000.0,26,2023.0,73,76,67,57,78,60,77,76,66,67,77,72,61,59,59,69,57,182
11490,Leonardo Freijão,"CDM, CM, CAM",64,64,575000.0,3000.0,25,2024.0,41,55,43,68,57,22,65,57,24,55,30,42,69,64,35,53,50,176
11542,Park Han Bin,"CM, CDM",64,72,1300000.0,2000.0,23,2022.0,69,62,59,58,55,30,68,65,57,59,37,33,67,77,64,55,43,183
2444,Javi García,"CDM, CM",73,73,1000000.0,12000.0,34,2023.0,65,65,67,72,47,59,76,72,64,72,55,44,73,72,60,78,61,187
6439,C. Riveros,"CM, CDM",68,68,375000.0,500.0,38,2022.0,77,65,66,64,54,54,71,62,60,66,47,48,69,79,66,70,57,179
7105,O. Gnjatić,"CDM, CM, CB",68,68,1000000.0,4000.0,29,2022.0,54,56,59,64,45,22,66,63,58,67,44,35,62,75,42,60,40,190
8713,A. Power,"CM, CDM",66,66,525000.0,2000.0,33,2022.0,65,62,66,64,53,48,67,67,64,66,54,49,60,84,63,68,67,178
5070,Breno Bemposta,"CDM, CM",70,70,1600000.0,7000.0,25,2024.0,67,66,69,71,56,46,69,65,67,74,74,75,71,78,61,69,74,176
3183,Míchel,"CM, CDM",72,72,1800000.0,8000.0,32,2023.0,78,78,72,55,75,61,81,77,72,78,77,70,73,43,60,66,70,182
8046,L. Schoofs,"CDM, CM",67,71,1300000.0,2000.0,24,2024.0,62,55,62,66,35,37,65,63,58,66,42,33,58,73,38,58,34,186
13689,B. Hvidt,"CM, CDM",62,72,900000.0,2000.0,21,2023.0,61,58,62,63,49,41,63,60,63,66,46,47,60,70,60,61,44,185
3125,L. Deaux,"CDM, CM",72,72,1600000.0,4000.0,32,2023.0,65,65,64,71,59,32,71,69,62,69,52,41,68,80,63,70,48,188
13820,J. Lennon,"CDM, CM",62,68,575000.0,600.0,23,2022.0,58,60,58,59,57,45,64,62,55,59,54,47,57,73,54,62,54,178
15954,G. Deegan,"CDM, CM",59,59,110000.0,500.0,33,2021.0,54,51,52,57,46,41,54,53,47,52,40,43,57,76,53,58,56,176
4719,G. Hairemans,"RM, CAM, CM",70,70,1600000.0,9000.0,29,2022.0,75,75,70,47,76,62,74,75,70,74,75,73,68,73,71,74,71,183
6556,T. Petsos,"CDM, CM",68,68,1000000.0,5000.0,30,2023.0,66,63,62,64,41,56,72,68,56,72,61,70,65,61,49,68,63,184
7625,M. Jonckheere,"CM, CAM",67,67,825000.0,5000.0,31,2022.0,69,69,68,61,67,63,71,70,65,70,60,60,66,52,68,69,55,180
13469,Lee Jong Sung,"CM, CB",62,62,400000.0,1000.0,28,2021.0,65,58,59,60,41,48,62,69,59,60,45,53,56,75,55,57,50,187
6479,D. Hubert,"CDM, CM",68,68,600000.0,6000.0,33,2023.0,68,64,55,67,59,64,66,64,49,56,57,54,61,74,47,72,65,184
11226,P. Digby,"CDM, CM",64,67,700000.0,2000.0,26,2023.0,60,58,56,61,52,41,64,62,55,60,43,41,59,75,53,59,52,195
11303,C. Rojas,"CB, CDM, CM",64,64,150000.0,750.0,35,2023.0,40,48,49,65,40,27,59,56,44,52,34,32,46,71,27,55,41,174
9821,C. Bryson,CM,65,65,325000.0,2000.0,34,2022.0,64,64,67,61,55,58,68,67,62,64,64,62,65,68,61,65,60,170
2475,Ki Sung Yueng,"CM, CDM",73,73,2400000.0,6000.0,32,2023.0,78,77,69,63,71,61,78,82,66,76,76,76,65,68,65,72,74,189
522,Montoro,"CDM, CM, CAM",79,79,8500000.0,26000.0,33,2022.0,78,75,72,75,54,67,85,83,72,81,50,71,72,66,66,65,62,181
11320,M. Lepe,"CDM, CM",64,64,500000.0,1000.0,30,2021.0,64,60,58,59,58,37,66,64,57,60,30,35,64,66,62,59,38,179
5757,D. Douline,"CDM, CM",69,69,1200000.0,9000.0,28,2023.0,69,62,62,67,51,48,69,64,60,67,45,37,64,83,53,58,47,182
11261,P. Erhardt,"CDM, CM",64,65,600000.0,2000.0,27,2023.0,48,53,61,62,48,29,61,59,58,65,48,30,52,76,44,62,38,185
11150,M. Inoha,"CB, RB, CM",64,64,150000.0,850.0,35,2022.0,58,58,51,64,47,52,65,68,42,52,40,49,63,65,40,59,44,179
13391,E. Upson,"CM, CDM",62,62,325000.0,3000.0,31,2022.0,63,61,62,59,57,38,62,61,60,63,66,61,59,81,55,67,57,180
3842,A. Turan,"LM, RM, CM",71,71,875000.0,31000.0,34,2022.0,75,75,76,64,72,75,78,75,77,79,79,64,68,48,70,79,73,177
6481,L. Kelly,"CDM, CM",68,68,850000.0,9000.0,31,2023.0,61,63,60,67,59,53,66,68,59,65,59,59,64,74,55,65,62,187
9006,A. Gogić,"CDM, CM",66,66,800000.0,3000.0,27,2022.0,48,52,54,66,44,36,60,55,52,58,47,39,62,78,42,57,51,180
11748,A. Hellborg,"CDM, CM",64,70,875000.0,1000.0,22,2022.0,61,58,58,60,44,41,67,63,55,62,39,33,58,70,47,63,43,188
8688,Sastre,"CM, CDM",66,66,350000.0,3000.0,35,2022.0,67,68,62,65,63,52,70,71,58,66,71,70,65,70,57,63,56,175
4681,P. Tachtsidis,"CM, CDM",70,70,1500000.0,12000.0,30,2022.0,74,73,63,66,64,60,77,77,64,73,70,59,62,62,68,72,60,191
6102,F. Boya,"CDM, CM, CB",69,75,2000000.0,9000.0,25,2022.0,65,64,64,64,59,41,68,63,70,67,55,54,57,80,64,65,54,190
17876,I. Karamoko,CM,55,65,275000.0,4000.0,20,2023.0,52,55,56,53,46,41,63,62,56,58,43,43,56,41,55,48,45,187
11073,D. Jones,CM,64,64,180000.0,500.0,36,2022.0,64,68,63,65,69,60,67,68,62,65,73,72,65,52,62,72,58,183
681,Miguel Veloso,"CM, CDM",78,78,5500000.0,22000.0,35,2022.0,80,83,76,66,82,70,84,85,73,84,83,79,69,71,65,81,73,180
1468,Vesga,CM,75,75,5500000.0,25000.0,28,2024.0,77,70,67,76,56,40,78,77,68,76,60,28,79,77,62,66,57,191
7999,Jano,"CB, CDM, CM",67,67,325000.0,3000.0,34,2022.0,65,63,58,68,62,36,62,64,57,63,68,66,72,66,37,70,61,187
8392,K. Sidibé,"CDM, CM, CB",67,72,1400000.0,2000.0,22,2022.0,52,55,57,66,43,38,67,59,56,65,42,41,63,68,42,58,48,200
11099,S. Fürstner,"CDM, CM, CB",64,64,300000.0,5000.0,33,2022.0,61,60,61,63,57,43,65,62,56,63,48,43,61,65,60,70,42,178
7753,L. Capezzi,"CM, CDM",67,70,1300000.0,13000.0,26,2023.0,70,68,66,59,62,46,73,68,62,68,69,57,66,65,68,72,64,178
11105,H. Singh,"CM, CDM",64,64,550000.0,1000.0,30,2022.0,68,65,64,54,61,65,65,66,63,64,70,60,62,66,62,66,67,180
3104,M. Bradley,"CDM, CM",72,72,1200000.0,6000.0,33,2021.0,68,72,69,67,70,69,76,76,70,73,74,63,68,81,54,74,58,188
1166,A. Ekdal,"CM, CDM",76,76,6000000.0,20000.0,31,2022.0,75,76,73,70,70,66,80,78,74,79,74,70,74,82,70,76,68,186
3941,Escassi,"CDM, CB, CM",71,71,1200000.0,6000.0,32,2023.0,60,63,58,71,59,40,68,67,53,61,47,60,68,84,55,64,49,185
8682,R. Griffiths,"CB, CDM, CM",66,66,400000.0,4000.0,33,2022.0,56,60,58,63,53,36,68,58,57,60,48,59,59,67,53,61,47,187
1193,M. Gonalons,"CDM, CM",76,76,5000000.0,21000.0,32,2023.0,74,72,68,75,61,60,79,75,66,74,57,57,75,63,60,73,68,187
19103,J. Haak,CM,49,66,120000.0,650.0,19,2021.0,54,47,52,47,36,27,53,49,53,51,37,31,50,32,39,37,41,184
15253,J. Sowerby,"CM, CDM",60,63,325000.0,3000.0,26,2022.0,59,54,61,58,35,35,64,62,60,60,38,30,59,72,53,56,48,175
11363,Jiang Zhe,"CDM, RB, CM",64,64,400000.0,2000.0,32,2021.0,41,56,60,62,53,43,68,63,62,61,51,36,59,77,38,63,47,178
7350,M. Cantera,"CAM, CF, CM",68,68,1200000.0,550.0,28,2022.0,70,67,72,45,58,72,69,76,73,73,56,59,71,55,68,78,66,184
8785,André Santos,"CM, CDM",66,66,675000.0,4000.0,32,2023.0,66,66,68,63,64,58,67,68,68,69,70,64,63,62,60,57,54,178
10333,A. Ndom,"CDM, CM, LM",65,72,1300000.0,2000.0,25,2022.0,66,59,66,64,39,46,67,65,67,70,44,44,55,59,57,62,66,188
