,Name ,overall,potential,passing,skill_long_passing,value_eur,wage_eur,age,height_cm,club_contract_valid_until,goalkeeping_diving,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
517,D. Ospina,79,79,71,32,8500000.0,48000.0,32,183,2022.0,82,77,77,84
519,N. Guzmán,79,79,71,48,1900000.0,26000.0,35,193,2022.0,78,71,81,79
532,M. Silvestri,79,79,71,20,11500000.0,16000.0,30,191,2024.0,82,63,80,82
545,R. Gikiewicz,79,79,71,20,5500000.0,23000.0,33,190,2023.0,80,64,77,82
554,B. Lecomte,79,80,71,21,13000000.0,41000.0,30,187,2022.0,79,77,79,80
566,Edgar Badia,79,80,71,32,13500000.0,20000.0,29,180,2022.0,77,76,77,82
574,Kepa,79,83,71,52,19000000.0,76000.0,26,186,2025.0,78,85,76,81
576,Matheus,79,81,71,36,15000000.0,15000.0,28,190,2023.0,82,73,77,83
591,José Sá,79,81,71,20,15000000.0,65000.0,28,192,2026.0,80,62,76,83
608,G. Arias,79,79,71,19,5500000.0,18000.0,33,188,2023.0,79,73,80,83
614,A. Meret,79,86,70,22,30000000.0,40000.0,24,190,2023.0,80,70,78,82
619,U. Çakır,79,83,70,27,19000000.0,23000.0,25,191,2025.0,80,71,79,82
629,Gabri Prestão,79,79,71,12,12000000.0,26000.0,29,186,2024.0,81,71,77,82
640,G. Kobel,79,84,70,33,21500000.0,36000.0,23,195,2026.0,80,77,74,83
663,Pepe Reina,78,78,70,39,1600000.0,27000.0,38,188,2022.0,77,79,79,77
666,A. Talavera,78,78,70,35,1600000.0,8000.0,38,186,2022.0,80,70,75,77
668,B. Foster,78,78,70,32,1600000.0,27000.0,38,193,2022.0,78,73,78,78
676,C. Bravo,78,78,70,57,1600000.0,13000.0,38,184,2022.0,77,84,78,78
679,A. Oukidja,78,78,70,26,7000000.0,17000.0,32,184,2023.0,79,69,78,83
703,M. Hitz,78,78,70,33,4600000.0,39000.0,33,194,2023.0,81,79,77,79
724,S. Ortega,78,80,70,55,12000000.0,22000.0,28,185,2022.0,73,86,74,85
735,S. Sosa,78,78,70,36,2400000.0,12000.0,34,179,2021.0,77,71,81,80
762,Helton Leite,78,79,70,21,10500000.0,12000.0,30,196,2025.0,77,70,76,81
787,Sergio Herrera,78,80,70,21,12000000.0,24000.0,28,192,2023.0,80,74,75,78
804,E. Audero,78,81,69,19,15000000.0,14000.0,24,192,2026.0,80,73,76,82
806,A. Lunev,78,79,70,32,11000000.0,39000.0,29,190,2023.0,79,65,77,82
821,A. Lafont,78,83,69,38,17500000.0,18000.0,22,196,2024.0,80,69,74,82
843,P. Rajković,78,83,69,25,16500000.0,20000.0,25,191,2023.0,77,74,79,81
851,O. Kolář,78,82,69,29,15000000.0,900.0,26,193,2024.0,77,78,78,77
864,A. McGregor,77,77,69,39,1200000.0,23000.0,39,183,2022.0,77,70,78,79
865,Diego López,77,77,69,23,1200000.0,9000.0,39,196,2022.0,73,71,79,75
871,T. Krul,77,77,69,29,3400000.0,27000.0,33,188,2024.0,77,71,77,79
881,Guilherme,77,77,69,33,1200000.0,22000.0,35,195,2022.0,81,73,76,80
922,M. Ryan,77,79,69,45,8500000.0,25000.0,29,184,2023.0,77,82,76,79
925,M. Sels,77,79,69,32,8500000.0,20000.0,29,190,2024.0,76,75,76,76
927,M. Bizot,77,78,69,33,8000000.0,16000.0,30,193,2024.0,80,69,75,77
931,C. Tătărușanu,77,77,69,36,1200000.0,18000.0,35,198,2023.0,77,74,78,78
939,A. Schwolow,77,79,69,23,8500000.0,34000.0,29,190,2024.0,76,66,76,80
946,P. Gazzaniga,77,77,69,54,7000000.0,43000.0,29,196,2023.0,79,85,76,79
947,S. Johnstone,77,80,69,35,9500000.0,35000.0,28,193,2022.0,79,70,76,79
949,Sergio Rico,77,79,68,26,9500000.0,49000.0,27,196,2024.0,77,77,74,80
966,C. Vargas,77,77,69,24,5000000.0,12000.0,32,187,2024.0,76,69,75,78
983,B. Drągowski,77,81,68,32,12000000.0,30000.0,23,188,2023.0,79,70,77,80
992,J. Ledesma,77,80,69,26,9500000.0,24000.0,28,186,2025.0,78,67,74,80
1007,J. Omlin,77,81,68,35,11000000.0,20000.0,27,189,2024.0,77,73,75,79
1009,P. Bernardoni,77,82,68,24,13000000.0,15000.0,24,190,2024.0,78,73,77,82
1022,A. Rossi,77,82,68,33,12500000.0,13000.0,25,195,2023.0,76,73,79,77
1037,Lucas Mantela,77,77,68,18,9500000.0,18000.0,21,183,2024.0,79,75,77,71
1062,J. Bijlow,77,85,68,44,20000000.0,8000.0,23,188,2025.0,80,77,73,78
1075,Z. Steffen,77,82,68,52,12000000.0,73000.0,26,191,2022.0,78,74,72,83
1076,F. Müller,77,82,68,28,13000000.0,18000.0,23,190,2025.0,76,72,73,81
1111,I. Meslier,77,85,68,37,20500000.0,34000.0,21,196,2026.0,79,73,73,81
1115,A. Bayındır,77,84,68,22,18000000.0,28000.0,23,198,2023.0,79,71,77,81
1136,M. Stekelenburg,76,76,68,37,825000.0,8000.0,38,197,2022.0,75,75,77,74
1137,R. Jarstein,76,76,68,31,825000.0,19000.0,36,190,2023.0,74,70,80,78
1140,Andrés Fernández,76,76,68,40,1300000.0,10000.0,34,187,2023.0,78,67,75,76
1141,Iván Cuéllar,76,76,68,28,825000.0,6000.0,37,188,2023.0,75,73,74,77
1149,T. Heaton,76,76,68,37,825000.0,42000.0,35,188,2023.0,74,74,78,75
1152,A. Shunin,76,76,68,30,2850451.813201148,9017.989362811555,34,191,2031.0,77,70,75,78
1153,Marcelo Grohe,76,76,68,22,1300000.0,27000.0,34,188,2022.0,76,66,76,78
1160,A. Begović,76,76,68,32,1300000.0,49000.0,34,199,2022.0,76,73,74,76
1163,L. Burián,76,76,68,39,825000.0,7000.0,37,188,2022.0,76,73,78,76
1173,R. Cota,76,76,68,31,2400000.0,18000.0,33,183,2022.0,75,67,79,79
1192,A. Luthe,76,76,68,19,1300000.0,22000.0,34,195,2024.0,77,61,78,77
1194,K. Darlow,76,77,68,30,5500000.0,28000.0,30,190,2025.0,77,68,75,78
1200,Joel Robles,76,76,68,26,4000000.0,17000.0,31,195,2022.0,77,73,74,78
1207,Jordi Masip,76,76,68,38,3700000.0,9000.0,32,180,2022.0,76,70,73,76
1213,T. Horn,76,78,67,29,6500000.0,21000.0,28,192,2023.0,77,60,70,78
1223,A. Gomis,76,78,67,35,7000000.0,30000.0,27,196,2025.0,76,70,75,76
1235,H. Van Crombrugge,76,78,67,45,6500000.0,18000.0,28,188,2025.0,77,75,77,79
1241,M. Borjan,76,76,68,48,2850451.813201148,9017.989362811555,33,196,2031.0,78,74,74,73
1247,Y. Mvogo,76,79,67,22,7500000.0,43000.0,27,189,2022.0,78,75,73,79
1256,R. Olsen,76,76,68,37,4000000.0,33000.0,31,196,2022.0,77,74,75,77
1263,M. Müller,76,79,67,27,7500000.0,12000.0,27,192,2022.0,74,70,77,78
1309,M. Sportiello,76,76,68,19,5000000.0,33000.0,29,192,2022.0,76,68,76,78
1313,A. Blake,76,76,68,33,5000000.0,7000.0,30,188,2024.0,78,68,78,80
1315,D. von Ballmoos,76,80,67,27,8000000.0,13000.0,26,192,2025.0,77,74,75,77
1332,S. Rochet,76,78,67,24,6500000.0,1000.0,28,190,2023.0,76,67,76,77
1361,Robert Sanchéz,76,82,67,50,9500000.0,31000.0,23,197,2025.0,76,69,75,78
1370,Fred Aníbão,76,76,68,18,5000000.0,13000.0,29,192,2024.0,71,76,72,77
1371,Nelsildo Reis,76,79,67,18,8000000.0,7000.0,21,190,2024.0,76,77,76,74
1372,Pierrino Faria,76,76,68,27,825000.0,13000.0,37,190,2024.0,77,65,77,79
1381,G. Larsonneur,76,79,67,30,8000000.0,12000.0,24,181,2023.0,76,72,75,79
1401,C. Acevedo,76,82,67,20,9500000.0,15000.0,25,184,2022.0,77,69,75,80
1415,F. Niță,76,76,68,22,2400000.0,850.0,33,184,2023.0,76,70,77,77
1440,Luís Maximiano,76,83,67,38,13000000.0,14000.0,22,190,2025.0,77,65,74,78
1467,A. Pyatov,75,75,67,24,625000.0,500.0,37,190,2023.0,72,78,83,73
1473,J. Leca,75,75,67,37,625000.0,13000.0,35,180,2022.0,75,76,73,77
1474,J. Corona,75,75,67,33,625000.0,23000.0,40,184,2023.0,72,68,78,73
1480,R. Pasveer,75,75,67,52,625000.0,8000.0,37,188,2023.0,74,85,77,74
1481,J. Orozco,75,75,67,65,625000.0,10000.0,35,184,2023.0,75,81,75,74
1485,D. Randolph,75,75,67,34,950000.0,40000.0,34,188,2023.0,77,67,73,76
1490,F. Forster,75,75,67,19,1800000.0,34000.0,33,201,2022.0,75,64,74,79
1531,S. Ulreich,75,75,67,30,2800000.0,41000.0,32,192,2022.0,76,62,75,79
1541,E. Berisha,75,75,67,26,2800000.0,28000.0,32,194,2024.0,74,66,74,76
1542,A. McCarthy,75,75,67,35,3000000.0,34000.0,31,193,2022.0,74,61,75,80
1547,Ł. Skorupski,75,76,67,26,4200000.0,22000.0,30,187,2023.0,78,54,74,81
1549,M. Günok,75,75,67,28,2800000.0,28000.0,32,196,2024.0,73,76,78,79
1555,G. Makaridze,75,75,67,23,3000000.0,9000.0,31,194,2022.0,78,62,73,74
1556,J. Zoet,75,75,67,37,3700000.0,13000.0,30,189,2022.0,74,75,75,77
1561,K. Nordfeldt,75,75,67,26,2800000.0,7000.0,32,188,2021.0,74,69,75,76
1567,Paulo Victor,75,75,67,12,950000.0,8000.0,34,187,2023.0,71,70,75,81
1569,Herrerín,75,75,67,29,1800000.0,15000.0,33,187,2023.0,76,80,73,72
1573,B. Hamid,75,75,67,26,3700000.0,7000.0,30,191,2022.0,76,69,77,75
1584,M. Silva,75,75,67,33,625000.0,600.0,38,186,2021.0,78,72,73,81
1590,Diego Mariño,75,75,67,35,3000000.0,8000.0,31,187,2023.0,76,67,70,79
1605,Gabriel,75,76,66,17,4500000.0,4000.0,28,193,2022.0,77,68,75,77
1608,L. Mejía,75,75,67,22,3700000.0,600.0,30,190,2021.0,79,67,71,76
1618,L. Karius,75,78,66,41,5000000.0,61000.0,28,189,2022.0,80,75,72,79
1642,S. Dioudis,75,77,66,23,4800000.0,700.0,28,189,2023.0,77,68,74,80
1646,M. Dituro,75,75,67,25,950000.0,16000.0,34,191,2024.0,72,75,77,77
1664,Rubén Blanco,75,79,66,29,6000000.0,15000.0,25,189,2023.0,79,73,73,74
1667,S. Dimitrievski,75,79,66,27,6000000.0,14000.0,27,188,2024.0,74,72,76,76
1671,M. Flekken,75,77,66,28,4800000.0,20000.0,28,195,2022.0,76,75,73,77
1677,Jo Hyeon Woo,75,77,67,23,4700000.0,9000.0,29,189,2022.0,76,60,73,81
1692,N. Vikonis,75,75,67,24,625000.0,7000.0,37,184,2023.0,76,68,74,77
1705,G. Herrera,75,76,67,18,4300000.0,12000.0,29,187,2023.0,75,73,75,77
1734,Jaume,75,75,67,55,3700000.0,22000.0,30,185,2023.0,73,74,71,75
1757,E. Unsain,75,78,66,37,5500000.0,11000.0,26,188,2023.0,79,76,71,79
1765,A. Nübel,75,80,66,18,7000000.0,34000.0,24,193,2023.0,75,71,76,85
1793,M. Díaz,75,75,67,21,625000.0,7000.0,35,187,2023.0,75,65,79,74
1803,J. Drommel,75,81,66,39,7000000.0,10000.0,24,193,2026.0,75,77,74,77
1819,Simão Donatinho,75,75,66,20,4600000.0,19000.0,25,188,2024.0,76,77,75,75
1821,Walexinton,75,75,67,21,3800000.0,12000.0,29,177,2024.0,74,69,75,76
1830,Kaíquão Castro,75,75,66,16,4600000.0,16000.0,25,190,2024.0,77,61,72,73
1862,M. Turner,75,77,66,29,5000000.0,7000.0,27,191,2021.0,76,66,79,76
1867,I. Radu,75,80,66,26,7000000.0,43000.0,24,188,2024.0,79,72,75,80
1934,G. Bushchan,75,79,66,29,6000000.0,750.0,27,196,2023.0,75,80,72,79
1957,K. Dawson,75,77,67,25,4700000.0,950.0,29,179,2022.0,77,71,72,71
1966,G. Mamardashvili,75,83,66,15,10500000.0,14000.0,20,199,2022.0,76,71,76,79
1967,J. Hansen,74,74,66,53,475000.0,7000.0,36,188,2023.0,74,76,74,74
1969,J. Hart,74,74,66,35,725000.0,32000.0,34,196,2024.0,68,66,75,76
1970,S. Viera,74,74,66,18,475000.0,2000.0,38,184,2022.0,71,71,75,76
1978,W. Hennessey,74,74,66,41,725000.0,22000.0,34,198,2023.0,76,77,74,71
1986,R. Fährmann,74,74,66,26,2100000.0,9000.0,32,197,2025.0,76,42,73,79
1988,D. Vukovic,74,74,66,12,475000.0,6000.0,36,187,2023.0,72,63,78,75
1992,Oier,74,74,66,36,2200000.0,12000.0,31,190,2022.0,73,72,74,73
2013,C. Álvarez,74,74,66,31,475000.0,5000.0,35,186,2023.0,74,70,76,76
2014,E. Room,74,74,66,46,2100000.0,6000.0,32,188,2021.0,76,68,71,76
2024,A. Hansen,74,74,66,41,2200000.0,6000.0,31,189,2023.0,76,70,75,78
2025,S. Frei,74,74,66,33,475000.0,4000.0,35,191,2022.0,75,67,75,74
2037,H. Lindner,74,74,66,15,2800000.0,10000.0,30,188,2023.0,78,67,73,75
2046,Adrián,74,74,66,32,725000.0,53000.0,34,190,2023.0,77,68,72,77
2057,Cláudio Ramos,74,76,65,23,3500000.0,9000.0,29,183,2024.0,78,64,71,75
2060,M. Riemann,74,74,66,65,2100000.0,16000.0,32,186,2023.0,73,72,72,76
2064,L. Unnerstall,74,74,66,24,2800000.0,8000.0,30,198,2025.0,74,70,74,75
2065,P. Pervan,74,74,66,31,1400000.0,33000.0,33,194,2022.0,72,69,72,75
2072,F. Rønnow,74,74,65,30,3000000.0,20000.0,28,190,2025.0,76,67,72,77
2111,D. Ward,74,74,65,42,3000000.0,53000.0,28,191,2022.0,75,66,73,75
2136,Jordi,74,77,65,21,4100000.0,8000.0,27,192,2022.0,75,71,71,78
2147,J. Burrai,74,74,66,24,2800000.0,900.0,30,188,2023.0,75,70,73,75
2149,A. Aguerre,74,74,66,23,2800000.0,10000.0,30,181,2022.0,75,63,73,76
2153,L. Montipò,74,80,65,16,5000000.0,11000.0,25,191,2022.0,74,70,72,76
2154,A. Schlager,74,78,65,18,4600000.0,17000.0,25,184,2023.0,75,66,73,77
2157,J. Broun,74,74,66,22,475000.0,8000.0,35,190,2022.0,71,69,76,77
2182,David Raya,74,78,65,30,4600000.0,27000.0,25,183,2023.0,73,76,70,74
2191,F. Woodman,74,81,65,26,7000000.0,20000.0,24,190,2023.0,74,70,73,74
2198,R. Zentner,74,77,65,26,4200000.0,16000.0,26,194,2023.0,74,64,72,79
2200,L. Hoyos,74,74,66,31,2100000.0,10000.0,32,183,2022.0,79,68,66,80
2205,I. Provedel,74,76,65,23,3900000.0,12000.0,27,192,2022.0,75,66,72,75
2212,M. Campaña,74,74,66,28,2100000.0,12000.0,32,186,2022.0,72,72,76,74
2214,P. Gallese,74,74,66,24,2200000.0,6000.0,31,191,2021.0,75,69,72,75
2220,Léo Jardim,74,78,65,24,4500000.0,21000.0,26,188,2024.0,76,68,69,75
2227,G. Alcalá,74,76,65,22,3600000.0,15000.0,28,179,2026.0,73,65,74,73
2243,Nilson Alfarinho,74,74,66,26,475000.0,15000.0,37,190,2024.0,68,72,78,77
2244,Enzo Marteiro,74,74,65,30,2900000.0,24000.0,29,191,2024.0,82,73,74,69
2258,Victorino Magela,74,74,65,15,3700000.0,6000.0,21,188,2024.0,71,73,75,76
2259,Adrian Scitto,74,74,65,20,2900000.0,19000.0,29,193,2024.0,68,74,77,73
2291,Miguel Silva,74,79,65,20,4900000.0,8000.0,26,189,2024.0,77,59,72,76
2306,A. Maksimenko,74,81,65,27,7000000.0,26000.0,23,187,2023.0,75,67,72,78
2307,A. Ramsdale,74,79,65,33,5000000.0,36000.0,23,188,2025.0,75,69,71,76
2375,D. Akpeyi,74,74,66,19,475000.0,500.0,35,189,2022.0,74,68,75,75
2386,A. Lunin,74,85,65,26,8000000.0,59000.0,22,192,2024.0,71,73,74,76
2388,A. Šemper,74,77,65,31,4500000.0,10000.0,23,194,2024.0,74,63,75,75
2391,Y. Dyupin,74,74,66,22,2850451.813201148,9017.989362811555,33,187,2031.0,76,68,74,78
2426,R. Ofori,74,77,65,39,4100000.0,700.0,27,185,2023.0,74,77,75,74
2427,A. Mandous,74,75,65,35,3200000.0,750.0,29,188,2026.0,74,74,76,74
2432,P. Kieszek,73,73,65,39,350000.0,4000.0,37,187,2022.0,72,68,73,74
2433,R. Salin,73,73,65,23,350000.0,16000.0,36,189,2022.0,72,68,73,74
2439,P. Pentke,73,73,65,22,350000.0,13000.0,36,191,2022.0,74,66,73,77
2446,S. Bolat,73,73,65,41,1500000.0,14000.0,32,186,2022.0,70,74,73,72
2447,D. Padelli,73,73,65,29,350000.0,7000.0,35,191,2023.0,72,63,76,70
2461,Manolo Reina,73,73,65,36,350000.0,10000.0,36,186,2022.0,71,67,74,75
2462,M. Andújar,73,73,65,23,350000.0,6000.0,37,194,2022.0,72,62,75,75
2464,Marco Pereira,73,73,65,60,525000.0,5000.0,34,184,2024.0,72,76,72,73
2467,T. Sippel,73,73,65,26,1000000.0,16000.0,33,183,2023.0,74,76,69,77
2469,Kiko Casilla,73,73,65,28,525000.0,40000.0,34,190,2022.0,74,72,69,74
2470,Fabricio,73,73,65,40,1000000.0,31000.0,33,184,2022.0,72,71,70,73
2476,E. Kawashima,73,73,65,33,350000.0,9000.0,38,185,2023.0,72,72,73,73
2481,M. Männel,73,73,65,36,1000000.0,7000.0,33,183,2022.0,76,60,73,75
2486,O. Karnezis,73,73,65,36,350000.0,13000.0,35,190,2023.0,73,69,75,74
2489,Roberto,73,73,65,37,350000.0,5000.0,35,192,2023.0,74,72,71,77
2492,Yoel,73,73,65,35,1500000.0,8000.0,32,185,2024.0,74,69,71,70
2494,R. Zieler,73,73,65,22,1500000.0,17000.0,32,188,2023.0,70,70,73,74
2503,T. Kaminski,73,75,64,44,2600000.0,27000.0,28,188,2022.0,72,69,67,74
2511,K. Johnsson,73,73,65,45,1600000.0,13000.0,31,189,2023.0,72,71,74,74
2521,S. Johnson,73,73,65,46,1500000.0,6000.0,32,190,2024.0,73,70,70,76
2539,O. Jiménez,73,73,65,31,1500000.0,26000.0,32,182,2022.0,73,68,72,73
2543,V. Belec,73,73,65,28,1600000.0,24000.0,31,193,2023.0,73,65,71,74
2545,M. Heča,73,73,64,21,2000000.0,700.0,30,187,2023.0,74,67,72,72
2547,F. Bardi,73,73,64,31,2100000.0,20000.0,29,188,2022.0,75,65,70,76
2553,Juan Carlos,73,73,65,27,1000000.0,8000.0,33,186,2023.0,71,73,72,74
2565,D. Bentley,73,75,64,23,2800000.0,21000.0,27,188,2022.0,77,68,72,73
2577,T. Melia,73,73,65,45,350000.0,4000.0,35,183,2022.0,73,73,74,73
2598,J. Butland,73,74,64,30,2400000.0,31000.0,28,196,2023.0,73,66,74,75
2603,B. Reynet,73,73,64,36,2000000.0,4000.0,30,185,2024.0,72,73,74,75
2609,B. Samba,73,76,64,36,3000000.0,28000.0,27,186,2022.0,75,76,71,74
2613,Fernando,73,73,65,24,1600000.0,8000.0,31,185,2022.0,73,68,69,73
2618,S. Kapino,73,76,64,27,3000000.0,15000.0,27,196,2023.0,74,66,72,79
2619,S. Lung,73,73,65,21,1500000.0,9000.0,32,189,2022.0,72,66,74,74
2624,P. Nardi,73,77,64,25,3200000.0,12000.0,27,188,2023.0,76,68,71,78
2639,A. Linde,73,76,64,18,3000000.0,5000.0,27,196,2021.0,76,66,73,76
2660,A. Brignoli,73,74,64,42,2300000.0,600.0,29,187,2023.0,72,75,73,73
2693,L. Cháves,73,78,64,31,3600000.0,8000.0,25,178,2023.0,76,66,74,74
2695,M. Crépeau,73,76,64,42,3000000.0,6000.0,27,180,2022.0,71,70,73,74
2710,I. Arboleda,73,79,64,23,3800000.0,11000.0,25,182,2022.0,75,66,71,75
2713,G. Gallon,73,75,64,27,2600000.0,12000.0,28,186,2024.0,73,72,73,74
2720,R. Rey,73,74,64,13,2300000.0,11000.0,30,188,2022.0,74,69,73,75
2722,S. Moyano,73,73,64,30,2000000.0,9000.0,30,188,2021.0,73,68,72,74
2735,C. Stanković,73,75,64,17,2600000.0,850.0,28,186,2025.0,77,60,69,77
2741,S. Torrico,73,73,65,19,350000.0,6000.0,41,183,2022.0,70,69,77,74
2763,L. Kalinić,73,73,65,16,1600000.0,700.0,31,201,2023.0,75,48,74,74
2766,J. Rinne,73,76,64,35,2800000.0,10000.0,28,188,2022.0,72,76,71,74
2767,D. Dibusz,73,73,64,22,2000000.0,700.0,30,188,2023.0,72,70,68,77
2769,J. Staněk,73,79,64,19,3800000.0,650.0,25,191,2023.0,75,72,74,74
2778,M. Rodák,73,80,64,17,5000000.0,25000.0,24,194,2024.0,76,72,69,75
2783,Munir,73,73,65,33,1500000.0,9000.0,32,190,2022.0,73,68,70,75
2799,Yan Junling,73,73,64,30,2000000.0,14000.0,30,191,2025.0,72,69,72,74
2839,W. Faríñez,73,77,64,29,3500000.0,14000.0,23,180,2024.0,70,69,74,76
2863,Jaim Abra,73,73,64,15,2100000.0,11000.0,29,188,2024.0,77,68,73,74
