,Name ,player_positions,overall,potential,age,physic,preferred_foot,height_cm,club_contract_valid_until,value_eur,power_jumping,power_strength,defending,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,mentality_interceptions,mentality_aggression,mentality_composure,passing,skill_long_passing,attacking_heading_accuracy,power_long_shots
3221,J. Vuković,CB,72,72,33,76,Left,195,2022.0,1100000.0,74,86,73,71,75,71,73,74,68,55,60,78,70
6494,B. Poulain,CB,68,68,33,71,Right,189,2022.0,575000.0,33,79,71,72,70,67,71,73,71,56,64,70,21
2679,E. Roco,CB,73,74,28,77,Right,192,2023.0,2900000.0,82,84,75,75,77,72,70,66,64,54,62,77,39
6550,P. Arajuuri,CB,68,68,33,80,Right,193,2031.0,2850451.813201148,68,88,66,61,68,65,70,80,61,44,58,70,24
3524,D. Viera,CB,72,72,30,79,Right,185,2022.0,1900000.0,47,92,73,72,74,70,72,78,71,44,46,74,22
10479,B. Passi,CB,65,71,23,73,Right,189,2022.0,1000000.0,73,87,63,63,63,61,63,68,56,55,62,66,32
12965,R. Patriche,CB,63,63,35,72,Right,183,2022.0,130000.0,80,82,62,60,61,59,65,67,55,48,59,64,29
2653,S. Mitrović,CB,73,73,31,81,Right,189,2024.0,2100000.0,74,85,74,75,75,68,73,82,70,51,65,75,38
6424,S. Hagen,CB,68,68,35,69,Right,185,2021.0,325000.0,73,78,69,70,69,68,71,61,68,52,63,67,40
11082,J. O'Brien,"CB, RB",64,64,35,66,Right,188,2021.0,150000.0,66,72,64,65,64,62,64,68,65,57,58,61,39
5985,P. Erras,"CDM, CB",69,72,26,72,Right,196,2024.0,1600000.0,34,81,68,71,70,57,69,63,75,61,67,57,47
12397,M. Matras,"CDM, CB",63,63,30,80,Right,193,2022.0,400000.0,62,89,61,63,59,51,65,77,64,55,60,60,53
9839,M. Bostwick,CB,65,65,33,85,Right,193,2022.0,350000.0,32,91,63,63,64,60,62,88,61,48,50,66,64
5543,V. Sasso,CB,69,69,30,75,Right,190,2022.0,1100000.0,68,82,69,67,70,67,70,77,60,52,62,73,21
6453,A. Pearce,CB,68,68,32,75,Right,188,2022.0,775000.0,70,81,69,73,68,66,65,74,60,44,53,72,25
2036,B. Nuytinck,CB,74,74,31,69,Left,190,2023.0,2900000.0,60,75,77,79,78,73,78,76,73,54,61,73,36
10049,S. Piesinger,CB,65,65,29,76,Right,192,2023.0,600000.0,33,91,64,65,64,55,65,68,65,58,66,68,59
11233,A. Al Hafith,CB,64,64,28,77,Right,188,2023.0,500000.0,73,78,63,64,64,59,62,74,55,49,61,64,39
12251,S. Cuthbert,CB,63,63,34,78,Right,188,2022.0,160000.0,72,90,61,61,62,61,60,64,58,48,55,62,32
2460,J. Maidana,CB,73,73,35,75,Right,185,2021.0,800000.0,81,86,72,74,72,70,67,85,72,62,69,73,32
7595,H. Badstuber,CB,67,67,32,65,Left,189,2022.0,650000.0,58,77,69,68,70,67,66,75,60,61,67,72,55
948,Y. Abdelhamid,CB,77,77,33,83,Left,190,2022.0,5000000.0,83,85,78,78,80,76,77,81,73,56,71,76,23
1492,J. Tomkins,CB,75,75,32,68,Right,192,2022.0,3600000.0,75,80,77,77,77,78,76,81,70,56,60,78,29
1483,G. Cabral,CB,75,75,35,77,Right,184,2021.0,1500000.0,81,81,76,75,76,78,78,82,71,52,59,76,29
14878,Y. Someya,CB,61,61,34,64,Right,184,2022.0,110000.0,36,80,62,66,55,55,71,68,48,44,51,57,36
8750,F. Jungwirth,"CB, CDM",66,66,32,74,Right,181,2021.0,550000.0,72,75,65,65,65,65,66,75,60,61,67,65,38
7473,A. Johansson,CB,67,67,39,68,Right,184,2021.0,180000.0,74,73,68,71,67,62,72,70,73,59,67,60,53
13387,R. McArdle,CB,62,62,34,72,Right,185,2022.0,130000.0,73,76,62,62,62,61,61,68,58,43,40,64,18
12309,L. Legge,CB,63,63,36,84,Right,193,2022.0,90000.0,84,90,61,62,62,62,58,78,60,39,46,60,20
4934,S. Fortes,CB,70,70,29,80,Right,192,2022.0,1300000.0,55,91,70,71,73,70,64,65,63,54,56,73,56
12335,J. Hammar,CB,63,66,27,70,Right,197,2024.0,550000.0,42,82,62,64,60,58,60,79,44,46,60,66,39
6416,R. Lindgren,CB,68,68,36,71,Right,180,2021.0,220000.0,43,73,69,68,71,68,70,72,69,64,63,65,69
8268,F. Aksoy,"CDM, CB, RB",67,75,23,70,Right,189,2025.0,2100000.0,52,74,70,70,74,72,66,62,54,54,59,65,33
990,G. Maripán,CB,77,79,27,80,Right,193,2024.0,11000000.0,68,91,78,78,79,74,77,80,71,54,72,79,35
12376,J. Ojala,CB,63,63,32,73,Right,191,2023.0,300000.0,29,87,63,61,65,57,62,58,65,46,54,71,27
15957,D. Webster,"CB, LB, RWB",59,59,31,68,Right,187,2021.0,150000.0,52,74,57,58,57,58,55,70,55,49,53,60,44
14022,L. van der Gaag,CB,62,73,19,64,Right,190,2023.0,800000.0,58,69,63,61,66,62,59,63,50,41,43,69,23
4744,Gálvez,CB,70,70,32,78,Right,188,2023.0,1000000.0,60,81,69,65,72,67,72,82,65,60,73,69,36
4733,Raúl Navas,CB,70,70,33,63,Right,186,2022.0,750000.0,81,75,70,71,71,69,70,73,68,54,51,68,41
6553,D. Ulvestad,CB,68,68,32,75,Right,189,2022.0,775000.0,76,83,68,70,67,60,69,70,65,48,56,68,42
4643,M. Mavraj,CB,70,70,35,70,Left,189,2024.0,425000.0,71,78,72,72,76,70,66,74,63,51,45,77,26
9022,N. Ferreyra,CB,66,68,28,76,Right,194,2022.0,850000.0,30,94,66,68,65,58,64,73,60,38,34,70,21
10037,T. Anderson,CB,65,66,27,81,Right,193,2022.0,725000.0,78,84,64,64,64,63,63,79,61,41,51,67,27
12294,I. Armaș,CB,63,63,33,78,Left,194,2022.0,230000.0,32,90,62,60,63,60,60,70,68,49,51,68,40
4193,S. Birnbaum,CB,71,71,30,81,Right,185,2022.0,1500000.0,89,85,70,73,69,68,67,77,71,46,54,73,25
2442,W. Janssen,CB,73,73,34,74,Right,186,2022.0,1000000.0,84,74,72,73,68,70,75,80,76,68,71,80,58
5493,K. McFadzean,CB,69,69,34,78,Right,185,2022.0,450000.0,74,83,68,68,68,63,69,80,55,48,61,71,33
15200,H. Al Shuwaysh,"CB, LB",60,60,32,76,Left,185,2023.0,160000.0,80,82,58,57,60,57,55,64,50,45,42,60,24
3852,G. Paletta,CB,71,71,35,80,Right,190,2022.0,500000.0,76,86,73,74,74,68,73,78,74,40,54,72,44
8722,A. Collin,CB,66,66,35,75,Right,187,2021.0,230000.0,87,83,62,61,60,60,64,90,57,52,63,70,44
11389,M. Devlin,CB,64,67,27,69,Right,188,2022.0,675000.0,76,81,64,64,66,65,59,80,52,35,33,67,24
9893,Steven Vitória,CB,65,65,34,76,Right,195,2022.0,230000.0,31,91,63,60,67,63,62,76,72,52,57,65,59
11094,M. Reynolds,CB,64,64,34,70,Left,185,2022.0,190000.0,72,72,64,64,64,62,62,66,63,53,58,65,22
3835,A. Alcáraz,CB,71,71,38,72,Right,187,2021.0,325000.0,72,82,70,63,74,73,70,72,80,48,20,74,42
9062,J. Silva,"CB, RB",66,69,26,71,Right,190,2021.0,1000000.0,78,80,68,67,67,67,67,54,60,39,43,74,28
5682,M. Wagué,CB,69,69,30,82,Right,191,2022.0,1100000.0,84,92,68,68,68,71,68,70,68,42,51,69,29
12318,L. Sætra,CB,63,63,29,77,Right,195,2023.0,400000.0,32,91,60,55,63,60,62,73,62,48,56,66,30
7748,B. Godeau,"CB, LB",67,67,29,67,Left,190,2023.0,850000.0,35,67,70,70,69,67,71,71,62,56,63,70,32
8685,P. Hartley,CB,66,66,33,84,Left,187,2022.0,400000.0,71,87,65,67,66,61,61,92,54,48,55,67,32
11330,A. Sušac,CB,64,64,32,67,Right,185,2023.0,375000.0,79,76,68,66,69,66,69,59,68,35,50,66,25
1171,R. Thomas,CB,76,76,33,73,Left,193,2022.0,3600000.0,69,85,78,78,79,76,76,76,73,54,68,79,28
1506,F. Fazio,CB,75,75,34,75,Right,195,2022.0,1800000.0,41,83,77,77,78,73,75,76,79,53,60,85,26
3131,C. Cathcart,"CB, RB",72,72,32,71,Right,190,2023.0,1500000.0,67,77,74,77,73,72,73,73,71,55,64,76,41
3134,A. Epureanu,CB,72,72,34,76,Left,189,2022.0,750000.0,61,84,74,73,76,71,71,73,76,54,69,78,41
6649,Oh Ban Suk,CB,68,68,33,75,Right,190,2022.0,575000.0,76,85,70,68,73,67,69,65,64,37,36,70,16
10267,E. Šipović,CB,65,65,30,79,Right,199,2022.0,575000.0,71,89,65,63,69,65,60,56,51,39,46,69,35
11067,P. Netzer,CB,64,64,35,64,Left,188,2022.0,150000.0,46,71,65,63,66,65,64,71,59,56,59,70,50
2610,F. Kiss,"CDM, CB",73,73,30,83,Right,187,2022.0,2500000.0,72,83,70,69,71,69,70,81,64,65,71,66,63
6793,S. Marreh,"CDM, CM, CB",68,72,25,75,Right,184,2023.0,1500000.0,40,77,67,68,69,65,67,83,66,56,64,58,29
5483,Pita,"CDM, CB, CM",69,69,36,69,Right,185,2022.0,275000.0,60,75,69,70,70,69,71,65,75,69,66,59,68
4624,S. Bamba,CB,70,70,36,72,Right,190,2022.0,275000.0,60,91,71,69,72,69,73,79,64,41,51,71,15
18937,M. Bozinovski,CB,51,60,20,63,Right,195,2022.0,120000.0,62,72,52,51,53,51,51,43,34,30,33,54,19
12252,L. Fontaine,CB,63,63,35,74,Left,188,2022.0,130000.0,72,82,62,60,63,62,62,62,61,50,52,65,20
1704,C. Lema,CB,75,75,31,82,Right,192,2021.0,3800000.0,60,91,76,76,76,70,72,85,65,56,64,86,24
4077,I. Kutepov,CB,71,72,27,72,Right,192,2022.0,1900000.0,36,79,73,69,73,72,76,68,63,55,71,80,55
7696,T. Beugelsdijk,CB,67,67,30,77,Right,192,2022.0,825000.0,73,82,66,65,65,64,67,80,64,45,50,72,33
6413,R. Stearman,CB,68,68,33,69,Right,191,2022.0,575000.0,74,77,68,70,68,65,67,73,51,47,48,70,32
16582,M. Kryeziu,CB,58,63,24,77,Left,196,2022.0,275000.0,65,89,56,53,57,56,54,65,52,37,45,63,25
10073,M. Lackner,"CDM, CM, CB",65,65,30,76,Right,191,2022.0,600000.0,42,81,64,63,65,62,65,70,56,57,61,64,46
2515,K. Glik,CB,73,73,33,79,Right,190,2023.0,1500000.0,75,86,72,71,71,71,71,85,75,45,63,77,20
5221,J. Chabot,CB,70,76,23,75,Left,195,2024.0,2300000.0,76,83,70,69,70,68,70,79,64,44,48,74,23
3923,E. Zukanović,CB,71,71,34,76,Left,190,2022.0,600000.0,50,87,73,73,74,70,71,70,74,64,64,74,69
13384,G. Coulibaly,"CDM, CB",62,62,35,68,Right,183,2022.0,110000.0,64,74,62,63,60,56,65,67,66,58,56,63,54
7591,D. Reyes,CB,67,68,28,64,Right,192,2022.0,975000.0,70,61,69,69,69,69,68,70,50,47,47,72,28
10305,T. Mahrer,CB,65,65,31,74,Right,191,2023.0,500000.0,31,83,66,66,66,63,64,64,66,42,47,76,26
1989,A. Ranocchia,CB,74,74,33,66,Right,195,2022.0,2000000.0,69,71,78,75,80,76,79,68,69,57,65,77,31
9365,M. Nadé,CB,66,75,22,76,Right,188,2024.0,1800000.0,69,91,67,65,70,66,66,70,62,34,27,64,23
3123,G. Svensson,"CDM, CB, CM",72,72,34,81,Right,184,2023.0,800000.0,74,80,69,67,73,72,68,80,70,61,68,65,47
6506,O. Gonzalez,CB,68,68,32,83,Right,196,2021.0,775000.0,83,91,66,66,64,64,69,71,63,49,62,72,35
4607,U. Hünemeier,CB,70,70,35,64,Right,189,2022.0,425000.0,80,74,72,73,74,65,74,68,65,60,60,66,40
8076,Y. Hiraoka,CB,67,67,35,69,Right,183,2022.0,275000.0,74,72,70,71,72,70,71,59,57,45,59,59,24
3838,J. Bottinelli,CB,71,71,36,72,Left,180,2021.0,325000.0,77,82,69,69,66,64,74,92,71,60,66,73,27
6586,D. Høegh,CB,68,68,30,73,Right,190,2024.0,1000000.0,82,77,68,67,69,64,66,70,64,50,65,74,46
10519,M. Rossmann,CB,65,68,26,77,Right,192,2022.0,825000.0,58,90,65,68,64,62,63,67,55,40,42,66,27
12307,Y. Bocognano,CB,63,63,31,79,Right,185,2022.0,325000.0,76,89,61,61,65,59,61,60,50,55,58,52,33
6514,F. Mancinelli,CB,68,68,39,73,Right,181,2021.0,220000.0,48,78,70,76,71,59,68,75,76,51,48,63,50
12502,G. Mutombo,CB,63,67,25,73,Left,191,2022.0,600000.0,49,82,63,61,67,63,60,70,48,45,49,63,28
9019,S. Silva,"CB, CM",66,66,29,65,Right,180,2021.0,725000.0,84,69,67,66,70,63,65,71,61,45,59,72,15
7486,A. Considine,CB,67,67,34,78,Left,183,2022.0,325000.0,85,81,67,67,68,66,64,67,60,55,57,67,13
5837,P. Bochniewicz,CB,69,74,25,77,Left,194,2023.0,1800000.0,72,86,70,71,72,67,68,68,71,52,65,68,26
5776,C. Vilches,CB,69,69,37,75,Right,181,2021.0,250000.0,82,83,70,71,69,68,68,68,54,49,61,71,41
9317,A. Hopmark,"CB, CDM",66,66,29,77,Right,192,2022.0,725000.0,69,83,65,66,65,62,68,67,64,55,59,61,46
8752,D. Gissi,CB,66,66,30,78,Right,192,2022.0,700000.0,56,87,64,64,63,62,65,73,55,58,57,67,49
9895,H. Mulder,"CB, CDM, CM",65,65,34,69,Right,180,2022.0,230000.0,75,74,63,60,63,62,68,75,66,62,63,63,59
8875,R. Inniss,CB,66,68,26,78,Right,196,2022.0,925000.0,64,89,64,66,64,62,62,81,51,42,44,66,31
14419,D. Schmidt,CB,61,61,34,74,Right,187,2022.0,110000.0,80,80,58,55,60,57,57,77,59,49,53,60,29
3216,L. Sobiech,CB,72,72,30,73,Right,196,2022.0,1900000.0,34,87,74,73,74,71,70,71,69,47,48,83,31
14468,R. Cornwall,CB,61,65,26,72,Right,183,2021.0,400000.0,62,83,60,60,63,58,56,62,55,47,49,60,28
8714,Y. Amankwah,CB,66,66,32,80,Right,194,2022.0,550000.0,79,91,64,65,64,62,63,70,58,37,43,65,25
17033,Kim Woo Suk,"CB, LM",57,60,24,66,Right,187,2022.0,200000.0,75,65,56,51,58,55,56,63,56,37,30,63,19
10130,H. Takahashi,"CDM, CB, CM",65,65,33,67,Right,182,2022.0,350000.0,46,70,64,65,62,60,67,64,60,59,66,61,56
14521,A. De John,"CB, RB",61,61,30,71,Right,183,2021.0,275000.0,76,82,58,56,59,57,60,69,41,39,35,58,20
1543,B. Hübner,CB,75,75,31,67,Left,193,2022.0,3800000.0,61,80,78,79,78,77,78,76,71,54,59,80,22
6659,R. Pröpper,CB,68,69,27,76,Right,190,2024.0,1200000.0,70,80,69,72,69,64,65,68,63,59,66,70,58
3143,R. Bennett,CB,72,72,31,71,Right,188,2023.0,1600000.0,73,77,74,74,75,74,72,81,54,46,65,73,22
5536,O. Alanís,CB,69,69,32,72,Left,185,2021.0,900000.0,85,75,70,70,69,68,70,60,69,64,72,73,65
11492,Peixotacinho,"CB, RB",64,64,25,74,Right,187,2024.0,575000.0,74,81,67,73,72,58,64,68,58,44,44,50,45
8872,F. Gardoș,CB,66,66,32,65,Right,193,2022.0,550000.0,72,84,66,65,68,65,64,55,63,51,58,71,60
11611,N. DePuy,CB,64,67,26,77,Right,196,2021.0,675000.0,67,87,63,63,65,58,60,69,59,45,50,63,45
6415,C. Săpunaru,"CB, CDM",68,68,37,76,Right,187,2023.0,220000.0,70,76,66,67,66,63,66,88,56,64,64,69,72
6561,Jorge Teixeira,CB,68,68,34,73,Right,189,2022.0,400000.0,38,83,70,73,68,65,70,75,71,60,56,71,33
5699,R. Camacho,CB,69,69,30,78,Right,185,2021.0,1100000.0,65,80,67,68,66,65,69,79,60,62,70,68,36
3062,David Carmo,CB,73,83,21,79,Left,196,2025.0,6500000.0,32,92,75,75,78,73,72,79,70,44,50,73,23
2451,Danilo,CB,73,73,37,66,Right,185,2023.0,550000.0,74,67,78,80,78,74,81,76,75,49,66,71,48
13377,T. Craig,CB,62,62,36,73,Left,185,2022.0,70000.0,65,80,60,61,60,59,60,67,64,52,56,61,31
2043,Osmar,"CDM, CB, CM",74,74,33,87,Left,192,2021.0,2100000.0,68,93,71,64,75,74,72,70,59,69,76,76,75
3150,N. Sánchez,CB,72,72,35,82,Right,185,2022.0,625000.0,88,86,70,68,70,73,67,76,73,59,65,80,27
6851,L. Acevedo,CB,68,68,29,83,Right,197,2022.0,1000000.0,46,93,66,65,66,62,68,84,55,41,37,70,27
8944,Alex Vallejo,"CDM, CM, CB",66,66,29,69,Right,191,2022.0,725000.0,70,78,63,64,65,62,65,63,55,61,66,49,48
1229,R. Knoche,CB,76,76,29,72,Right,190,2025.0,6500000.0,67,77,79,82,77,79,76,75,71,52,69,80,35
12547,B. Karamoko,CB,63,68,26,73,Right,187,2021.0,625000.0,77,85,63,62,66,62,57,65,53,39,37,66,24
11110,N. Topor-Stanley,CB,64,64,36,84,Left,189,2022.0,100000.0,83,91,61,61,60,60,60,67,61,53,60,63,50
13568,Kim Dae Jung,"CB, CF",62,63,28,73,Right,188,2022.0,375000.0,78,86,60,58,58,57,60,57,47,45,51,73,40
7723,Douglas Grolli,CB,67,67,31,73,Right,189,2022.0,700000.0,59,86,67,65,68,67,67,76,53,39,38,72,56
12342,Yi Teng,CB,63,63,31,74,Right,190,2022.0,325000.0,56,83,61,58,65,63,61,56,56,49,62,58,25
13463,I. Furu,CB,62,65,27,72,Left,191,2022.0,450000.0,67,80,62,62,63,58,65,63,58,50,54,55,43
12261,L. Broxham,"CB, CDM, LB",63,63,33,83,Right,170,2022.0,230000.0,85,83,61,59,63,63,63,76,64,52,54,55,51
3946,R. Petrović,"CDM, CB, CM",71,71,32,78,Right,193,2023.0,1200000.0,61,82,71,70,75,63,73,75,67,60,66,65,65
1183,Daniel Carriço,CB,76,76,32,74,Right,183,2022.0,4900000.0,84,77,77,79,76,76,76,86,73,67,75,73,50
6710,M. Heylen,CB,68,69,27,76,Right,187,2022.0,1200000.0,46,84,68,67,66,62,73,76,64,56,62,71,36
10733,I. Larie,CB,65,65,34,74,Right,191,2023.0,230000.0,71,85,63,62,63,63,62,67,57,48,53,66,21
7533,D. Gordon,CB,67,67,36,67,Right,194,2022.0,180000.0,64,84,67,67,69,63,63,68,68,56,59,74,50
3224,Mexer,CB,72,72,32,73,Right,186,2023.0,1500000.0,76,76,73,72,74,70,72,76,70,57,55,75,59
9252,A. Schetino,"CDM, CM, CB",66,68,27,74,Right,186,2021.0,925000.0,70,76,63,65,73,58,62,72,59,57,59,32,54
7963,A. Milić,CB,67,68,27,71,Left,190,2023.0,1000000.0,36,79,69,68,70,69,66,71,65,59,59,71,42
8671,É. Barreto,"CM, CB",66,66,36,65,Right,182,2022.0,275000.0,51,67,66,68,66,65,69,70,70,67,66,59,68
2448,D. Congré,CB,73,73,36,77,Right,185,2023.0,550000.0,75,83,74,76,72,72,74,77,66,60,67,72,26
7234,A. Radovanović,CB,68,70,27,77,Left,189,2024.0,1300000.0,63,86,68,68,71,64,66,72,58,47,56,71,28
13429,S. Bennett,"CM, CB",62,62,30,74,Right,178,2023.0,375000.0,73,78,62,62,62,58,63,59,56,55,61,62,54
7649,Alex Pérez,CB,67,67,29,71,Right,191,2022.0,850000.0,60,82,67,68,67,64,67,71,63,48,58,71,25
3138,Paulo Vinícius,CB,72,72,36,82,Right,186,2022.0,425000.0,90,88,72,70,73,72,71,79,70,55,59,72,55
3182,Etxeita,CB,72,72,33,77,Right,186,2022.0,1100000.0,80,81,73,73,75,68,70,80,66,49,59,75,34
15343,E. Toal,CB,60,73,22,67,Right,191,2021.0,575000.0,62,72,59,59,61,59,56,58,55,37,47,62,29
6500,B. Salamon,CB,68,68,30,64,Right,194,2024.0,1000000.0,80,76,69,68,70,67,70,58,66,58,71,71,54
11742,David Alba,CB,64,77,22,57,Right,178,2022.0,1400000.0,71,68,66,59,72,68,64,57,46,40,29,67,19
6799,N. Paz,"CB, LB",68,70,28,74,Left,191,2026.0,1200000.0,31,91,70,70,71,69,68,60,57,51,54,70,46
4787,J. Fjóluson,CB,70,70,32,78,Left,193,2023.0,1000000.0,61,90,69,68,69,65,69,71,64,58,65,75,53
14412,Kwak Kwang Sun,"CB, ST",61,61,35,72,Left,186,2021.0,90000.0,68,80,59,59,59,58,59,70,56,54,57,62,57
2456,A. Masiello,CB,73,73,35,71,Right,184,2022.0,800000.0,76,69,75,76,75,72,76,77,78,56,68,76,41
4991,G. Lanaro,CB,70,70,35,77,Right,184,2021.0,425000.0,82,90,69,69,72,68,61,78,62,49,66,72,55
200,Raúl Albiol,CB,82,82,35,73,Right,190,2022.0,8000000.0,76,80,86,89,87,85,86,81,75,62,72,77,53
3407,A. Donatti,CB,72,72,34,73,Right,192,2021.0,750000.0,84,80,73,73,72,71,71,71,57,53,63,79,65
