,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,defending,passing,physic,attacking_volleys,skill_long_passing,movement_agility,power_shot_power,power_jumping,power_strength,mentality_aggression,mentality_interceptions,defending_standing_tackle,defending_sliding_tackle,height_cm
10272,Y. Takahagi,"CM, CDM, CAM",65,65,325000.0,3000.0,34,2022.0,62,66,63,59,68,63,58,50,66,63,67,62,58,183
9824,B. Watson,"CDM, CM",65,65,200000.0,2000.0,35,2022.0,65,64,65,56,64,48,65,68,65,66,65,65,64,181
4536,M. Diaby,CDM,71,78,3500000.0,6000.0,24,2022.0,74,53,79,40,55,33,51,38,77,86,72,77,74,197
8750,F. Jungwirth,"CB, CDM",66,66,550000.0,2000.0,32,2021.0,65,61,74,33,67,40,52,72,75,75,66,65,65,181
8268,F. Aksoy,"CDM, CB, RB",67,75,2100000.0,4000.0,23,2025.0,70,54,70,32,59,57,54,52,74,62,66,74,72,189
4908,I. Seck,"CDM, CM",70,70,1100000.0,8000.0,31,2022.0,72,56,83,60,56,40,70,31,88,78,75,70,61,195
7485,C. Adam,"CM, CDM",67,67,400000.0,2000.0,35,2022.0,63,71,78,65,71,46,78,69,83,85,61,65,64,185
3106,C. Gentner,"CM, CDM, CAM",72,72,950000.0,9000.0,35,2022.0,73,72,72,73,74,49,80,61,77,73,71,76,75,189
4611,N. Ortigoza,"CM, CDM",70,70,500000.0,6000.0,36,2022.0,65,75,66,42,79,51,71,37,82,75,68,63,58,180
1975,Y. Cahuzac,"CDM, CM",74,74,825000.0,16000.0,36,2022.0,73,63,77,37,65,55,54,73,71,89,76,73,68,178
6407,T. Huddlestone,CDM,68,68,400000.0,6000.0,34,2022.0,65,74,65,77,80,31,83,49,82,67,64,65,60,188
4079,A. Ateef,"CDM, CM",71,71,1600000.0,22000.0,28,2023.0,68,74,58,34,79,64,49,63,62,47,71,70,60,176
6777,M. Leitgeb,"CDM, CM",68,68,600000.0,7000.0,33,2023.0,68,59,74,42,64,67,51,86,76,76,65,70,67,183
10366,S. Tomita,"CDM, CM",65,65,200000.0,1000.0,35,2023.0,63,61,56,27,60,74,41,67,51,60,72,64,62,169
12460,C. Stanko,"CDM, CM",63,64,500000.0,2000.0,27,2021.0,60,56,70,37,62,66,59,77,76,67,61,61,59,178
12354,P. Ulvestad,"CDM, CM",63,63,400000.0,1000.0,30,2021.0,61,54,74,55,55,38,69,53,81,69,61,62,63,194
13390,C. Skuse,"CDM, CM",62,62,110000.0,2000.0,35,2023.0,63,59,63,45,61,61,60,68,68,64,62,64,62,185
2610,F. Kiss,"CDM, CB",73,73,2500000.0,22000.0,30,2022.0,70,65,83,39,71,62,67,72,83,81,70,71,69,187
6175,K. Parks,"CM, CDM",69,75,2200000.0,4000.0,23,2021.0,64,65,71,41,68,58,68,39,74,73,67,66,62,191
2431,Mikel Rico,"CM, CDM",73,73,950000.0,8000.0,36,2022.0,72,68,77,53,72,67,80,76,77,74,78,77,70,179
6793,S. Marreh,"CDM, CM, CB",68,72,1500000.0,8000.0,25,2023.0,67,56,75,24,64,56,50,40,77,83,67,69,65,184
5483,Pita,"CDM, CB, CM",69,69,275000.0,3000.0,36,2022.0,69,69,69,55,66,40,79,60,75,65,71,70,69,185
7488,Zheng Zhi,"CDM, CM",67,67,2850451.813201148,5000.0,40,2021.0,67,67,59,64,66,51,68,48,63,87,70,64,62,180
3832,S. Brown,"CDM, CM",71,71,375000.0,4000.0,36,2023.0,70,60,75,49,64,71,74,75,73,86,72,72,70,175
10073,M. Lackner,"CDM, CM, CB",65,65,600000.0,3000.0,30,2022.0,64,57,76,35,61,68,54,42,81,70,65,65,62,191
5672,Oriol Rosell,"CDM, CM",69,69,1200000.0,4000.0,28,2021.0,67,66,69,53,70,59,66,62,75,65,68,66,64,182
13384,G. Coulibaly,"CDM, CB",62,62,110000.0,800.0,35,2022.0,62,58,68,52,56,34,60,64,74,67,65,60,56,183
1498,M. Fellaini,"CM, CDM",75,75,3500000.0,19000.0,33,2021.0,75,69,87,68,67,40,75,84,90,88,70,76,72,194
3123,G. Svensson,"CDM, CB, CM",72,72,800000.0,4000.0,34,2023.0,69,61,81,45,68,47,66,74,80,80,68,73,72,184
3636,Garrido,CDM,72,72,1600000.0,19000.0,31,2023.0,71,57,88,34,62,34,68,47,92,87,75,75,69,185
5600,M. Höger,"CDM, CM",69,69,975000.0,2000.0,31,2023.0,69,67,71,68,66,61,71,73,73,69,70,68,67,182
534,N. Matić,CDM,79,79,11500000.0,100000.0,32,2023.0,80,75,73,71,82,47,84,63,82,76,80,81,72,194
9831,O. Hoban,CDM,65,65,140000.0,3000.0,38,2022.0,66,60,68,52,62,50,63,67,73,63,69,66,63,183
13395,Zhao Xuri,"CM, CDM",62,62,160000.0,2000.0,35,2021.0,62,61,71,54,69,56,79,67,75,72,63,62,59,185
1470,M. Noble,"CM, CDM, CAM",75,75,2600000.0,55000.0,34,2022.0,72,76,70,68,79,62,74,56,67,85,73,74,75,177
2485,F. Lemoine,"CDM, CM",73,73,1000000.0,15000.0,34,2022.0,71,69,75,58,70,74,63,84,69,79,71,73,69,175
9317,A. Hopmark,"CB, CDM",66,66,725000.0,1000.0,29,2022.0,65,55,77,21,59,50,66,69,83,67,68,65,62,192
4632,H. Özmert,"CM, CDM",70,70,500000.0,8000.0,36,2022.0,65,73,71,60,74,62,77,60,73,77,67,66,63,183
9895,H. Mulder,"CB, CDM, CM",65,65,230000.0,2000.0,34,2022.0,63,62,69,53,63,49,65,75,74,75,68,63,62,180
8692,T. Jodłowiec,"CDM, CM",66,66,240000.0,2000.0,35,2022.0,64,62,76,52,65,30,70,65,87,83,68,64,62,189
1979,L. Schøne,"CM, CDM",74,74,1700000.0,9000.0,35,2023.0,62,79,58,84,77,65,83,72,56,65,75,54,48,178
4899,Gumbau,"CDM, CM",70,75,2100000.0,10000.0,26,2023.0,68,68,63,46,75,54,72,37,72,60,70,72,70,187
2591,Recio,"CM, CDM, CAM",73,73,2900000.0,11000.0,30,2022.0,71,72,73,55,72,62,81,40,70,87,76,73,62,183
10130,H. Takahashi,"CDM, CB, CM",65,65,350000.0,1000.0,33,2022.0,64,59,67,44,66,66,52,46,70,64,67,62,60,182
5505,C. Gülselam,"CDM, CM",69,69,700000.0,7000.0,33,2022.0,72,57,77,49,57,53,83,43,87,72,69,74,68,192
9851,N. Gerzić,"CM, CDM",65,65,230000.0,1000.0,37,2021.0,56,69,61,49,69,65,57,69,62,69,60,58,47,175
6415,C. Săpunaru,"CB, CDM",68,68,220000.0,3000.0,37,2023.0,66,64,76,53,64,64,80,70,76,88,66,66,63,187
8224,K. Gjasula,CDM,67,67,725000.0,5000.0,31,2023.0,67,55,86,35,52,49,67,80,87,95,65,69,61,191
13673,Y. Takahashi,"CM, CDM",62,62,130000.0,750.0,36,2022.0,61,56,69,30,60,83,64,82,59,69,63,63,62,170
7991,R. Strieder,"CDM, CM",67,67,900000.0,4000.0,28,2022.0,65,64,64,48,64,68,59,64,60,63,67,64,64,174
2043,Osmar,"CDM, CB, CM",74,74,2100000.0,6000.0,33,2021.0,71,69,87,44,76,33,74,68,93,70,72,75,74,192
8944,Alex Vallejo,"CDM, CM, CB",66,66,725000.0,3000.0,29,2022.0,63,61,69,42,66,61,47,70,78,63,65,65,62,191
8768,E. Friberg,"CM, CDM",66,66,350000.0,1000.0,35,2022.0,58,70,69,50,69,63,57,80,63,72,57,58,45,180
2112,Lucas Torró,"CDM, CM",74,77,5000000.0,21000.0,26,2024.0,73,65,73,46,72,64,73,41,76,66,76,74,68,190
12261,L. Broxham,"CB, CDM, LB",63,63,230000.0,2000.0,33,2022.0,61,52,83,48,54,50,56,85,83,76,63,63,63,170
3946,R. Petrović,"CDM, CB, CM",71,71,1200000.0,7000.0,32,2023.0,71,60,78,36,66,32,63,61,82,75,73,75,63,193
4608,G. İnler,"CDM, CM",70,70,325000.0,7000.0,37,2022.0,68,72,68,70,74,54,82,61,73,66,68,72,63,183
3347,A. Touré,"CDM, CM",72,73,2400000.0,12000.0,27,2025.0,74,59,80,42,70,30,76,32,88,75,77,77,74,188
9252,A. Schetino,"CDM, CM, CB",66,68,925000.0,500.0,27,2021.0,63,57,74,50,59,43,54,70,76,72,62,73,58,186
685,P. Diop,"CDM, CM",78,78,4000000.0,7000.0,35,2022.0,78,68,87,67,74,61,82,82,92,89,79,79,77,179
4831,B. Touré,"CDM, CM",70,70,1400000.0,5000.0,29,2022.0,68,63,77,35,65,64,66,76,77,69,68,69,67,183
3472,A. Blin,"CDM, CM",72,74,2700000.0,3000.0,24,2024.0,70,66,77,48,67,64,60,70,73,78,71,71,70,184
695,S. Nzonzi,"CDM, CM",78,78,9500000.0,47000.0,32,2022.0,77,70,85,50,72,35,62,76,89,80,80,77,74,196
7642,V. Ulloa,"CDM, CM",67,67,875000.0,3000.0,29,2021.0,63,62,74,43,65,67,77,73,72,73,62,63,60,180
4635,W. Brama,"CDM, CM",70,70,550000.0,6000.0,34,2022.0,68,66,68,45,69,60,69,78,67,64,73,65,63,176
740,William Carvalho,"CDM, CM",78,78,12000000.0,25000.0,29,2023.0,74,75,84,50,77,49,71,70,89,78,76,72,71,187
1148,Cesc Fàbregas,"CM, CAM, CDM",76,76,3500000.0,44000.0,34,2022.0,62,81,55,68,82,62,70,50,62,54,64,58,53,179
719,Oriol Romeu,"CDM, CM",78,78,12000000.0,53000.0,29,2023.0,80,62,81,52,72,54,75,65,82,89,81,83,78,183
2454,N. Domingo,"CDM, CM, CB",73,73,600000.0,9000.0,36,2022.0,71,67,72,55,72,76,69,71,69,75,75,70,71,174
2472,R. Donk,"CB, CDM",73,73,800000.0,8000.0,35,2022.0,74,68,83,42,73,37,81,50,92,74,73,74,70,192
2574,Timor,"CDM, CB, CM",73,73,2100000.0,20000.0,31,2022.0,68,72,76,53,74,46,82,81,75,81,67,73,68,185
5743,P. Riese,"CDM, CM",69,69,975000.0,5000.0,31,2023.0,64,63,70,43,71,69,65,78,63,75,65,69,65,175
14111,J. Huysman,"CDM, CB",62,62,275000.0,1000.0,32,2025.0,63,51,70,26,57,40,31,74,80,50,63,66,58,188
14290,S. Guibert,"CB, CDM",62,62,250000.0,1000.0,32,2022.0,61,51,70,24,51,34,58,75,74,61,61,62,60,188
3115,Mario Suárez,"CDM, CM",72,72,800000.0,13000.0,34,2022.0,68,70,75,43,72,57,79,58,82,74,70,71,70,188
6651,L. Sadiku,"CDM, CB",68,68,1000000.0,6000.0,29,2022.0,68,59,66,51,66,69,77,76,62,72,68,68,62,181
15379,J. Issa,"CDM, CM",60,69,525000.0,2000.0,24,2022.0,59,52,64,30,55,47,49,61,71,60,61,58,55,189
6927,L. Fröde,CDM,68,69,1300000.0,6000.0,26,2022.0,68,58,78,39,62,49,63,57,82,73,69,68,61,192
3894,Mikel San José,"CM, CDM, CB",71,71,1500000.0,6000.0,32,2022.0,73,64,76,75,74,37,79,76,82,73,72,74,71,187
9396,S. Puttkammer,"CB, CDM",66,66,550000.0,850.0,32,2023.0,66,45,74,27,58,42,40,70,80,69,68,66,61,192
868,L. Biglia,"CDM, CM",77,77,3000000.0,11000.0,35,2022.0,75,78,64,78,79,69,77,56,58,78,78,78,74,178
4647,C. Yacob,"CDM, CM",70,70,800000.0,7000.0,33,2021.0,70,59,71,23,69,52,67,71,74,88,67,72,67,181
4817,Sergi Samper,"CDM, CM",70,73,1900000.0,6000.0,26,2022.0,66,66,68,48,68,59,51,49,72,55,68,65,60,182
6062,M. Besuschkow,"CDM, CM",69,74,1900000.0,5000.0,24,2022.0,64,66,73,53,69,61,54,64,73,62,65,66,63,187
10149,J. Bajandouh,CDM,65,65,625000.0,8000.0,28,2023.0,62,64,68,52,62,61,70,67,74,60,64,65,60,178
6448,J. Zavala,"CB, CDM",68,68,575000.0,5000.0,33,2022.0,66,61,80,43,65,54,59,76,85,78,62,70,59,190
6461,D. Marcq,"CDM, CM",68,68,800000.0,6000.0,32,2022.0,68,61,68,46,68,60,58,32,70,70,73,67,63,181
1202,Tomás Pina,"CM, CDM",76,76,4600000.0,24000.0,33,2022.0,73,72,72,59,78,57,73,66,72,76,77,77,70,184
6852,T. Aoyama,"CM, CDM",68,68,475000.0,4000.0,35,2022.0,68,71,68,61,70,68,69,75,70,61,73,64,59,174
52,Sergio Busquets,"CDM, CM",86,86,45000000.0,200000.0,32,2023.0,82,79,75,44,85,67,61,66,72,81,85,82,81,189
11071,D. Pratley,"CM, CB, CDM",64,64,180000.0,3000.0,36,2022.0,66,61,79,62,60,65,65,85,74,80,70,65,63,185
10279,L. Gugganig,"CB, CDM",65,68,825000.0,2000.0,26,2026.0,64,47,73,32,60,49,70,55,85,70,60,69,62,191
5376,A. Jahouh,CDM,70,70,1100000.0,2000.0,32,2022.0,62,71,82,51,74,57,72,72,82,81,63,60,64,188
4768,Erik Morán,"CDM, CM",70,70,1300000.0,5000.0,30,2023.0,67,66,73,39,70,63,61,62,75,73,68,70,62,187
15282,N. Hazazi,"CDM, CM",60,60,220000.0,3000.0,28,2024.0,60,53,70,31,57,60,61,71,72,69,57,62,58,175
11527,Y. Kobayashi,"CM, CDM",64,64,450000.0,1000.0,32,2022.0,61,60,63,25,67,45,49,48,61,59,65,61,60,180
5759,J. Marié,"CM, CDM",69,69,1400000.0,3000.0,29,2022.0,65,66,68,39,68,71,68,66,65,64,68,70,68,177
1647,G. Pizarro,"CDM, CM",75,75,3900000.0,37000.0,31,2022.0,73,66,84,54,70,51,61,78,81,85,71,75,72,185
9870,S. Conneely,"CDM, CM",65,65,475000.0,2000.0,32,2023.0,63,58,72,40,63,63,58,75,71,72,63,64,63,175
6414,Ł. Trałka,"CDM, CM",68,68,240000.0,1000.0,37,2022.0,67,64,77,43,64,53,68,66,78,80,67,70,67,186
10112,J. Grønning,CDM,65,65,600000.0,3000.0,30,2024.0,63,53,69,35,60,55,60,58,65,70,63,65,63,182
2109,T. Strobl,"CDM, CB",74,74,3000000.0,20000.0,31,2023.0,74,65,78,35,74,39,79,74,78,77,76,72,71,188
14924,R. Costin,"CDM, CM",61,61,60000.0,1000.0,36,2022.0,63,56,61,41,59,36,57,61,72,71,61,65,64,176
9858,E. Paartalu,"CDM, CM",65,65,200000.0,500.0,35,2022.0,63,57,80,55,64,35,69,72,88,61,60,65,63,193
11118,M. Bartley,"CDM, CM",64,64,200000.0,2000.0,34,2022.0,63,57,76,52,60,74,49,68,80,69,63,64,63,180
3975,J. Van Damme,"CDM, CM",71,71,1600000.0,10000.0,29,2023.0,67,68,81,46,72,35,78,34,89,81,68,65,60,195
18542,A. Al Nashri,CDM,53,70,230000.0,2000.0,19,2023.0,52,46,59,36,54,54,43,57,59,54,52,56,53,175
16569,O. Brennan,"CDM, CB, CM",58,60,230000.0,500.0,25,2021.0,56,55,65,53,56,50,59,58,66,61,57,55,51,184
8984,F. Rodríguez,"CDM, CB, CM",66,66,300000.0,700.0,34,2026.0,68,53,73,33,70,56,49,52,79,65,70,67,66,186
4612,F. Haroun,"CDM, CM",70,70,450000.0,8000.0,35,2022.0,72,62,76,58,60,48,69,53,75,84,78,67,64,188
1984,Mosquera,"CDM, CM",74,74,2100000.0,11000.0,33,2022.0,71,71,72,51,71,68,61,70,68,74,74,72,66,184
1477,Salva Sevilla,"CDM, CM",75,75,1100000.0,16000.0,37,2022.0,69,79,64,56,81,47,81,34,64,73,68,74,72,178
1156,J. Cork,"CDM, CM",76,76,5000000.0,31000.0,32,2022.0,75,71,77,53,74,61,73,75,75,75,77,76,70,184
7515,H. Medunjanin,"CDM, CM",67,67,200000.0,2000.0,36,2021.0,60,72,62,65,73,51,77,61,67,51,65,59,58,188
6729,D. Bojanić,"CM, CDM",68,71,1600000.0,3000.0,26,2023.0,57,76,63,60,76,66,71,34,69,60,59,58,55,182
11490,Leonardo Freijão,"CDM, CM, CAM",64,64,575000.0,3000.0,25,2024.0,68,55,61,22,57,59,62,57,61,59,72,69,56,176
11542,Park Han Bin,"CM, CDM",64,72,1300000.0,2000.0,23,2022.0,58,62,71,30,65,68,62,51,74,62,63,58,54,183
2444,Javi García,"CDM, CM",73,73,1000000.0,12000.0,34,2023.0,72,65,79,59,72,61,79,90,81,78,69,71,70,187
2156,D. Kreilach,"ST, CAM, CDM",74,74,3400000.0,9000.0,32,2022.0,65,70,85,70,74,63,78,90,85,74,64,62,55,186
6439,C. Riveros,"CM, CDM",68,68,375000.0,500.0,38,2022.0,64,65,66,54,62,86,51,59,66,52,68,61,49,179
7105,O. Gnjatić,"CDM, CM, CB",68,68,1000000.0,4000.0,29,2022.0,64,56,79,22,63,48,66,59,82,81,67,66,63,190
8713,A. Power,"CM, CDM",66,66,525000.0,2000.0,33,2022.0,64,62,75,48,67,72,66,70,71,77,65,65,65,178
3416,D. Musto,CDM,72,72,800000.0,850.0,34,2021.0,69,65,75,32,74,49,70,64,76,81,68,75,63,182
5070,Breno Bemposta,"CDM, CM",70,70,1600000.0,7000.0,25,2024.0,71,66,68,46,65,66,72,60,71,51,66,77,60,176
3183,Míchel,"CM, CDM",72,72,1800000.0,8000.0,32,2023.0,55,78,53,61,77,60,66,49,58,55,60,52,46,182
565,C. Kramer,CDM,79,79,14500000.0,31000.0,30,2023.0,78,70,75,58,73,64,54,51,71,75,82,77,72,191
3860,D. McCarty,CDM,71,71,650000.0,5000.0,34,2026.0,68,67,74,56,66,65,68,61,70,75,67,67,68,175
8046,L. Schoofs,"CDM, CM",67,71,1300000.0,2000.0,24,2024.0,66,55,70,37,63,73,48,64,71,63,69,69,64,186
15275,R. Diarra,"CB, CDM",60,64,300000.0,2000.0,26,2022.0,61,45,63,34,46,53,45,64,72,55,60,62,61,185
13689,B. Hvidt,"CM, CDM",62,72,900000.0,2000.0,21,2023.0,63,58,70,41,60,57,56,61,70,71,64,64,62,185
3125,L. Deaux,"CDM, CM",72,72,1600000.0,4000.0,32,2023.0,71,65,81,32,69,58,66,73,83,77,68,74,70,188
8236,Oriol Busquets,CDM,67,78,2200000.0,5000.0,22,2024.0,64,63,67,37,66,54,56,55,69,61,67,63,61,185
13820,J. Lennon,"CDM, CM",62,68,575000.0,600.0,23,2022.0,59,60,67,45,62,62,59,52,67,62,58,60,57,178
3432,S. Vittor,"CB, CDM",72,72,1500000.0,14000.0,32,2022.0,71,66,79,53,73,46,75,71,84,74,70,72,72,189
15954,G. Deegan,"CDM, CM",59,59,110000.0,500.0,33,2021.0,57,51,74,41,53,57,57,60,74,76,58,56,53,176
6556,T. Petsos,"CDM, CM",68,68,1000000.0,5000.0,30,2023.0,64,63,70,56,68,57,78,64,76,70,62,69,64,184
13522,S. Braun-Schumacher,"CB, CDM",62,62,250000.0,950.0,32,2025.0,61,47,71,32,56,63,57,83,69,66,62,63,59,178
12391,I. Filip,"CDM, CB",63,63,325000.0,2000.0,32,2025.0,64,55,67,29,60,53,48,66,71,71,63,65,62,187
6479,D. Hubert,"CDM, CM",68,68,600000.0,6000.0,33,2023.0,67,64,71,64,64,60,74,53,69,79,75,61,58,184
214,D. Blind,"CB, CDM, LB",82,82,21000000.0,23000.0,31,2023.0,83,82,72,66,85,72,74,76,72,67,87,84,80,180
15169,G. Halford,"CDM, CB",60,60,50000.0,500.0,36,2021.0,60,58,66,54,58,31,62,29,79,63,60,61,59,193
11262,A. Al Jebreen,CDM,64,64,400000.0,8000.0,31,2022.0,63,63,67,65,65,57,63,59,75,67,63,62,63,178
11226,P. Digby,"CDM, CM",64,67,700000.0,2000.0,26,2023.0,61,58,76,41,62,50,58,68,83,63,58,62,59,195
11303,C. Rojas,"CB, CDM, CM",64,64,150000.0,750.0,35,2023.0,65,48,71,27,56,49,55,78,67,77,65,64,62,174
2475,Ki Sung Yueng,"CM, CDM",73,73,2400000.0,6000.0,32,2023.0,63,77,72,61,82,64,80,69,73,74,62,68,61,189
522,Montoro,"CDM, CM, CAM",79,79,8500000.0,26000.0,33,2022.0,75,75,70,67,83,55,76,60,71,75,77,77,73,181
11320,M. Lepe,"CDM, CM",64,64,500000.0,1000.0,30,2021.0,59,60,70,37,64,52,49,75,71,71,67,59,54,179
5757,D. Douline,"CDM, CM",69,69,1200000.0,9000.0,28,2023.0,67,62,71,48,64,60,63,61,67,67,69,67,64,182
11261,P. Erhardt,"CDM, CM",64,65,600000.0,2000.0,27,2023.0,62,53,76,29,59,66,55,80,77,72,66,63,61,185
13391,E. Upson,"CM, CDM",62,62,325000.0,3000.0,31,2022.0,59,61,72,38,61,65,62,85,66,72,59,62,60,180
6481,L. Kelly,"CDM, CM",68,68,850000.0,9000.0,31,2023.0,67,63,74,53,68,54,64,67,76,70,68,68,64,187
9006,A. Gogić,"CDM, CM",66,66,800000.0,3000.0,27,2022.0,66,52,83,36,55,47,68,76,86,85,67,66,65,180
11748,A. Hellborg,"CDM, CM",64,70,875000.0,1000.0,22,2022.0,60,58,71,41,63,58,55,58,70,77,61,61,57,188
8688,Sastre,"CM, CDM",66,66,350000.0,3000.0,35,2022.0,65,68,73,52,71,66,60,73,74,72,67,70,60,175
4659,G. Cameron,"CB, CDM",70,70,425000.0,3000.0,35,2022.0,68,63,74,54,58,62,64,78,76,78,67,68,68,191
4681,P. Tachtsidis,"CM, CDM",70,70,1500000.0,12000.0,30,2022.0,66,73,75,60,77,38,80,70,82,74,63,68,67,191
6102,F. Boya,"CDM, CM, CB",69,75,2000000.0,9000.0,25,2022.0,64,64,86,41,63,48,78,64,91,88,71,62,59,190
1499,F. Lustenberger,"CB, CDM",75,75,2700000.0,15000.0,33,2022.0,77,60,73,35,68,60,47,86,71,74,79,77,76,182
3565,Fabiano Sonta,"CB, CDM",72,72,2000000.0,16000.0,29,2024.0,74,56,71,46,65,69,54,67,78,78,77,73,65,181
681,Miguel Veloso,"CM, CDM",78,78,5500000.0,22000.0,35,2022.0,66,83,71,70,85,66,80,68,71,71,71,72,70,180
12753,B. Çağıran,"LB, RB, CDM",63,66,575000.0,3000.0,26,2022.0,65,59,59,33,65,50,56,61,59,60,62,66,63,176
7999,Jano,"CB, CDM, CM",67,67,325000.0,3000.0,34,2022.0,68,63,68,36,64,31,66,41,75,62,74,65,63,187
9982,K. Escamilla,CDM,65,68,825000.0,3000.0,27,2025.0,58,61,72,43,67,64,62,52,71,80,63,60,60,179
8392,K. Sidibé,"CDM, CM, CB",67,72,1400000.0,2000.0,22,2022.0,66,55,73,38,59,45,62,57,78,72,67,68,64,200
11099,S. Fürstner,"CDM, CM, CB",64,64,300000.0,5000.0,33,2022.0,63,60,67,43,62,67,60,71,68,65,62,65,59,178
7753,L. Capezzi,"CM, CDM",67,70,1300000.0,13000.0,26,2023.0,59,68,59,46,68,66,66,61,52,70,63,58,54,178
11105,H. Singh,"CM, CDM",64,64,550000.0,1000.0,30,2022.0,54,65,64,65,66,68,73,71,70,46,60,54,52,180
3104,M. Bradley,"CDM, CM",72,72,1200000.0,6000.0,33,2021.0,67,72,73,69,76,50,72,29,74,71,67,68,66,188
3836,L. Ponzio,"CDM, CB",71,71,375000.0,7000.0,39,2021.0,72,69,67,61,72,66,72,69,71,86,74,72,73,174
1166,A. Ekdal,"CM, CDM",76,76,6000000.0,20000.0,31,2022.0,70,76,76,66,78,59,72,63,71,83,72,72,64,186
3941,Escassi,"CDM, CB, CM",71,71,1200000.0,6000.0,32,2023.0,71,63,81,40,67,64,66,81,81,76,69,72,67,185
8682,R. Griffiths,"CB, CDM, CM",66,66,400000.0,4000.0,33,2022.0,63,60,79,36,58,54,60,67,85,80,61,63,61,187
1193,M. Gonalons,"CDM, CM",76,76,5000000.0,21000.0,32,2023.0,75,72,72,60,75,55,73,77,72,81,77,78,75,187
15253,J. Sowerby,"CM, CDM",60,63,325000.0,3000.0,26,2022.0,58,54,60,35,62,74,47,79,59,41,58,60,58,175
11363,Jiang Zhe,"CDM, RB, CM",64,64,400000.0,2000.0,32,2021.0,62,56,72,43,63,44,66,50,79,52,55,68,66,178
10404,A. Halme,"CB, CDM",65,74,1500000.0,8000.0,23,2022.0,63,45,71,25,56,39,31,56,78,71,66,62,62,196
8785,André Santos,"CM, CDM",66,66,675000.0,4000.0,32,2023.0,63,66,64,58,68,70,74,70,65,63,64,67,64,178
10333,A. Ndom,"CDM, CM, LM",65,72,1300000.0,2000.0,25,2022.0,64,59,71,46,65,64,59,82,86,44,66,67,58,188
7579,E. Adu,"CDM, CM",67,67,850000.0,1000.0,30,2022.0,63,66,57,31,71,85,52,68,58,36,67,68,63,178
7571,M. Albæk,"CM, CDM",67,67,825000.0,5000.0,31,2023.0,63,68,69,61,70,64,72,56,69,70,67,63,57,182
979,I. Marcone,"CDM, CM",77,77,7500000.0,20000.0,31,2026.0,73,71,80,49,77,58,73,54,81,80,75,75,72,182
15683,O. Camara,"CDM, CB",60,74,550000.0,500.0,18,2023.0,55,54,73,41,57,50,62,44,83,64,56,57,50,197
6530,D. Wilson,"CB, CDM",68,68,1000000.0,4000.0,29,2024.0,67,53,81,36,70,57,37,72,84,79,63,67,67,188
5939,D. Wouters,"CDM, CM, LB",69,74,1900000.0,5000.0,24,2024.0,67,58,75,24,65,43,58,42,79,72,66,69,67,191
9921,Aguilera,"CDM, CM",65,65,200000.0,2000.0,35,2022.0,60,61,73,49,64,81,66,65,81,70,66,61,60,185
9957,N. Næss,"CDM, CB",65,66,700000.0,1000.0,28,2024.0,63,61,71,38,66,60,72,73,73,64,62,64,62,183
