,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,weak_foot,skill_moves,pace,shooting,passing,dribbling,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_ball_control,movement_acceleration,movement_sprint_speed,power_stamina,mentality_aggression,mentality_positioning,skill_fk_accuracy,movement_agility,mentality_penalties,height_cm
11342,S. Štefánik,"CAM, CM, RM",64,64,575000.0,2000.0,29,2022.0,4,3,54,58,62,67,55,58,52,65,56,66,66,54,54,52,44,62,47,72,52,177
10086,P. Retre,"CDM, RB, RM",65,65,625000.0,3000.0,28,2022.0,3,2,54,50,60,67,62,52,50,64,45,66,68,54,54,83,51,58,37,72,59,170
16311,L. Rose,"RM, RB",59,67,500000.0,800.0,22,2023.0,3,2,54,57,58,60,60,61,51,60,41,60,62,56,53,58,35,59,38,60,50,170
678,Pedro León,"RM, LM",78,78,6500000.0,10000.0,34,2022.0,3,4,55,77,86,77,91,74,36,84,76,78,82,59,51,57,55,80,85,66,71,183
682,Juan Mata,"CAM, RM",78,78,9000000.0,100000.0,33,2022.0,3,4,55,71,81,81,79,70,56,83,71,80,84,61,50,53,46,81,84,76,80,170
7734,N. Al Abed,"LM, RM, CAM",67,67,850000.0,11000.0,31,2023.0,3,4,55,70,69,72,70,68,43,71,63,71,75,57,53,36,75,66,64,75,73,168
9898,M. Pink,"ST, LM, RM",65,65,700000.0,4000.0,30,2023.0,3,2,55,65,51,59,49,68,66,58,58,57,62,45,63,81,41,66,23,57,62,188
4108,S. Piette,"CDM, CM, RM",71,72,2000000.0,5000.0,26,2022.0,2,2,55,38,56,62,39,31,63,69,22,56,66,53,56,90,81,30,24,65,49,171
19122,M. Harris,"RM, LM",49,62,110000.0,500.0,18,2021.0,3,2,55,48,45,49,48,49,42,46,31,48,46,57,54,50,34,48,35,59,54,182
1406,D. Brašanac,"CM, CDM, RM",76,76,7500000.0,28000.0,29,2023.0,3,3,55,70,73,73,64,68,64,79,52,73,78,62,49,71,82,75,59,58,70,178
10360,J. Galeano,"CM, RM",65,65,550000.0,4000.0,32,2021.0,3,2,55,50,62,62,54,52,56,70,41,59,68,55,55,71,68,65,47,58,54,170
7514,Ilsinho,"RM, CAM",67,67,425000.0,2000.0,35,2021.0,3,5,55,64,66,76,61,61,61,68,67,81,76,45,64,31,65,68,58,64,66,178
15234,F. Yıldırım,"RM, RB",60,62,300000.0,2000.0,25,2023.0,2,2,56,46,60,61,59,42,59,63,48,60,62,52,60,53,49,57,45,54,47,175
19180,Zhang Wei,"RM, RW",48,56,110000.0,1000.0,21,2021.0,2,2,56,38,47,48,39,37,49,53,36,44,49,58,54,51,52,42,38,57,36,186
2438,R. Snodgrass,"RW, RM, CM",73,73,1900000.0,37000.0,33,2022.0,3,3,56,75,77,75,79,72,44,76,65,75,77,64,50,70,82,76,81,69,73,182
573,Manu Trigueros,"CM, RM, LM",79,79,17000000.0,39000.0,29,2022.0,4,4,56,71,78,78,72,66,71,80,65,78,81,57,55,74,69,77,69,70,65,178
4308,Raphael Paneira,"CAM, RM",71,71,2200000.0,13000.0,21,2024.0,4,4,56,62,68,75,69,62,64,73,63,77,76,58,54,46,44,74,57,73,59,184
12491,Lee Chan Dong,"CM, RM",63,63,475000.0,1000.0,28,2022.0,3,2,56,58,60,60,46,53,65,64,53,56,62,60,53,78,83,57,60,69,53,183
17941,K. Chapelle,"RM, LM",55,66,275000.0,850.0,21,2022.0,3,2,56,42,55,53,55,36,51,59,38,49,50,58,54,67,59,57,43,61,50,174
5122,D. Nishi,"RB, RM",70,70,825000.0,7000.0,33,2022.0,3,3,57,53,69,67,67,58,60,73,60,66,70,59,55,83,74,67,57,66,37,178
10716,Y. Higuchi,"CM, RM",65,69,1000000.0,1000.0,24,2022.0,2,2,57,54,65,68,64,44,29,68,32,68,67,67,48,71,65,65,63,73,39,168
14675,E. Collier,"RM, CM, ST",61,61,350000.0,2000.0,26,2021.0,3,2,57,56,59,61,53,53,66,65,56,63,64,51,62,69,66,63,37,57,53,193
9154,M. Caufriez,"CB, RWB, RM",66,72,1200000.0,11000.0,24,2025.0,3,2,57,25,55,56,58,18,62,62,24,56,61,53,60,66,68,22,25,38,33,189
6508,M. Frantz,"CM, CDM, RM",68,68,550000.0,11000.0,34,2022.0,3,2,58,61,69,69,72,55,51,70,58,70,68,55,60,66,81,64,59,64,57,182
6384,Juan Iglesias,"RB, RM, LB",69,77,3000000.0,10000.0,22,2026.0,3,3,58,37,54,59,65,36,68,63,37,59,63,65,53,55,59,57,40,45,42,185
3434,Camarasa,"CM, CAM, RM",72,73,2700000.0,16000.0,27,2022.0,3,3,58,72,72,73,68,70,55,73,65,73,74,60,56,73,70,71,73,71,70,183
3391,D. Biraschi,"CB, RB, RM",72,74,2600000.0,12000.0,26,2022.0,2,2,58,35,56,62,49,31,66,66,30,56,69,63,53,53,67,47,38,56,32,182
18779,J. Castilla,"CM, RM",52,72,210000.0,500.0,16,2021.0,2,3,58,48,47,57,41,51,44,46,30,55,60,56,60,66,50,54,33,57,38,173
2663,L. Schaub,"CAM, RM, CM",73,76,4000000.0,22000.0,26,2022.0,3,3,58,67,72,77,67,69,55,75,60,77,79,64,53,73,62,68,62,84,65,177
17944,M. Köhl,"ST, RM, LM",55,66,275000.0,850.0,20,2022.0,4,2,58,55,44,58,34,60,48,50,47,58,60,63,54,44,30,50,28,59,52,185
3865,N. Bertolo,"LM, LW, RM",71,71,775000.0,7000.0,35,2021.0,3,3,59,70,74,71,72,69,62,77,63,72,74,52,64,66,63,72,61,69,61,181
7950,Kuki Zalazar,"CAM, RM, ST",67,74,2000000.0,3000.0,23,2024.0,3,3,59,64,68,71,68,59,68,70,52,72,73,65,54,31,40,60,73,75,69,176
14578,K. Al Samiri,"CM, CDM, RM",61,66,500000.0,6000.0,24,2023.0,3,3,59,46,61,66,58,40,54,66,50,64,66,65,54,65,61,55,46,74,45,168
17739,E. Belhadji,"RM, RB",56,64,325000.0,750.0,20,2025.0,2,2,59,50,53,57,64,47,31,63,53,60,58,65,54,31,34,49,32,51,41,187
1239,F. Fajr,"CM, CDM, RM",76,76,6000000.0,19000.0,32,2022.0,4,3,59,73,78,76,77,71,49,79,62,77,78,64,55,80,69,67,78,73,72,179
15572,J. Nishikawa,"RM, CAM",60,73,575000.0,850.0,19,2023.0,4,3,59,55,60,64,64,50,44,61,56,66,63,58,60,35,50,59,61,65,49,180
2197,Eraso,"CAM, CM, RM",74,74,3500000.0,12000.0,31,2022.0,3,3,59,71,73,71,64,72,54,78,59,73,75,62,57,80,80,79,59,50,53,181
13246,M. Rogoski,"CM, RM, LM",63,64,550000.0,2000.0,27,2022.0,4,2,59,51,63,58,59,48,55,68,44,54,63,64,55,71,71,55,49,59,55,176
8186,C. Durkin,"CM, CDM, RM",67,76,2300000.0,4000.0,21,2023.0,3,2,59,58,66,65,65,56,52,69,48,66,68,53,63,78,69,58,60,50,50,182
16920,D. Toma,"CM, CDM, RM",58,69,450000.0,800.0,21,2022.0,2,2,59,45,53,56,36,37,43,67,46,48,62,63,55,68,47,46,42,67,43,176
12632,S. Takahashi,"RB, RM",63,63,350000.0,2000.0,31,2022.0,3,2,59,35,55,52,68,26,47,56,37,40,56,60,58,89,73,42,34,71,45,170
12782,J. Tell,"ST, LM, RM",63,68,725000.0,4000.0,24,2022.0,3,2,60,63,56,62,59,63,73,63,63,62,64,65,56,58,56,64,41,63,66,185
5106,Q. Boisgard,"CM, LM, RM",70,76,2500000.0,9000.0,24,2023.0,4,3,60,63,72,71,68,63,48,76,60,74,71,63,58,72,62,68,69,63,70,174
12616,R. Tranberg,"CDM, CB, RM",63,64,475000.0,900.0,28,2022.0,3,2,60,50,61,60,64,45,51,61,42,60,61,58,62,73,79,60,51,57,44,186
5960,Nosberto Vila,"RB, RWB, RM",69,69,1400000.0,6000.0,25,2024.0,3,3,60,56,63,68,71,44,72,69,58,65,73,59,61,72,69,48,41,81,76,176
8356,P. Lima,"CDM, CM, RM",67,67,850000.0,700.0,30,2024.0,3,2,60,37,64,57,48,30,49,76,33,51,65,66,55,74,62,52,35,59,38,181
11372,F. Arce,"CDM, CM, RM",64,73,1200000.0,3000.0,24,2023.0,3,2,60,52,59,60,49,41,72,64,41,59,62,63,57,70,77,61,57,64,58,184
11726,M. Allende,"LM, RM, CAM",64,74,1300000.0,500.0,22,2023.0,3,3,60,58,62,71,63,59,47,64,54,74,72,60,60,40,48,63,63,65,59,165
18765,M. Ruhs,RM,52,67,180000.0,500.0,18,2022.0,3,2,60,38,50,49,44,32,41,55,35,45,53,56,64,66,58,53,38,54,40,180
16882,F. Freissegger,"RB, RM",58,68,425000.0,1000.0,20,2022.0,3,2,60,29,51,56,58,28,39,57,25,55,58,64,56,51,56,42,30,59,40,184
19232,M. O'Brien,RM,47,61,110000.0,500.0,18,2021.0,2,2,60,45,43,48,46,44,38,42,35,45,48,61,59,33,34,47,35,61,46,176
11172,M. Fernández,"RM, LM",64,64,240000.0,500.0,35,2021.0,4,3,61,56,63,68,61,57,30,64,55,67,73,60,62,65,49,61,68,64,58,163
17596,D. Markitesov,"RM, LM, CM",56,73,375000.0,6000.0,20,2023.0,3,2,61,48,57,54,54,40,56,60,39,58,45,54,67,56,58,60,40,56,55,180
14417,M. Daushvili,"CDM, RM, CM",61,61,220000.0,500.0,32,2023.0,3,2,61,35,56,54,42,32,40,70,29,39,64,62,60,65,55,50,45,72,52,176
10752,R. Takao,"RB, CB, RM",65,69,950000.0,3000.0,24,2022.0,2,2,61,32,52,55,51,30,65,63,33,50,59,60,61,70,63,38,29,61,35,181
1198,A. Yarmolenko,"RM, RW, ST",76,76,6000000.0,57000.0,31,2022.0,2,4,61,79,77,78,78,78,69,77,74,81,80,55,66,51,76,77,75,65,85,190
13080,A. Schuarztman,"CM, RM",63,68,725000.0,500.0,23,2021.0,3,2,61,56,57,63,49,63,38,65,36,64,65,66,57,70,37,60,37,59,45,173
10611,Carlos Isaac,"RB, RM",65,74,1500000.0,5000.0,23,2022.0,3,2,61,28,49,57,62,26,63,61,22,55,64,56,65,67,49,45,35,42,34,184
2674,J. Haberer,"CM, CF, RM",73,74,3500000.0,22000.0,27,2022.0,3,3,61,63,70,73,59,57,54,76,58,73,77,62,60,77,67,70,55,68,61,186
15756,C. Góngora,"CM, CDM, RM",60,68,525000.0,500.0,19,2021.0,3,3,61,56,56,62,44,55,57,65,44,65,61,59,62,67,50,61,55,55,61,168
19040,M. Hanratty,RM,50,60,100000.0,500.0,18,2021.0,3,2,61,43,47,49,46,42,53,50,34,48,50,62,61,53,48,42,38,50,48,189
6363,Miguel Baeza,"LM, CAM, RM",69,80,3100000.0,8000.0,21,2025.0,3,3,61,63,72,68,72,68,46,77,41,69,71,54,67,61,49,62,37,64,43,177
15297,F. Antonini,RM,60,65,375000.0,2000.0,23,2022.0,3,2,61,52,60,57,61,54,52,66,40,58,57,64,58,78,52,51,45,57,44,179
12047,A. Müller,"CDM, RM",64,72,1200000.0,850.0,20,2022.0,2,2,61,57,63,67,60,59,53,69,38,66,64,71,53,77,72,60,47,82,38,173
16973,Kevin,"RM, LM, CAM",58,70,500000.0,1000.0,22,2022.0,3,4,61,56,59,56,65,57,46,60,64,56,58,62,61,44,37,54,48,52,63,180
19071,L. Kervick,RM,50,58,100000.0,500.0,18,2021.0,3,2,61,46,47,53,49,44,41,48,41,52,51,63,59,34,31,45,38,64,48,177
14817,E. Valderrey,"CM, LM, RM",61,61,130000.0,500.0,35,2021.0,3,2,61,39,56,55,38,37,45,65,25,50,61,61,61,70,56,60,31,54,43,174
6333,M. Zerkane,RM,69,76,2800000.0,9000.0,21,2024.0,3,3,62,61,67,71,63,59,66,72,57,74,74,60,64,68,67,68,49,60,65,186
11936,A. Flips,"RM, LM",64,76,1400000.0,4000.0,21,2024.0,3,3,62,57,64,66,66,53,50,65,56,66,67,64,61,53,40,61,56,68,65,173
8040,Dener Rolim,"CAM, RM",67,67,1200000.0,4000.0,21,2024.0,4,3,62,63,63,69,55,62,57,62,51,73,70,67,58,73,65,72,75,55,50,178
10883,L. Owusu,"CDM, CM, RM",65,70,1000000.0,2000.0,24,2022.0,2,3,62,36,56,59,35,34,46,66,34,55,62,65,59,62,68,40,37,68,41,181
17200,S. Claure,RM,57,66,375000.0,500.0,21,2021.0,2,2,62,45,55,56,52,53,38,60,34,56,55,60,64,56,40,52,36,62,40,182
6417,M. Stoppelkamp,"LM, RM, CAM",68,68,575000.0,4000.0,34,2022.0,4,3,62,67,67,69,66,65,53,67,62,69,70,60,64,73,59,68,67,70,69,180
15037,S. Yendis,"CM, RM",61,66,500000.0,500.0,22,2025.0,2,2,62,55,56,62,50,59,45,62,33,65,58,60,63,63,50,60,31,61,40,172
6441,J. Arce,"CAM, RM, ST",68,68,400000.0,500.0,36,2021.0,3,3,62,64,63,70,49,64,56,64,55,70,72,64,61,71,48,64,70,75,64,176
6457,A. Pilkington,"RM, ST",68,68,750000.0,5000.0,33,2022.0,4,3,62,70,68,68,71,68,60,65,67,67,69,63,61,59,70,68,73,71,65,181
7548,J. Fontaine,"CM, RM",67,67,800000.0,3000.0,32,2022.0,3,3,62,65,69,66,70,60,45,70,68,64,67,76,50,82,63,61,74,66,64,177
13005,Sergio Lozano,"CM, CAM, RM",63,73,1100000.0,5000.0,22,2024.0,3,3,62,51,62,67,51,50,43,68,45,67,69,63,62,60,45,43,52,68,56,175
13042,C. Arabe,"CM, RM",63,63,475000.0,500.0,29,2021.0,3,3,62,54,63,70,62,57,48,68,45,71,70,69,56,63,48,57,58,71,57,173
2843,I. Rivero,"CM, RM, CDM",73,73,3000000.0,46000.0,29,2023.0,3,3,62,60,71,71,63,50,76,75,48,69,75,55,67,79,82,68,67,66,47,166
13054,J. Nuñez,RM,63,63,525000.0,500.0,25,2021.0,3,3,62,49,59,60,60,59,44,64,33,59,65,60,63,56,29,65,32,60,42,175
15378,A. Al Nemer,"CAM, RM",60,60,240000.0,4000.0,29,2023.0,3,3,62,50,59,66,55,48,47,64,38,66,64,63,61,60,40,55,49,77,56,168
15384,L. Chávez,"ST, RM",60,74,600000.0,2000.0,20,2023.0,3,3,62,61,51,65,45,64,58,59,55,70,60,63,62,54,31,58,34,64,68,170
19005,Cui Lin,"LB, RB, RM",50,55,70000.0,2000.0,23,2022.0,3,2,62,28,32,44,43,26,39,26,26,47,35,66,58,57,45,46,31,52,38,183
14740,T. Ostrák,"RM, LM",61,73,800000.0,3000.0,21,2022.0,3,3,62,56,62,63,58,55,54,67,50,63,62,64,61,61,48,48,40,71,50,176
1670,Pere Pons,"CM, CDM, RM",75,75,5500000.0,23000.0,28,2022.0,3,3,62,62,72,74,60,64,58,79,43,74,77,63,61,79,75,64,62,68,50,177
9429,L. Justiniano,"CDM, CM, RM",66,66,750000.0,500.0,28,2021.0,3,2,62,49,56,58,58,48,60,66,31,50,64,61,62,82,67,50,34,66,48,172
4117,Aketxe,"RM, CAM",71,71,2000000.0,8000.0,27,2023.0,3,3,62,76,78,72,77,72,40,78,60,70,71,66,58,58,52,64,89,84,73,174
18986,J. Dupree,RM,51,57,90000.0,500.0,23,2021.0,2,4,62,42,48,54,50,41,33,49,38,56,51,60,64,46,36,43,39,61,47,186
17663,E. Kratzer,"RB, RM",56,66,300000.0,2000.0,21,2023.0,3,2,62,29,43,47,51,21,54,53,32,33,59,61,62,54,49,19,26,68,46,178
12052,B. Domingues,"RM, CAM, LM",64,75,1300000.0,3000.0,21,2023.0,2,2,62,60,61,66,61,64,48,65,52,69,67,64,61,55,33,62,40,61,60,172
17857,G. Yow,"RM, LM",55,76,400000.0,500.0,18,2023.0,3,2,62,55,48,57,49,58,26,51,47,56,56,65,59,54,49,58,33,72,52,173
18718,M. Byrne,"CAM, LM, RM",52,64,190000.0,500.0,20,2021.0,3,2,62,38,54,52,42,38,42,60,36,48,56,57,66,50,42,49,42,55,45,178
15783,L. Ambrogio,RM,60,68,550000.0,2000.0,22,2024.0,3,3,62,60,56,63,61,58,47,59,43,66,65,63,61,53,28,49,41,56,63,181
13355,Naim García,"RM, RW",63,78,1100000.0,1000.0,19,2022.0,3,2,63,62,59,67,61,67,45,63,56,69,71,62,64,60,34,55,41,55,65,180
17554,Junior Quitirna,"RM, CAM",56,69,350000.0,500.0,21,2021.0,3,2,63,48,53,60,50,49,46,56,40,57,58,63,63,45,39,49,40,73,48,170
17829,Xie Weijun,"RM, ST, CM",55,59,180000.0,2000.0,23,2022.0,3,2,63,55,46,53,48,56,56,52,41,54,51,70,57,60,31,60,34,60,58,188
5550,M. Risse,"RM, RB",69,69,1200000.0,3000.0,31,2022.0,2,3,63,70,71,69,74,67,52,70,67,70,68,63,63,59,60,69,74,67,72,183
12700,D. Itter,"RB, RM, LM",63,70,925000.0,1000.0,22,2023.0,3,2,63,39,58,62,63,38,53,63,35,65,58,65,62,60,61,56,37,67,40,184
11514,T. Endoh,"RM, LM, CM",64,64,625000.0,2000.0,27,2021.0,3,3,63,57,63,67,62,55,46,68,43,68,65,70,57,60,55,62,37,70,49,170
13111,D. Boudaud,"RM, LM",63,63,230000.0,2000.0,34,2022.0,3,2,63,60,64,65,56,58,37,64,46,62,65,59,66,66,45,63,68,67,56,173
17493,J. Martin,"CAM, ST, RM",56,62,230000.0,500.0,22,2021.0,3,2,63,55,54,58,52,56,56,58,52,57,58,61,65,68,45,57,53,62,52,185
12600,B. Konaté,"CM, RM",63,68,700000.0,2000.0,25,2022.0,3,2,63,47,61,67,61,42,65,67,31,67,64,59,66,70,60,45,36,73,47,183
18028,F. Torres,RM,55,58,170000.0,500.0,24,2025.0,2,3,63,46,51,52,48,46,33,50,36,49,53,67,60,70,29,67,32,56,50,174
1904,Óscar,"CAM, CM, RM",75,84,12500000.0,21000.0,23,2025.0,3,3,63,74,74,77,66,76,45,75,65,81,78,63,63,55,48,70,86,65,53,174
19027,I. Vanlalruatfela,"RM, LM",50,62,110000.0,500.0,20,2024.0,3,2,63,42,49,52,40,39,35,53,41,49,46,59,67,41,42,44,43,64,46,172
18997,W. Sulaeman,RM,51,62,130000.0,800.0,19,2023.0,2,2,63,43,47,55,55,41,33,42,39,55,55,61,64,51,34,41,34,50,54,170
16011,M. Al Najrani,"RM, LM, CM",59,59,230000.0,5000.0,28,2022.0,3,3,63,54,58,60,60,51,56,58,51,60,61,64,62,33,61,60,35,60,63,173
4522,E. Le Fée,"CM, CAM, RM",71,81,4200000.0,9000.0,21,2024.0,3,4,63,53,73,75,67,48,44,77,51,75,77,61,64,63,49,73,68,70,54,170
18753,K. Leth,RM,52,67,180000.0,750.0,18,2022.0,3,2,63,50,47,55,48,52,36,50,46,53,53,63,63,33,42,51,38,65,44,178
14219,C. Cîrjan,"CM, RM",62,78,1000000.0,4000.0,18,2022.0,3,3,63,54,65,66,55,52,45,72,50,65,69,66,60,45,42,58,49,59,63,174
9610,A. Gómez,"CAM, RM, CM",66,66,525000.0,500.0,33,2021.0,2,3,63,62,63,67,52,60,38,69,37,68,70,62,64,37,36,61,75,63,70,169
9446,U. Segura,"RM, LM, CM",66,66,850000.0,3000.0,28,2021.0,3,3,63,63,66,67,62,59,62,69,66,67,67,68,58,69,69,64,62,66,61,183
8070,K. Kanatsızkuş,"ST, RM, CAM",67,73,1600000.0,5000.0,24,2023.0,3,3,63,66,56,67,34,67,72,65,68,69,67,64,63,70,53,65,50,61,57,190
15526,N. Zortea,"RB, RM",60,71,525000.0,5000.0,22,2022.0,1,2,63,35,40,62,54,32,50,36,37,68,60,64,62,58,62,51,41,60,47,175
14354,Edu Martínez,"CAM, RM, CM",62,70,900000.0,1000.0,22,2022.0,3,2,63,62,59,63,54,64,44,65,51,61,67,64,63,46,44,59,49,70,57,180
10124,F. Menig,"RB, RWB, RM",65,65,700000.0,1000.0,27,2022.0,3,2,63,35,48,54,50,31,58,56,38,49,59,61,65,75,65,34,31,53,46,187
18399,P. Fahrner,RM,54,69,250000.0,500.0,18,2022.0,3,2,63,37,53,56,55,32,38,57,29,56,58,64,63,49,53,46,37,60,39,180
19097,R. Idowu,"CAM, RM",50,63,110000.0,500.0,19,2021.0,3,2,63,40,54,50,44,33,36,59,36,48,50,57,68,44,47,35,39,54,46,183
5088,Ansel Barni,"CDM, CM, RM",70,70,1700000.0,5000.0,21,2024.0,3,2,63,54,65,62,55,51,69,71,46,64,61,64,62,72,55,58,42,53,75,184
2877,Neviano Neves,"CM, RM",73,73,3600000.0,17000.0,21,2024.0,3,2,63,71,73,72,63,69,58,80,55,71,78,69,58,69,63,68,68,68,66,170
18428,Wang Fei,"RM, RW",53,53,70000.0,2000.0,32,2021.0,3,2,63,46,49,53,47,49,32,56,37,50,56,64,63,51,38,51,37,55,45,178
13614,J. Chapman,"CM, RM, CDM",62,62,425000.0,2000.0,27,2021.0,2,3,63,55,60,65,49,52,55,66,54,65,66,62,64,66,69,59,52,64,56,183
17647,B. Kalkan,"LM, RM",56,80,450000.0,850.0,18,2022.0,4,2,64,54,50,61,57,54,44,51,52,65,60,63,64,46,28,51,47,56,65,170
15042,M. Huamán,"RM, RB, RW",61,75,750000.0,500.0,18,2022.0,3,2,64,57,59,62,65,55,44,59,55,70,55,65,63,61,55,50,60,57,61,175
19173,K. Al Absi,"LM, RM",49,60,100000.0,4000.0,20,2025.0,3,2,64,40,43,52,48,39,31,47,38,47,54,57,69,42,29,46,31,75,42,172
14399,M. Andersen,"RM, CM, RWB",61,61,130000.0,700.0,35,2021.0,3,2,64,58,59,60,57,59,44,64,64,57,58,65,64,66,57,59,57,69,44,179
11826,A. Gutiérrez,"CM, LM, RM",64,77,1400000.0,9000.0,21,2022.0,4,2,64,57,66,67,58,60,55,70,35,69,65,65,63,68,71,31,45,75,51,173
17280,D. Bouman,"RM, CAM",57,66,375000.0,500.0,23,2022.0,3,2,64,43,57,53,55,41,39,63,38,50,56,58,68,62,45,61,42,50,39,189
4404,G. Weissbeck,"CAM, RM",71,78,3800000.0,5000.0,24,2024.0,2,3,64,70,71,74,64,68,47,75,55,75,75,62,66,73,52,64,78,73,67,177
4401,Z. Youssouf,"CM, RM, CDM",71,77,3000000.0,14000.0,21,2023.0,3,3,64,57,71,75,62,53,47,76,55,78,77,64,64,72,72,68,65,70,55,182
18819,J. Sivi,RM,52,71,200000.0,1000.0,18,2023.0,3,2,64,54,44,54,45,57,36,45,47,52,59,63,65,43,32,50,35,51,54,180
15032,N. Laméndola,"RM, CM",61,70,725000.0,2000.0,22,2024.0,3,2,64,53,58,62,58,51,49,62,51,63,60,65,64,62,62,59,46,56,63,178
6446,A. Beck,"RWB, RB, RM",68,68,450000.0,5000.0,34,2022.0,3,3,64,45,63,63,67,29,67,64,28,61,64,65,63,72,74,43,64,63,42,180
14658,L. Buades,"RM, ST",61,68,650000.0,900.0,23,2024.0,3,3,64,57,55,62,62,60,47,59,55,63,65,66,63,48,46,60,43,63,55,180
11976,M. Chang,RM,64,64,575000.0,2000.0,30,2021.0,4,2,64,51,62,62,71,55,33,62,38,60,68,67,61,55,25,63,37,65,51,178
11523,S. Kobayashi,"RM, LM, CM",64,64,575000.0,1000.0,30,2022.0,3,2,64,56,66,62,70,55,54,63,43,59,63,62,65,87,50,55,63,70,45,174
17453,Ye Chugui,"CAM, RM, RW",56,57,170000.0,3000.0,26,2021.0,2,2,64,50,55,57,50,46,57,58,47,54,56,63,65,68,53,55,56,71,64,178
15424,J. Marcioni,"RM, RW",60,69,550000.0,2000.0,23,2022.0,2,2,64,53,53,62,59,55,45,58,49,64,61,70,59,61,41,60,43,67,55,176
17029,Kim Gyeong Jae,"CDM, CB, RM",57,58,170000.0,1000.0,27,2022.0,3,2,64,33,50,57,54,30,55,53,22,54,55,58,68,62,58,53,44,71,39,183
14935,M. Tanlongo,"RM, CM",61,76,750000.0,500.0,17,2022.0,3,2,64,56,58,63,58,54,39,62,49,65,64,66,63,64,36,51,40,59,49,178
