,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,weak_foot,skill_moves,pace,shooting,passing,dribbling,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_ball_control,movement_acceleration,movement_sprint_speed,power_stamina,mentality_aggression,mentality_positioning,skill_fk_accuracy,movement_agility,mentality_penalties,height_cm
5542,R. Rodelin,"LW, CAM",69,69,1200000.0,10000.0,31,2023.0,3,3,54,70,69,70,71,70,72,71,70,70,73,54,54,84,43,71,62,70,71,193
17368,Y. Scintu,"ST, LW, RW",57,63,250000.0,1000.0,24,2022.0,3,2,54,58,44,51,55,60,67,55,52,55,50,51,56,59,60,54,23,45,57,193
5806,L. Dos Santos,"RWB, RB, LWB",69,69,1300000.0,3000.0,28,2022.0,3,3,54,48,63,65,70,48,59,70,38,65,65,56,53,75,71,49,42,70,48,177
5540,G. Friend,"CB, LB, LWB",69,69,675000.0,10000.0,33,2023.0,3,3,55,55,61,66,64,53,66,64,33,67,67,54,55,71,60,65,53,69,49,188
10126,R. Blanco,"ST, RW, LW",65,65,240000.0,500.0,39,2026.0,3,2,55,71,52,61,43,73,65,57,65,64,59,46,62,42,37,73,75,55,78,185
9285,Pité,"LM, CM, LW",66,66,925000.0,2000.0,26,2022.0,3,3,56,58,63,67,63,51,56,67,54,69,71,59,53,65,65,66,41,58,54,189
15464,J. Nelson,"LB, LWB",60,69,525000.0,1000.0,22,2021.0,3,2,56,27,47,58,51,25,43,60,24,55,60,60,53,61,51,55,25,55,37,177
13928,L. Scales,"CB, LWB",62,73,825000.0,7000.0,22,2025.0,3,2,57,29,53,59,47,24,58,62,25,61,59,56,57,54,66,40,21,49,31,193
14980,D. Kunst,"ST, LW",61,70,750000.0,650.0,21,2021.0,3,2,57,62,46,56,29,66,66,57,52,56,60,54,59,63,56,63,34,50,62,190
12799,Ke Zhao,"LWB, LM",63,63,325000.0,3000.0,32,2021.0,2,2,57,30,48,56,60,22,49,53,23,52,53,54,60,80,76,42,27,71,33,175
539,Marcos Alonso,"LWB, LB",79,79,15000000.0,95000.0,30,2023.0,3,3,58,74,78,77,83,70,83,82,76,78,83,61,55,82,75,77,86,64,63,188
5705,M. Wallace,"CB, LWB, LB",69,69,1200000.0,7000.0,28,2022.0,2,2,58,28,54,60,58,21,68,63,21,58,63,53,62,80,64,47,24,55,34,188
14428,D. Lafferty,"LWB, LB, LM",61,61,230000.0,550.0,32,2022.0,3,2,58,52,56,57,60,49,58,59,37,55,57,55,61,64,61,53,53,64,45,180
9039,T. Pellenard,"LB, LWB",66,67,900000.0,2000.0,27,2026.0,3,3,58,36,61,63,70,32,63,66,33,62,65,60,56,68,62,52,39,63,42,182
9479,R. Ljubicic,"CM, LWB, CDM",66,75,1900000.0,6000.0,21,2024.0,4,3,58,57,65,68,59,56,59,69,44,67,69,63,54,72,70,57,61,67,39,178
18390,A. Ordoñez,"LW, ST",54,76,350000.0,500.0,17,2023.0,2,3,58,55,50,55,51,54,48,51,52,58,55,55,60,48,31,53,45,56,59,188
3865,N. Bertolo,"LM, LW, RM",71,71,775000.0,7000.0,35,2021.0,3,3,59,70,74,71,72,69,62,77,63,72,74,52,64,66,63,72,61,69,61,181
18892,J. Tiensia,"LWB, CB",51,66,130000.0,1000.0,20,2022.0,3,2,59,26,34,50,47,23,39,29,30,56,40,63,55,64,53,48,28,57,36,179
5108,S. Ghoddos,"CAM, CM, LW",70,70,1700000.0,24000.0,27,2023.0,3,4,60,72,69,71,67,70,64,72,68,69,73,61,60,62,63,68,78,68,62,177
15064,M. Haddad,"LM, LW",61,64,450000.0,1000.0,24,2022.0,3,3,60,62,53,69,67,64,28,56,53,73,69,56,63,34,33,65,45,52,65,169
10395,J. Shipley,"CM, CAM, LW",65,71,1100000.0,5000.0,23,2022.0,2,3,60,63,67,65,66,62,43,68,59,65,66,59,60,61,62,65,62,60,57,183
8926,Y. Al Shehri,"RW, LW, CAM",66,66,700000.0,7000.0,31,2023.0,2,4,60,61,68,69,67,61,46,68,59,66,71,64,57,47,43,63,62,74,61,164
10674,P. Mićin,"RW, ST, LW",65,73,1600000.0,4000.0,22,2022.0,3,3,60,64,61,68,61,66,55,63,58,70,71,56,63,35,41,60,57,61,60,189
7806,G. Þórarinsson,"LB, LWB, CM",67,67,900000.0,3000.0,29,2021.0,4,4,60,62,69,70,76,56,36,66,55,69,71,68,54,76,74,53,71,73,62,183
15532,A. Ohata,"LB, LWB, CB",60,72,575000.0,550.0,20,2023.0,3,2,60,29,50,60,49,23,55,59,25,59,57,67,55,62,69,45,28,65,34,168
16775,Diego Bri,"LW, RW",58,74,525000.0,1000.0,18,2022.0,3,3,60,55,57,61,58,58,27,59,54,62,60,61,60,40,25,57,47,62,49,172
15395,D. Musovski,"ST, LW",60,64,350000.0,1000.0,25,2021.0,4,2,60,59,48,61,45,64,58,58,45,61,63,61,60,62,35,60,31,58,57,182
16360,Hugo Bueno,LWB,59,81,700000.0,3000.0,18,2023.0,3,2,60,37,46,60,59,37,49,48,40,65,55,63,58,56,60,56,41,59,46,180
17306,B. Gutiérrez,"LM, LW, CAM",57,77,450000.0,500.0,18,2023.0,4,2,60,46,58,62,51,44,39,65,43,64,62,60,60,40,39,50,49,62,49,178
17292,A. Rajamohan,"CF, RW, LW",57,57,170000.0,800.0,28,2022.0,3,2,60,51,54,56,52,52,41,55,38,54,60,55,64,55,42,62,38,49,42,184
2809,C. Budescu,"CAM, LW, RW",73,73,2400000.0,14000.0,32,2022.0,4,4,60,73,76,74,71,71,50,74,65,74,78,60,60,60,55,71,80,63,76,186
14292,F. Jaritz,"LB, LM, LW",62,65,500000.0,2000.0,23,2022.0,3,2,61,52,58,62,63,51,56,62,39,62,64,64,58,59,56,56,54,59,46,180
18204,L. Richards,"CB, LWB",54,74,275000.0,5000.0,19,2022.0,3,2,61,41,49,50,48,38,52,52,35,47,48,65,57,52,56,42,43,64,42,182
16245,Santiago Eneme,"CAM, LW",59,69,500000.0,3000.0,20,2025.0,3,2,61,50,55,66,47,46,43,58,47,69,68,60,62,41,46,50,45,54,55,183
13368,Alisson Safira,"ST, LW",63,66,625000.0,2000.0,26,2024.0,2,2,61,67,44,57,32,68,69,53,54,54,58,58,63,58,39,55,36,58,59,185
10342,D. Widgren,"LB, LWB",65,66,750000.0,2000.0,27,2021.0,1,2,61,45,64,62,63,35,58,66,36,61,62,60,62,75,60,46,52,68,38,180
18620,E. Jones,"LB, LWB",53,70,230000.0,2000.0,19,2021.0,3,2,61,30,34,51,46,30,41,30,23,59,39,64,59,56,55,43,30,59,38,183
7924,S. Kingsley,"LB, LWB, CB",67,68,1100000.0,3000.0,26,2022.0,2,3,61,42,64,66,70,38,59,66,35,66,66,59,63,61,59,61,68,69,46,178
3158,M. Fabián,"CAM, LM, LW",72,72,1900000.0,9000.0,31,2022.0,4,4,61,74,73,75,74,68,61,75,77,73,77,60,61,53,64,70,79,74,73,178
13930,K. Hodžić,LWB,62,63,425000.0,750.0,26,2022.0,3,2,61,32,54,59,61,31,44,61,27,57,61,63,60,61,48,43,36,63,38,179
10964,N. Castro,"CAM, LW, CM",65,79,1700000.0,3000.0,20,2022.0,3,2,61,63,66,66,58,66,35,70,55,68,69,65,58,63,38,59,53,60,50,186
4640,E. Insúa,"LB, LWB, CB",70,70,1100000.0,7000.0,32,2021.0,2,3,61,60,65,69,68,47,65,70,61,70,70,59,63,75,75,64,63,65,64,180
14899,J. Bagan,"LWB, LB",61,75,750000.0,3000.0,19,2023.0,2,2,61,26,47,47,49,20,53,56,27,36,58,63,60,67,55,31,23,42,33,193
19117,M. Ezmat,LW,49,55,70000.0,2000.0,23,2021.0,2,2,62,52,39,55,40,52,36,35,43,59,46,61,63,42,32,46,34,58,49,175
12824,C. Brown,"CB, LWB, LB",63,70,900000.0,6000.0,23,2022.0,2,2,62,42,49,54,54,36,57,51,34,50,57,62,62,54,61,43,38,61,37,185
13894,J. Žambůrek,"CAM, CM, LW",62,76,950000.0,6000.0,20,2023.0,3,2,62,46,60,65,44,48,25,68,29,63,63,66,59,58,60,59,45,76,53,175
15834,Q. Dumay,"ST, LW",60,67,500000.0,1000.0,20,2022.0,3,2,62,62,53,66,52,66,37,58,54,69,66,66,59,44,45,65,38,61,56,181
13224,K. Yamashita,"ST, CF, LW",63,67,675000.0,1000.0,25,2022.0,3,3,62,64,52,60,46,65,66,61,63,61,62,58,65,63,53,61,55,57,61,184
16365,A. Huamán,"CAM, RW, LW",59,70,475000.0,500.0,19,2022.0,3,3,62,54,54,59,47,55,45,61,38,58,61,61,62,55,61,62,35,57,62,170
19134,Zhang Aokai,LW,49,56,100000.0,1000.0,21,2025.0,2,2,62,58,42,49,41,55,42,42,59,44,49,64,60,51,41,51,37,66,54,175
18111,Y. Gurfinkel,"LWB, LM, LB",55,63,275000.0,900.0,23,2024.0,3,2,62,33,40,50,46,33,41,41,29,52,45,63,61,64,54,44,30,54,37,171
13574,Zhu Baojie,"LM, LW, CM",62,62,325000.0,3000.0,31,2021.0,3,2,62,53,61,62,69,53,52,61,44,60,59,55,68,67,43,58,44,77,45,170
11088,M. Lumb,LWB,64,64,300000.0,3000.0,33,2021.0,3,3,62,56,62,64,65,50,58,63,58,62,65,65,59,68,80,60,64,65,30,177
4102,I. Sylla,"LWB, LB",71,71,1800000.0,5000.0,27,2023.0,2,2,62,61,67,66,71,64,60,70,65,69,63,57,66,87,68,69,56,67,49,180
14279,J. Eseiza,LWB,62,73,825000.0,1000.0,19,2023.0,2,2,62,33,49,57,56,33,54,52,35,64,47,69,56,65,58,40,31,62,49,185
8606,M. John,"LWB, LM, LB",67,79,2300000.0,5000.0,19,2024.0,3,2,62,53,64,71,67,54,38,69,48,73,74,64,61,66,47,44,52,68,55,184
17158,J. Justin,"ST, LW",57,58,190000.0,550.0,27,2023.0,3,2,63,55,45,54,43,55,60,45,51,52,53,63,63,46,54,63,40,59,58,176
17538,C. Boyd-Munce,"CM, LWB",56,68,350000.0,3000.0,21,2023.0,3,2,63,52,55,53,43,48,43,60,40,52,51,62,64,70,57,60,48,63,35,180
6109,Paik Seung Ho,"CM, RW, LW",69,75,2200000.0,5000.0,24,2022.0,5,4,63,60,67,73,56,63,50,73,39,71,76,68,58,76,52,57,62,77,51,180
5712,M. Fox,"LWB, LB, CB",69,70,1500000.0,12000.0,27,2023.0,2,2,63,43,58,61,67,41,62,64,34,58,66,66,61,74,59,47,29,56,39,185
16825,F. Abastoflor,LW,58,58,210000.0,500.0,28,2021.0,3,2,63,62,54,60,53,64,52,55,65,62,57,63,63,63,45,55,42,67,59,169
5502,A. Skúlason,"LWB, LB, LM",69,69,500000.0,4000.0,34,2022.0,2,3,63,60,68,66,68,51,37,68,57,64,66,65,62,71,69,57,67,69,73,170
956,Óliver Torres,"CM, LW",77,80,13500000.0,27000.0,26,2024.0,4,3,63,67,78,82,73,66,52,81,63,83,84,67,59,74,61,74,64,78,65,175
15919,Carlos Beitia,"CM, RW, LW",60,73,600000.0,3000.0,21,2026.0,3,4,63,47,57,63,46,50,38,61,36,65,63,62,64,65,36,52,45,63,41,185
3454,E. Crivelli,"ST, LW",72,74,2900000.0,27000.0,26,2022.0,3,2,63,70,62,67,53,69,78,70,69,67,71,56,69,80,87,75,49,61,62,184
4726,G. Cunningham,"LWB, LB",70,70,1400000.0,17000.0,30,2023.0,3,3,63,54,64,68,70,55,66,68,25,68,68,60,65,69,82,60,56,71,44,183
18627,P. Sutter,"LW, ST",53,61,210000.0,2000.0,22,2022.0,2,2,63,57,46,57,49,59,39,45,49,61,55,61,65,49,35,49,39,58,60,172
9304,P. Clement,"CM, LW",66,71,1200000.0,3000.0,25,2022.0,3,3,63,60,67,68,63,59,55,71,56,66,68,68,59,72,55,58,57,75,57,177
18763,M. Murphy,"LWB, RB",52,66,180000.0,500.0,20,2021.0,3,2,63,38,41,47,45,41,41,42,29,45,45,64,63,58,45,37,38,53,40,182
4580,M. Tolić,"CAM, LW, RW",71,76,2800000.0,550.0,24,2025.0,4,4,63,72,73,77,74,67,61,76,71,81,78,65,62,65,47,58,73,67,83,189
9739,V. Edvardsen,"ST, LW",66,70,1200000.0,1000.0,25,2022.0,3,2,63,68,58,62,59,70,54,58,59,59,65,62,63,62,67,72,55,57,62,185
15219,S. Griffin,"LB, LWB",60,60,240000.0,600.0,26,2021.0,2,3,63,40,56,55,57,32,56,55,43,52,53,62,64,70,54,57,49,66,42,180
8807,J. Morrow,"LB, LWB, LM",66,66,450000.0,2000.0,33,2021.0,4,3,63,61,64,64,66,60,59,68,59,64,63,61,65,64,70,65,54,64,48,175
12399,S. Kavanagh,"LWB, LM, LB",63,64,500000.0,850.0,27,2021.0,3,3,64,55,63,63,63,53,54,63,33,61,62,62,66,60,60,58,65,69,58,175
16875,D. Wolfe,"LB, LW, RW",58,71,475000.0,500.0,19,2023.0,2,2,64,43,49,57,55,40,46,57,42,57,58,65,63,63,50,44,36,62,40,185
16810,V. Dahlström,"ST, LW",58,64,325000.0,700.0,24,2022.0,3,2,64,59,41,51,35,65,61,45,47,48,53,63,65,60,41,56,35,55,62,186
16814,W. Bogado,"LM, LW",58,65,425000.0,500.0,22,2021.0,3,2,64,48,56,61,61,55,37,61,36,62,65,68,60,47,25,42,39,55,45,176
12432,J. Clisby,"LB, LWB",63,63,425000.0,1000.0,29,2023.0,3,2,64,47,58,55,68,45,54,55,27,51,52,60,68,75,90,60,62,71,51,180
9447,C. Akas,"CB, LWB",66,69,975000.0,2000.0,27,2023.0,2,2,64,40,52,62,64,34,53,61,34,62,64,60,68,76,74,44,38,57,38,188
15608,Y. Yuzawa,LW,60,60,240000.0,950.0,30,2022.0,4,2,64,51,60,64,61,46,33,60,46,60,61,68,61,48,56,61,52,82,53,167
4062,F. Holland,"LB, LWB",71,71,1600000.0,10000.0,30,2022.0,2,3,64,47,61,69,68,38,63,64,34,66,69,75,55,80,71,47,59,77,55,172
14838,E. García,"LW, LM",61,73,800000.0,500.0,20,2021.0,3,2,64,57,62,63,61,56,35,60,51,60,65,61,66,56,39,59,62,71,57,165
19124,J. Mulato,LW,49,65,120000.0,500.0,18,2025.0,2,2,64,50,41,52,47,54,36,38,35,54,52,65,63,50,30,43,33,50,54,183
3911,B. Oczipka,"LB, LWB, CB",71,71,1300000.0,17000.0,32,2024.0,2,2,64,59,70,64,75,50,63,70,47,61,67,55,71,75,74,64,70,61,66,185
15967,L. Fariña,"CAM, LW",59,59,220000.0,500.0,30,2025.0,3,3,64,57,60,62,60,57,51,62,49,62,65,65,64,39,45,45,61,70,59,177
5479,L. Licht,"LB, LWB, LM",69,69,2850451.813201148,5000.0,40,2021.0,4,3,64,61,65,72,80,52,53,52,57,76,69,59,68,64,69,56,68,69,84,174
1206,Nolito,"LM, LW, CM",76,76,3500000.0,23000.0,34,2022.0,3,4,64,76,77,77,76,77,56,79,65,77,78,69,59,54,73,78,76,78,74,175
2429,M. Rodríguez,"LW, LM, ST",73,73,2850451.813201148,10000.0,40,2021.0,4,4,64,74,76,75,72,73,61,78,71,75,76,64,64,46,73,76,71,72,77,173
18159,Yan Zihao,"LB, LWB",54,57,130000.0,1000.0,26,2021.0,2,2,64,25,31,50,43,22,38,28,22,50,41,63,65,81,49,45,25,72,30,178
10302,Ozkoidi,"LM, LWB",65,65,600000.0,2000.0,31,2022.0,3,3,64,46,62,62,65,54,69,69,30,59,67,68,61,60,35,66,45,57,50,170
10264,S. McMann,"LWB, LB",65,69,950000.0,2000.0,24,2024.0,3,2,64,36,55,63,62,33,58,61,36,62,62,66,63,80,68,49,43,68,37,183
13597,L. Slišković,"CAM, LW",62,65,525000.0,1000.0,26,2023.0,4,3,64,60,55,64,33,62,51,62,47,62,64,67,62,69,39,62,63,80,65,180
16355,C. Abastoflor,"LW, LM",59,75,575000.0,500.0,19,2022.0,3,4,64,57,55,61,61,59,35,61,40,60,65,67,62,61,30,50,35,72,55,170
7493,L. Wallace,"LWB, LB",67,67,525000.0,6000.0,33,2022.0,3,2,64,51,59,66,63,50,59,65,37,64,69,63,65,69,61,59,33,66,58,185
5645,Fabrício,"ST, LW",69,69,1200000.0,5000.0,31,2024.0,2,4,64,70,66,67,64,68,69,67,77,66,67,65,64,69,73,71,70,73,74,183
2330,Aarón,"LB, LWB, LM",74,78,5500000.0,17000.0,24,2023.0,3,3,64,47,71,74,78,36,63,79,40,73,75,72,57,76,59,59,51,76,46,178
8167,Heitor Mutto,"CAM, LW",67,67,1000000.0,6000.0,29,2024.0,4,2,64,67,62,70,65,66,55,59,62,75,69,68,60,51,55,68,52,72,72,180
16556,Jeong Chi In,"ST, LW",58,65,400000.0,1000.0,23,2021.0,3,2,64,57,44,58,44,56,59,49,40,56,57,61,66,58,58,63,29,67,58,182
3188,F. Montero,"ST, CF, LW",72,72,1500000.0,7000.0,33,2021.0,4,4,64,74,70,74,67,71,74,70,78,72,74,66,63,70,52,75,74,79,82,175
19081,C. Heaney,"LW, LB",50,61,100000.0,500.0,20,2025.0,3,2,65,50,43,53,49,54,39,42,44,53,51,69,62,49,30,40,30,57,54,178
8898,A. Lazaar,"LB, LM, LWB",66,66,750000.0,3000.0,29,2023.0,3,3,65,55,62,68,68,45,58,65,51,68,68,67,63,49,66,62,40,71,48,184
11079,N. Adams,"RWB, LWB, RB",64,64,210000.0,3000.0,34,2022.0,4,3,65,56,63,62,66,56,40,61,56,62,61,66,65,74,51,57,60,61,59,178
18811,H. Haraldsson,LW,52,69,200000.0,1000.0,18,2026.0,2,2,65,45,48,54,48,47,35,54,40,53,53,67,64,52,28,50,35,65,54,180
18182,M. Hundley,LW,54,66,275000.0,1000.0,21,2022.0,4,2,65,51,50,54,53,51,38,51,39,54,51,61,69,51,39,56,39,68,48,178
18749,N. Iseguan,"CAM, LW, RW",52,70,200000.0,700.0,18,2022.0,3,2,65,42,48,53,38,40,38,53,40,52,51,66,65,51,42,49,35,64,36,185
9009,C. Grant,"LWB, CM",66,68,975000.0,4000.0,26,2023.0,3,3,65,60,66,66,65,58,59,65,43,63,65,72,59,80,65,66,64,77,34,184
7355,M. Lliuya,"CAM, RW, LW",68,68,1200000.0,500.0,29,2021.0,4,4,65,68,64,71,59,62,31,64,66,73,69,65,65,60,49,70,75,77,70,168
6685,C. Lykogiannis,"LB, LWB, CB",68,68,1200000.0,11000.0,27,2022.0,3,2,65,68,67,66,66,62,52,71,55,69,72,70,61,63,56,63,73,44,58,190
2001,M. Ritchie,LWB,74,74,3100000.0,30000.0,31,2023.0,4,4,65,73,75,76,78,69,39,75,75,77,76,68,62,75,82,74,71,67,72,172
12452,A. Chițu,"LW, CAM",63,63,475000.0,3000.0,30,2022.0,2,3,65,63,63,62,64,64,61,68,59,60,64,67,63,58,52,66,53,64,67,183
15681,P. Méliande,LW,60,73,575000.0,650.0,19,2023.0,2,2,65,52,61,62,56,53,51,66,49,60,62,62,67,53,39,57,48,65,54,181
12362,A. Achahbar,"ST, LW",63,63,525000.0,3000.0,27,2022.0,4,4,65,60,58,67,55,58,47,62,62,64,73,67,64,54,71,69,63,72,44,173
15596,J. Khayat,LWB,60,60,220000.0,700.0,28,2021.0,3,2,65,33,55,56,56,34,46,57,37,55,56,66,64,70,53,48,39,62,31,178
4849,C. Corvalán,"LWB, CB, LB",70,70,1100000.0,7000.0,32,2022.0,3,2,65,49,62,64,64,35,58,68,49,62,64,62,68,72,82,57,39,64,53,179
16414,D. Paraschiv,"ST, LW",59,65,375000.0,3000.0,22,2022.0,2,2,65,59,48,55,48,58,66,51,51,51,56,67,64,63,51,60,44,65,56,180
13824,T. Sang,"RWB, CM, LWB",62,72,850000.0,5000.0,22,2022.0,3,2,65,45,53,58,48,41,53,60,44,56,62,64,65,65,64,50,45,59,39,185
15245,J. Ortmark,"CM, LW",60,67,500000.0,750.0,23,2023.0,3,2,65,56,60,62,54,58,42,64,55,60,64,67,64,66,49,58,47,70,46,176
15976,J. Tchouatcha,"LB, LWB",59,60,240000.0,1000.0,26,2022.0,2,2,65,26,47,54,53,21,48,53,23,55,49,64,66,66,60,41,27,65,31,180
16302,I. Violante,"LB, LWB",59,74,500000.0,500.0,17,2021.0,2,2,65,32,40,60,51,27,53,37,29,65,50,68,62,61,59,50,42,59,49,173
14923,D. Șerbănică,"LWB, LB, CB",61,65,425000.0,1000.0,25,2022.0,3,2,65,36,51,44,53,31,43,57,37,33,48,63,66,69,52,47,33,65,35,181
16006,A. Södlund,"RW, LW",59,64,350000.0,800.0,24,2022.0,3,2,66,56,53,62,48,58,52,61,46,64,62,64,68,73,56,57,34,63,47,185
16318,D. Martínez,LW,59,68,500000.0,500.0,21,2021.0,3,2,66,64,55,59,62,65,44,54,61,61,54,67,65,54,33,57,40,62,50,173
13244,A. Saidi,LW,63,70,975000.0,800.0,21,2023.0,3,2,66,53,65,63,64,62,42,67,38,64,66,65,66,60,36,64,45,62,48,186
18357,N. Wassberg,"CM, LW",54,76,325000.0,500.0,17,2023.0,2,2,66,43,52,61,43,41,51,60,35,62,57,67,65,62,54,54,40,68,39,178
18287,I. Jensen,"LW, LM",54,68,250000.0,500.0,17,2023.0,3,2,66,49,53,55,46,50,42,59,41,55,57,65,67,50,38,48,45,55,42,185
14678,A. Lewis,"LB, LWB",61,74,775000.0,9000.0,21,2022.0,2,2,66,36,57,62,62,38,49,56,32,64,57,73,60,59,69,45,63,71,55,175
15307,I. Vujica,"LB, LWB, CB",60,63,300000.0,500.0,24,2022.0,3,2,66,33,52,63,60,32,50,55,32,63,61,67,66,58,53,42,37,70,33,180
3548,Y. El Jebli,"CAM, LW",72,72,2400000.0,13000.0,28,2022.0,3,3,66,69,75,74,77,68,46,73,59,73,76,69,63,80,68,66,79,73,66,177
223,Isco,"CAM, CM, LW",82,82,30000000.0,175000.0,29,2022.0,3,4,66,75,80,88,78,76,55,81,67,91,90,70,62,59,58,77,76,81,74,176
14458,M. Majrashi,"ST, LW",61,61,325000.0,7000.0,30,2024.0,3,2,66,58,47,61,48,59,64,56,63,63,61,68,65,72,56,56,23,64,49,182
14627,Hu Ruibao,"LWB, LB",61,67,475000.0,2000.0,24,2021.0,3,2,66,30,47,55,50,21,62,54,35,50,58,67,66,61,51,39,36,65,28,185
15008,Jaime Santos,"RW, LW",61,61,350000.0,500.0,26,2021.0,4,3,66,64,59,61,56,60,61,63,45,61,62,67,65,65,59,63,67,63,58,178
8800,C. Hussey,LWB,66,66,600000.0,3000.0,32,2023.0,3,2,66,48,62,62,64,43,46,61,47,60,61,67,65,80,64,57,70,69,54,178
19214,R. Mahon,"LW, LM",48,60,110000.0,500.0,18,2021.0,3,2,66,49,40,51,40,52,39,44,41,48,52,67,66,32,30,41,31,61,46,168
8805,J. Davidson,"LWB, LB",66,66,725000.0,3000.0,30,2022.0,2,3,66,50,60,65,67,51,60,63,44,66,66,69,63,70,63,60,40,66,44,180
8675,Gao Lin,"LW, ST",66,66,350000.0,3000.0,35,2021.0,4,3,66,66,66,65,65,61,71,68,63,65,65,67,65,69,66,69,60,59,72,185
8636,A. Teuten,"LB, LWB",67,75,2200000.0,500.0,22,2021.0,3,2,66,39,59,69,72,35,48,60,38,68,70,78,57,75,68,60,32,82,42,173
18575,Cho Sang Jun,LW,53,60,190000.0,750.0,21,2021.0,3,3,66,52,44,57,46,55,35,48,45,57,55,66,66,56,46,52,32,67,51,176
13878,M. Choinière,"LWB, RWB, LW",62,67,575000.0,1000.0,22,2021.0,2,3,66,52,59,66,60,50,34,66,58,66,64,69,64,58,31,55,38,73,39,175
14241,L. Besozzi,"LW, RW",62,79,1000000.0,1000.0,18,2023.0,3,2,66,59,58,63,62,61,39,62,52,64,63,67,65,52,33,59,42,66,59,176
15716,R. Luna,"RW, LW",60,61,300000.0,2000.0,25,2022.0,2,3,66,53,57,60,62,57,55,60,50,61,60,65,66,60,57,62,29,60,46,178
5788,A. Hughes,"CB, LWB, LB",69,69,1200000.0,15000.0,29,2022.0,2,2,66,36,59,60,63,35,72,63,27,55,64,63,68,76,69,41,71,67,38,190
11113,J. Huyghebaert,"LB, CB, LWB",64,64,400000.0,2000.0,32,2022.0,2,2,66,41,60,59,62,32,47,62,36,55,60,64,68,63,66,51,45,66,43,180
12698,D. Franke,"LB, CB, LWB",63,73,1000000.0,3000.0,22,2023.0,3,2,66,33,54,62,63,29,53,59,31,62,63,67,65,59,58,53,44,67,39,184
5732,N. Gießelmann,"LB, LWB",69,69,1200000.0,13000.0,29,2025.0,2,3,66,52,64,65,68,44,60,66,53,62,66,67,65,76,71,57,69,67,54,182
17588,J. Martínes,"LM, LW",56,70,325000.0,500.0,18,2021.0,3,2,66,47,48,57,44,47,50,56,35,55,62,68,65,57,48,56,37,63,31,172
5662,C. Löwe,"LB, LWB, LM",69,69,975000.0,8000.0,32,2022.0,2,3,66,58,67,67,69,50,58,69,52,64,66,67,66,65,66,62,66,73,65,175
17587,E. Skogvoll,LW,56,59,190000.0,1000.0,25,2021.0,3,2,66,49,51,59,55,53,40,53,41,59,60,65,67,48,33,53,38,60,51,173
17968,V. Prijović,"CB, LWB",55,69,275000.0,1000.0,19,2024.0,2,2,66,31,42,52,40,27,46,48,31,50,54,63,68,52,60,36,32,56,38,185
11686,D. Mandroiu,"LW, CAM",64,71,1200000.0,1000.0,22,2022.0,4,4,66,63,64,66,63,59,52,64,56,64,67,68,64,63,60,60,69,72,64,180
17202,A. Alfaro,"LM, LW",57,65,375000.0,500.0,22,2022.0,2,2,66,44,55,55,60,40,43,62,39,57,53,63,69,60,60,54,31,60,44,176
11766,A. Taoui,"ST, RW, LW",64,76,1400000.0,1000.0,19,2022.0,4,3,66,64,56,70,65,69,65,58,49,72,70,68,65,55,46,62,42,70,66,179
