,Name ,player_positions,overall,potential,value_eur,wage_eur,age,club_contract_valid_until,mentality_vision,passing,dribbling,attacking_crossing,attacking_volleys,attacking_short_passing,attacking_finishing,skill_long_passing,skill_dribbling,skill_ball_control,skill_curve,skill_fk_accuracy,movement_reactions,movement_acceleration,power_stamina,mentality_positioning,mentality_composure,mentality_penalties,height_cm
2430,M. Liendl,CAM,73,73,1200000.0,11000.0,35,2022.0,80,79,72,78,69,80,68,80,71,74,81,75,71,56,70,69,75,80,176
8739,F. Sammaritano,"LM, CAM, RM",66,66,350000.0,1000.0,35,2022.0,73,70,70,61,66,72,60,71,69,70,80,70,70,64,48,70,63,64,162
1188,P. Groß,"CM, RM, CAM",76,76,7000000.0,51000.0,30,2022.0,80,80,75,82,65,80,72,79,76,77,83,77,77,55,79,75,79,70,181
15238,E. Sánchez,"CAM, CM, ST",60,61,275000.0,2000.0,27,2022.0,64,63,58,60,50,68,52,64,63,60,50,36,53,52,60,61,47,55,182
11828,A. Sejdič,"CM, CAM, CDM",64,68,825000.0,2000.0,24,2022.0,63,62,66,53,45,69,54,64,64,68,58,51,60,54,66,58,61,58,178
3124,M. Vrančić,"CAM, CM, CDM",72,72,1900000.0,21000.0,32,2022.0,78,75,72,69,71,76,66,75,70,76,77,79,72,53,70,68,73,55,187
6437,L. Tomlin,"CAM, ST",68,68,950000.0,14000.0,32,2022.0,75,68,71,62,72,69,67,62,71,71,65,73,66,53,32,65,68,70,180
12462,G. Zelalem,"CM, CAM, CDM",63,69,750000.0,2000.0,24,2021.0,68,66,66,51,55,73,49,71,64,70,65,54,60,60,54,57,63,56,180
4151,J. De Sart,"CM, CDM, CAM",71,73,2300000.0,14000.0,26,2024.0,72,72,68,72,69,72,60,76,66,71,69,71,68,54,80,62,73,55,187
5708,M. Eriksson,"CAM, CM",69,69,1200000.0,5000.0,31,2023.0,74,72,68,67,65,75,68,68,66,70,72,68,74,50,86,72,71,72,180
509,Iniesta,"CM, CAM",79,79,5500000.0,10000.0,37,2024.0,90,84,84,75,79,89,68,83,84,89,80,70,71,59,51,78,89,71,171
8669,W. Hoolahan,"CAM, RM, LM",66,66,275000.0,2000.0,39,2022.0,68,68,69,69,61,68,64,67,66,67,68,66,66,53,34,64,72,70,168
11517,G. Aburjania,"CM, CDM, CAM",64,67,750000.0,3000.0,26,2023.0,68,66,64,64,47,66,59,63,63,65,67,66,65,50,59,58,71,49,186
4197,P. Žulj,"CM, CAM, CDM",71,71,1900000.0,23000.0,28,2024.0,73,72,71,69,66,74,66,72,71,74,73,72,65,51,66,71,69,74,185
4836,L. Zuffi,"CDM, CAM, CM",70,70,1100000.0,13000.0,31,2024.0,68,74,68,75,63,76,66,75,67,73,76,76,63,50,66,63,64,65,182
5527,D. Kadah,"ST, CAM",69,69,600000.0,6000.0,35,2022.0,70,67,70,64,60,68,70,64,69,74,69,60,72,51,64,71,70,73,188
3839,J. Dátolo,"CAM, CM",71,71,600000.0,8000.0,37,2022.0,78,73,71,63,67,74,70,71,70,74,80,77,70,52,54,71,73,75,179
3840,F. Belluschi,"CM, CAM",71,71,600000.0,8000.0,37,2021.0,75,74,74,75,75,71,65,71,73,79,85,79,64,53,53,73,80,69,173
2463,S. Kums,"CM, CDM, CAM",73,73,1900000.0,18000.0,33,2023.0,73,76,72,75,67,77,66,76,70,76,76,79,70,55,72,66,81,71,176
9034,L. Stojanović,CAM,66,67,975000.0,3000.0,27,2021.0,66,62,63,50,63,68,69,67,63,68,51,56,62,57,68,70,66,59,185
4736,R. Amalfitano,"CAM, CM, CDM",70,70,1300000.0,10000.0,31,2022.0,75,70,72,62,49,74,64,71,72,72,61,62,76,62,74,70,71,61,173
4788,M. de Leeuw,"ST, CAM",70,70,775000.0,7000.0,34,2022.0,68,61,68,52,71,65,69,58,66,72,52,57,71,54,72,75,68,68,178
9343,Y. Kawai,"CM, CAM, CDM",66,66,700000.0,2000.0,31,2024.0,64,66,67,63,64,71,60,66,64,67,54,58,62,61,63,62,56,58,166
4419,E. Löwen,"CM, CAM, CDM",71,76,2800000.0,22000.0,24,2022.0,72,68,67,58,47,73,52,66,70,72,64,73,74,51,84,63,63,36,188
310,J. Rodríguez,"RW, CAM, CM",81,81,25500000.0,105000.0,29,2022.0,84,86,86,89,90,84,84,85,86,90,89,86,83,55,55,80,87,81,180
12246,C. Ben Saada,"RM, CAM, LM",63,63,160000.0,1000.0,37,2022.0,66,65,66,69,62,67,59,56,67,65,68,64,60,57,43,59,59,62,176
3920,O. Martínez,"CAM, CM",71,71,775000.0,6000.0,35,2024.0,75,72,72,65,71,74,66,73,70,77,75,71,71,55,69,72,72,75,165
11155,M. Duffy,CAM,64,64,240000.0,2000.0,35,2022.0,66,67,67,69,45,66,61,65,66,65,69,65,64,52,33,64,68,52,175
11182,D. Löfquist,"CM, CAM",64,64,275000.0,1000.0,34,2023.0,60,64,63,63,55,67,58,63,62,64,69,68,68,62,71,63,66,57,189
15251,D. Chávez,"ST, LM, CAM",60,63,325000.0,4000.0,26,2026.0,62,61,62,54,48,63,62,63,62,64,62,55,57,56,73,62,61,55,185
11199,N. Mezquida,"CAM, ST",64,64,575000.0,2000.0,29,2025.0,66,62,71,59,64,62,55,55,69,68,66,72,64,68,35,63,71,43,168
1201,J. Toornstra,"CM, CDM, CAM",76,76,6000000.0,12000.0,32,2022.0,74,76,74,76,81,78,74,77,74,76,75,74,73,46,91,74,76,56,178
872,D. Valeri,"CAM, ST",77,77,4300000.0,7000.0,35,2021.0,79,78,78,78,75,78,71,75,78,80,81,82,81,58,77,81,86,78,178
1365,Edu Expósito,"CDM, CM, CAM",76,83,14000000.0,10000.0,24,2024.0,80,71,74,56,36,80,74,78,76,77,34,50,77,62,68,71,72,70,179
2299,R. Morioka,"CM, CAM, CDM",74,74,4000000.0,14000.0,30,2022.0,77,76,71,74,71,76,66,78,70,74,68,72,71,53,75,71,77,71,180
6436,O. Kaya,"RM, CAM, LM",68,68,500000.0,5000.0,35,2022.0,75,73,68,75,71,70,61,69,66,67,78,75,63,62,56,78,80,70,167
903,E. Cardona,"CAM, LW, LM",77,77,10500000.0,19000.0,28,2021.0,81,81,76,79,74,82,74,79,77,83,82,85,73,54,61,74,73,66,183
4996,Y. Bodiger,"CDM, CM, CAM",70,74,2000000.0,5000.0,26,2022.0,68,67,64,63,44,68,52,70,63,68,67,64,71,56,65,58,66,59,188
5542,R. Rodelin,"LW, CAM",69,69,1200000.0,10000.0,31,2023.0,72,69,70,71,70,71,70,62,70,73,68,62,69,54,84,71,64,71,193
11349,Z. Kvržić,"RB, CAM, RM",64,64,400000.0,3000.0,32,2022.0,66,62,64,60,41,67,33,58,65,64,53,35,66,45,55,63,55,49,180
11342,S. Štefánik,"CAM, CM, RM",64,64,575000.0,2000.0,29,2022.0,65,62,67,55,56,65,58,66,66,66,62,47,66,54,52,62,65,52,177
8782,Javi Lara,"CM, LM, CAM",66,66,350000.0,2000.0,35,2022.0,70,72,66,72,58,72,65,73,66,69,76,78,60,61,40,61,63,71,179
11062,M. Sağlik,"ST, CF, CAM",64,64,200000.0,600.0,38,2022.0,55,53,67,50,67,57,67,37,66,65,69,59,65,55,49,70,70,65,178
19194,E. Singh,"CAM, CM",48,65,120000.0,500.0,18,2023.0,55,46,53,37,25,45,41,51,53,48,45,44,29,53,69,38,53,43,169
3382,A. Ruiz,"CAM, CF, ST",72,72,2500000.0,9000.0,27,2021.0,73,74,75,74,69,75,69,71,76,76,75,73,66,58,63,68,76,69,183
521,G. Sigurðsson,"CAM, CM",79,79,14500000.0,83000.0,31,2022.0,80,82,78,85,77,82,74,78,78,83,87,84,77,55,77,78,80,78,186
7540,A. Grünwald,"CM, CAM, CDM",67,67,800000.0,7000.0,32,2022.0,71,69,66,65,64,69,67,65,65,70,76,72,66,58,80,65,70,68,188
16766,F. Schneider,"CM, CAM",58,72,475000.0,2000.0,18,2022.0,54,56,59,50,49,63,51,59,58,61,43,33,58,55,60,57,47,54,184
5538,A. Kravets,"ST, CAM",69,69,1100000.0,10000.0,32,2022.0,59,57,62,46,69,67,72,49,64,67,53,47,71,54,75,72,70,59,189
682,Juan Mata,"CAM, RM",78,78,9000000.0,100000.0,33,2022.0,82,81,81,79,71,83,70,77,80,84,85,84,79,61,53,81,84,80,170
7734,N. Al Abed,"LM, RM, CAM",67,67,850000.0,11000.0,31,2023.0,71,69,72,70,63,71,68,65,71,75,66,64,63,57,36,66,66,73,168
12537,C. Colkett,"CM, CAM",63,65,625000.0,1000.0,24,2022.0,69,68,64,68,37,67,47,70,61,63,70,66,58,64,69,54,63,58,176
17375,M. Pečar,CAM,57,71,375000.0,1000.0,18,2022.0,58,57,62,54,54,59,50,56,62,61,56,54,53,55,48,49,53,51,175
1056,E. Palacios,"CM, CDM, CAM",77,83,17000000.0,41000.0,22,2025.0,78,74,77,67,63,80,70,78,76,80,68,47,69,74,83,67,78,63,177
7297,M. El Hacen,"CM, CDM, CAM",68,77,2700000.0,4000.0,23,2023.0,65,58,64,34,38,70,66,67,64,67,30,35,70,57,80,67,57,62,181
11314,F. Marquet,"CM, CDM, CAM",64,67,750000.0,3000.0,26,2026.0,64,66,65,65,64,67,39,66,62,67,66,67,60,64,63,57,62,52,173
17007,S. Otayf,"ST, CAM",57,57,160000.0,4000.0,30,2022.0,56,56,63,51,54,62,58,61,61,65,42,31,57,56,59,60,60,63,170
7514,Ilsinho,"RM, CAM",67,67,425000.0,2000.0,35,2021.0,69,66,76,61,67,68,61,63,81,76,71,58,69,45,31,68,68,66,178
4898,M. Mier,"LM, CAM",70,70,1500000.0,8000.0,30,2022.0,69,69,71,72,58,69,71,65,72,72,60,75,67,58,72,73,69,59,181
15014,R. Street,"ST, CAM",61,74,775000.0,6000.0,19,2022.0,49,45,57,31,51,56,63,37,58,60,40,31,52,54,60,59,55,70,188
16111,M. Daly,"CM, CAM",59,76,600000.0,1000.0,20,2022.0,67,62,62,55,52,64,57,62,62,60,61,57,59,61,43,58,66,58,176
4308,Raphael Paneira,"CAM, RM",71,71,2200000.0,13000.0,21,2024.0,70,68,75,69,63,73,62,64,77,76,44,57,73,58,46,74,72,59,184
3102,D. Cvitanich,"ST, CAM",72,72,800000.0,11000.0,37,2021.0,68,66,72,62,65,75,71,58,67,77,56,54,81,58,54,80,83,63,177
13966,B. Barbu,"CAM, CM",62,62,400000.0,2000.0,29,2022.0,60,62,62,56,49,66,61,63,61,62,55,64,57,57,75,61,56,66,178
13855,F. Chabrolle,"CAM, RW",62,71,875000.0,1000.0,23,2023.0,63,63,66,64,52,64,54,60,65,63,65,54,69,63,68,57,55,60,171
11494,Iuliano Alfaro,"ST, LM, CAM",64,64,375000.0,4000.0,33,2024.0,63,53,67,57,63,49,74,43,66,69,50,60,69,62,69,62,60,57,177
10662,İ. Akdağ,"CDM, CAM",65,65,600000.0,4000.0,29,2022.0,62,66,56,56,52,75,43,72,51,64,58,47,60,52,53,44,58,60,179
5927,S. Spierings,"CM, CAM",69,73,1900000.0,4000.0,25,2023.0,72,68,72,45,47,76,48,74,71,75,70,67,71,63,68,52,70,74,187
6547,M. Bourabia,"CDM, CM, CAM",68,68,1000000.0,12000.0,29,2022.0,63,69,71,58,57,77,53,75,72,72,53,72,70,59,66,60,68,54,183
11676,A. Palić,CAM,64,64,375000.0,2000.0,33,2022.0,66,65,68,58,43,69,43,68,67,71,62,57,61,57,74,59,62,63,177
5881,J. Iglesias,"CDM, CAM",69,69,925000.0,8000.0,32,2022.0,71,68,65,62,56,74,60,68,60,69,54,55,69,59,72,55,72,57,171
13489,Álex Serrano,CAM,62,65,525000.0,1000.0,26,2023.0,65,63,65,64,51,61,60,65,64,67,64,66,56,59,63,57,49,66,184
17226,J. Rahou,"ST, CAM",57,70,375000.0,2000.0,18,2023.0,67,59,60,53,54,60,61,61,60,60,50,53,57,54,58,53,63,59,176
17117,L. Müller,"CAM, CM",57,71,400000.0,2000.0,20,2022.0,56,56,59,48,42,60,55,58,58,61,49,56,44,62,34,51,44,46,180
4802,P. Klement,"CAM, CM",70,70,1600000.0,15000.0,28,2023.0,75,75,73,76,58,73,62,75,73,72,79,79,67,65,66,67,65,65,175
4076,Jozabed,"CM, CDM, CAM",71,71,1800000.0,7000.0,30,2023.0,77,71,70,62,54,74,68,71,70,72,72,65,70,62,61,71,67,54,180
14699,M. Kadlec,"CAM, CM, LM",61,70,725000.0,2000.0,21,2022.0,59,59,65,55,42,64,50,59,66,65,59,41,59,62,34,54,51,41,183
3687,S. Longstaff,"CM, CAM",72,79,4700000.0,23000.0,23,2022.0,72,70,69,60,56,73,61,73,68,74,68,69,74,61,72,68,71,54,180
8772,C. Tănase,"LM, CAM",66,66,400000.0,3000.0,34,2022.0,70,71,66,67,59,73,58,74,64,71,70,68,62,56,61,59,63,69,177
3420,P. Gerkens,"CM, CAM, CF",72,74,2900000.0,15000.0,26,2023.0,72,70,70,71,64,72,71,69,68,70,62,63,78,61,94,79,73,67,180
1589,Álex Fernández,"CAM, CDM, LM",75,75,5500000.0,28000.0,28,2022.0,79,79,74,77,45,82,69,78,68,80,81,76,72,64,78,74,77,85,182
18560,I. Parente,"CAM, CDM",53,61,210000.0,950.0,21,2022.0,53,55,58,45,40,61,39,60,58,57,47,44,45,58,37,41,58,46,178
16403,Z. Eddahchouri,CAM,59,68,500000.0,1000.0,21,2022.0,57,58,66,52,44,62,50,60,66,69,56,52,55,55,47,47,61,61,187
9848,C. Cortés,"CM, CAM, LM",65,65,230000.0,1000.0,37,2021.0,68,68,66,62,47,72,61,69,68,69,70,64,58,59,65,60,71,71,179
8143,N. Schmidt,"CAM, CM, CF",67,73,1600000.0,4000.0,23,2022.0,68,70,69,73,55,69,56,71,71,70,68,71,66,65,60,59,64,59,184
2672,K. Möhwald,"CM, CAM",73,73,3200000.0,24000.0,27,2024.0,72,75,74,79,75,76,62,73,75,75,80,68,75,64,71,70,73,46,183
2630,S. Peeters,"CM, CAM, CDM",73,73,3000000.0,12000.0,29,2023.0,79,77,69,75,76,75,58,78,70,73,81,78,68,63,73,66,74,68,188
1150,A. Diamanti,"CAM, RW",76,76,2400000.0,3000.0,38,2022.0,77,78,79,77,74,80,64,74,81,82,77,80,68,62,65,77,74,77,180
1493,V. Odjidja-Ofoe,"CM, CDM, CAM",75,75,4400000.0,22000.0,32,2023.0,77,76,74,74,74,78,63,75,75,79,68,71,68,60,73,71,83,71,185
5549,J. Durmaz,"CAM, LM, CM",69,69,1100000.0,7000.0,32,2023.0,71,71,73,72,68,72,64,66,73,73,75,75,64,62,52,66,73,74,180
17217,D. Luna,CAM,57,72,375000.0,500.0,18,2025.0,58,52,57,39,43,60,52,55,56,57,39,35,59,50,60,54,56,38,173
3434,Camarasa,"CM, CAM, RM",72,73,2700000.0,16000.0,27,2022.0,74,72,73,68,65,73,70,71,73,74,65,73,72,60,73,71,70,70,183
2549,D. Didavi,"CAM, CF",73,73,2500000.0,22000.0,31,2022.0,71,73,75,72,76,75,71,70,75,78,75,76,69,65,59,72,74,65,180
14268,R. Chávez,CAM,62,72,875000.0,500.0,20,2022.0,71,63,61,55,55,65,58,61,61,60,62,49,60,57,59,60,55,62,175
15453,G. Gaetano,"CAM, CM",60,73,600000.0,6000.0,21,2023.0,62,60,65,65,56,61,60,55,66,66,57,42,51,62,55,52,54,65,175
8067,L. Amos,"CDM, CM, CAM",67,75,2100000.0,5000.0,24,2023.0,66,65,66,57,36,71,45,71,65,67,54,48,64,57,66,50,63,45,179
15518,W. Taïbi,"CM, CAM",60,75,575000.0,2000.0,19,2022.0,67,62,64,47,55,68,47,67,66,66,58,46,48,63,58,50,53,56,184
14973,T. Nakai,CAM,61,83,1000000.0,2000.0,17,2022.0,70,60,64,42,48,66,50,64,65,67,50,52,53,53,46,50,61,48,178
17003,R. Connolly,"CM, CAM",57,57,160000.0,500.0,29,2021.0,59,59,58,57,49,60,48,57,55,58,60,56,55,58,68,52,58,59,177
10930,D. Huisman,"CAM, CM",65,80,1700000.0,2000.0,18,2023.0,66,64,63,51,57,72,61,66,62,66,58,48,64,59,66,66,65,42,190
13506,F. Vanzo,"CM, CAM",62,63,450000.0,1000.0,27,2023.0,61,62,68,62,63,63,58,58,69,68,66,67,63,63,55,63,69,56,180
1994,Fran Mérida,"CDM, CM, CAM",74,74,3000000.0,15000.0,31,2022.0,81,77,72,72,60,77,69,76,72,76,82,77,71,61,66,70,70,75,173
11121,A. Judge,"CM, CAM",64,64,450000.0,4000.0,32,2023.0,67,67,67,69,62,67,62,62,64,65,69,69,66,60,69,65,61,58,169
2011,C. Villanueva,"CAM, CM",74,74,1700000.0,4000.0,35,2021.0,77,75,77,65,80,79,64,75,78,76,75,80,72,59,62,68,72,73,173
13293,Iñigo Orozco,"ST, CAM",63,63,500000.0,2000.0,28,2022.0,55,58,57,54,63,67,66,50,58,62,57,48,53,58,71,57,53,66,192
5573,H. Behrens,"CM, CAM",69,69,1100000.0,6000.0,31,2022.0,68,63,64,54,62,70,65,66,64,62,52,40,72,58,81,70,66,57,188
6984,Hugo Rama,"CM, LM, CAM",68,74,1900000.0,3000.0,24,2022.0,72,68,70,65,67,66,64,67,70,72,71,76,72,61,51,73,58,51,177
8794,M. Chrapek,"CAM, CDM",66,66,850000.0,3000.0,29,2022.0,63,64,69,55,42,70,60,64,67,69,58,66,59,65,52,65,64,59,177
19150,P. Gogoi,CAM,49,58,110000.0,500.0,22,2023.0,45,50,50,43,39,58,35,54,48,48,39,37,49,65,60,47,39,38,178
2663,L. Schaub,"CAM, RM, CM",73,76,4000000.0,22000.0,26,2022.0,74,72,77,67,60,75,69,71,77,79,68,62,65,64,73,68,68,65,177
5126,C. Rivera,"CDM, CM, CAM",70,75,2100000.0,11000.0,25,2022.0,65,63,66,58,39,71,55,65,64,70,46,35,65,63,73,56,66,57,184
2434,L. Podolski,"CAM, ST",73,73,1000000.0,6000.0,36,2022.0,74,75,73,72,84,77,74,73,75,75,78,75,69,54,65,75,74,83,183
9852,A. Ríos,"ST, CAM, CM",65,65,600000.0,2000.0,31,2021.0,64,63,66,55,62,66,65,65,64,66,70,56,61,62,77,64,68,69,178
15035,S. Kartum,"CM, CAM",61,66,475000.0,850.0,25,2023.0,59,56,62,47,40,61,49,56,62,64,51,44,62,60,77,64,49,41,177
5589,Crivellaro,CAM,69,69,1100000.0,1000.0,32,2022.0,73,69,68,64,56,71,65,69,68,69,69,64,71,65,73,65,64,66,184
3720,E. Rexhbeçaj,"CM, CDM, CAM",72,76,3300000.0,32000.0,23,2022.0,70,70,73,68,50,76,59,74,74,74,49,41,71,63,81,70,65,54,182
15410,R. Rösch,CAM,60,69,550000.0,3000.0,22,2022.0,61,53,62,39,49,63,58,49,64,60,48,32,54,64,52,55,45,52,182
713,Fransérgio,"CM, CAM",78,78,13500000.0,29000.0,30,2024.0,75,75,75,70,68,77,71,79,76,78,75,72,81,55,87,78,82,73,187
3552,M. Vlap,"CAM, CM",72,76,3400000.0,14000.0,24,2022.0,72,69,70,64,66,71,75,65,71,73,72,74,71,65,63,79,74,75,190
17631,M. Torlak,"CAM, CF",56,70,325000.0,1000.0,18,2022.0,56,54,63,53,44,56,45,52,62,61,60,45,56,64,34,45,54,51,173
17752,A. Abdijanovic,"ST, CF, CAM",56,66,325000.0,2000.0,20,2023.0,46,38,55,32,44,42,57,29,53,55,37,28,58,62,54,58,49,53,180
19068,I. Homoki,"CAM, ST",50,64,110000.0,500.0,18,2021.0,51,51,52,48,34,55,48,51,50,48,44,39,42,63,39,47,52,47,173
7950,Kuki Zalazar,"CAM, RM, ST",67,74,2000000.0,3000.0,23,2024.0,67,68,71,68,52,70,59,58,72,73,77,73,56,65,31,60,55,69,176
10013,K. Rowe,"CM, CAM, LB",65,65,700000.0,2000.0,29,2021.0,65,67,67,67,50,68,58,65,67,65,69,66,65,58,67,64,65,64,173
11404,S. Friðjónsson,"CM, CDM, CAM",64,69,850000.0,1000.0,25,2022.0,59,62,64,56,62,68,60,66,62,67,51,57,57,70,80,57,60,45,186
3417,R. Dugimont,"LM, CAM, ST",72,72,950000.0,5000.0,35,2023.0,68,70,71,72,69,73,77,67,72,71,68,69,60,56,91,77,68,70,182
15572,J. Nishikawa,"RM, CAM",60,73,575000.0,850.0,19,2023.0,55,60,64,64,56,61,50,60,66,63,60,61,50,58,35,59,56,49,180
18847,N. Al Rashoudi,CAM,52,66,190000.0,3000.0,20,2023.0,53,50,59,48,39,49,53,47,58,55,49,56,40,68,57,47,57,56,169
2197,Eraso,"CAM, CM, RM",74,74,3500000.0,12000.0,31,2022.0,77,73,71,64,59,78,72,76,73,75,53,59,79,62,80,79,74,53,181
12152,A. Rahmanović,"CAM, CM",64,65,675000.0,4000.0,27,2022.0,65,66,62,67,51,68,62,64,64,67,65,52,66,53,53,63,60,56,192
7545,R. van Wolfswinkel,"ST, RW, CAM",67,67,825000.0,4000.0,32,2023.0,69,66,66,66,68,68,67,62,65,68,69,51,73,61,51,71,68,68,185
