,Name ,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,club_contract_valid_until,weak_foot,pace,shooting,physic,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_fk_accuracy,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_strength,mentality_positioning,mentality_penalties,height_cm
9189,Ian González,ST,66,66,875000.0,6000.0,28,193,2021.0,2,33,71,67,73,70,63,65,29,64,32,33,42,68,60,71,58,79,71,68,193
18840,Zhang Xiao,ST,52,52,70000.0,2000.0,31,193,2025.0,2,34,54,68,58,67,40,52,30,46,34,34,34,45,34,53,62,84,53,51,193
10207,E. Berggreen,ST,65,65,725000.0,7000.0,28,194,2022.0,4,34,67,70,69,75,60,60,68,61,34,34,50,66,45,73,68,84,68,62,194
7546,C. Martin,ST,67,67,825000.0,13000.0,32,185,2022.0,4,34,71,72,72,73,66,70,61,70,33,34,47,68,52,75,71,84,69,72,185
8738,E. Kujović,ST,66,66,550000.0,3000.0,33,194,2021.0,4,34,70,64,69,76,60,69,70,63,31,36,32,59,32,74,33,90,71,69,194
8806,S. Makienok,ST,66,66,850000.0,6000.0,30,201,2022.0,2,34,67,73,66,80,63,66,38,69,35,34,34,64,31,69,63,89,68,70,201
15171,D. Murphy,ST,60,60,80000.0,500.0,38,191,2021.0,3,35,62,67,60,68,55,60,52,62,34,35,28,59,32,65,66,84,66,66,191
4708,Marco Paixão,ST,70,70,550000.0,7000.0,36,185,2022.0,4,36,73,69,74,79,71,72,46,72,38,34,58,72,63,73,75,79,78,78,185
867,Jorge Molina,ST,77,77,3600000.0,19000.0,39,188,2022.0,4,36,81,70,81,80,78,81,59,76,33,39,34,84,32,87,46,88,85,79,188
14574,Hélton Carvalhal,ST,61,61,325000.0,5000.0,29,187,2024.0,3,36,68,61,71,72,43,53,35,43,38,34,40,64,50,72,37,80,66,56,187
11538,K. Watanabe,ST,64,64,275000.0,1000.0,34,182,2022.0,3,37,65,67,64,70,67,66,39,67,40,35,74,55,57,69,82,81,69,62,182
11078,Yang Dong Hyen,"ST, RW",64,64,250000.0,1000.0,35,186,2021.0,3,37,67,62,67,65,57,61,48,67,39,36,59,64,63,70,68,76,72,68,186
8697,Yeom Ki Hun,"CM, LW, ST",66,66,275000.0,2000.0,38,182,2021.0,3,37,67,57,64,66,73,66,79,73,42,33,57,57,76,70,54,69,70,80,182
9810,Y. Okubo,"ST, CAM, LW",65,65,240000.0,2000.0,39,170,2022.0,4,37,69,56,69,70,65,69,64,69,36,37,66,56,75,68,33,64,77,74,170
11436,C. Depres,ST,64,66,725000.0,2000.0,26,188,2024.0,3,37,67,58,67,70,65,61,51,65,41,34,34,59,50,71,71,78,66,68,188
4606,G. Hoarau,ST,70,70,550000.0,12000.0,37,193,2022.0,3,37,72,69,73,82,70,73,59,69,36,38,53,72,48,72,76,86,75,78,193
8043,S. Bakıs,ST,67,68,1200000.0,3000.0,27,186,2023.0,3,37,67,65,69,76,67,66,30,67,39,36,41,69,55,67,44,77,74,68,186
4310,Paulão Junqueiras,ST,71,71,2200000.0,15000.0,21,193,2024.0,4,38,77,71,77,76,62,71,46,67,35,41,48,66,37,85,33,92,76,71,193
5467,Igor de Camargo,ST,69,69,475000.0,6000.0,38,187,2022.0,4,38,71,76,72,80,68,66,57,70,40,37,48,62,55,73,53,82,78,70,187
13893,R. Uldriķis,ST,62,71,900000.0,2000.0,23,198,2023.0,3,39,62,78,63,75,55,57,34,59,40,39,35,55,38,62,63,91,67,55,198
7572,A. Nahuelpan,ST,67,67,650000.0,500.0,33,190,2021.0,3,39,70,74,70,70,66,69,56,68,38,40,45,60,32,75,63,83,69,70,190
520,O. Giroud,ST,79,79,8500000.0,48000.0,34,193,2024.0,3,39,80,77,82,90,75,82,65,81,34,43,54,81,53,84,82,88,82,90,193
8084,S. Nagasawa,ST,67,67,825000.0,2000.0,32,192,2022.0,3,39,69,71,69,69,64,69,42,68,35,43,37,62,31,68,48,89,72,63,192
17349,A. Compagno,ST,57,62,240000.0,2000.0,25,194,2023.0,2,39,57,74,60,69,45,52,28,55,42,36,40,58,38,68,75,88,53,52,194
14412,Kwak Kwang Sun,"CB, ST",61,61,90000.0,700.0,35,186,2021.0,3,40,54,72,53,62,54,40,43,54,34,45,62,56,57,55,68,80,60,62,186
4060,I. Santini,ST,71,71,1500000.0,20000.0,32,190,2022.0,3,40,76,84,76,79,63,75,66,64,47,34,41,70,41,80,60,89,77,74,190
9816,A. Akinfenwa,ST,65,65,240000.0,2000.0,39,178,2022.0,3,40,64,74,64,74,62,59,42,68,34,44,34,64,71,71,49,97,68,64,178
2465,O. Toivonen,"CAM, ST",73,73,1400000.0,8000.0,34,192,2022.0,4,40,77,71,77,73,77,74,75,77,36,44,62,77,60,79,56,79,78,71,192
9407,M. Tchokounté,ST,66,66,700000.0,2000.0,32,188,2022.0,2,40,66,79,69,73,62,63,40,66,36,44,57,55,52,66,70,91,74,63,188
18434,S. Boyd,ST,53,61,210000.0,500.0,23,195,2021.0,2,41,54,64,56,60,50,53,36,54,30,50,33,45,34,55,50,68,55,50,195
9860,M. Kramer,ST,65,65,575000.0,2000.0,32,196,2023.0,3,41,64,63,67,75,64,63,32,62,38,44,51,66,34,66,60,78,74,66,196
7588,C. Wickham,ST,67,67,1000000.0,13000.0,28,191,2022.0,3,41,70,68,70,75,62,62,67,69,46,36,52,69,49,75,67,82,68,74,191
3196,M. Caraglio,ST,72,72,1900000.0,14000.0,32,187,2022.0,3,41,74,79,76,86,65,70,47,71,49,34,62,66,34,76,81,91,75,78,187
10125,V. Vermeij,ST,65,66,850000.0,2000.0,26,196,2026.0,3,41,65,73,68,82,61,58,30,57,41,41,42,60,46,69,67,89,68,62,196
6570,M. te Vrede,ST,68,68,1200000.0,7000.0,29,192,2022.0,3,41,70,78,72,80,61,68,26,66,33,47,34,68,44,72,78,86,72,71,192
393,Raúl García,"ST, CAM",80,80,10500000.0,36000.0,34,184,2022.0,3,41,82,83,80,90,83,73,68,85,45,37,54,83,61,85,92,86,85,85,184
16505,K. Ellison,"LM, ST",58,58,2850451.813201148,2000.0,42,185,2022.0,3,42,63,68,60,61,58,63,62,61,43,42,60,62,67,69,68,83,62,60,185
11145,H. Ibusuki,ST,64,64,575000.0,1000.0,30,196,2022.0,4,42,63,63,67,74,58,72,39,66,43,42,30,64,29,64,29,92,61,59,196
5531,S. de Jong,"CAM, CM, ST",69,69,1100000.0,5000.0,32,185,2022.0,4,43,75,72,74,79,69,77,70,72,41,44,54,74,60,80,76,75,71,72,185
13371,C. Porter,ST,62,62,140000.0,2000.0,37,186,2022.0,4,43,64,67,66,66,58,57,47,63,37,48,61,64,66,64,76,83,64,69,186
9012,E. Triverio,ST,66,66,700000.0,5000.0,32,183,2022.0,4,43,68,73,68,69,55,63,60,68,45,41,64,68,56,72,85,76,72,70,183
10237,L. Passerini,ST,65,66,850000.0,15000.0,26,189,2022.0,3,43,66,73,69,74,54,59,29,62,53,34,31,65,33,70,32,90,70,59,189
11120,A. Nemec,ST,64,64,250000.0,1000.0,35,192,2022.0,3,44,65,72,63,74,52,61,43,66,43,45,45,60,53,72,78,87,68,66,192
9981,U. Đerić,ST,65,65,725000.0,2000.0,29,196,2021.0,3,44,69,76,69,72,55,55,40,62,59,32,40,70,40,76,69,88,62,65,196
2156,D. Kreilach,"ST, CAM, CDM",74,74,3400000.0,9000.0,32,186,2022.0,3,44,75,85,75,80,75,70,76,74,48,40,63,79,62,78,90,85,76,64,186
12588,Fachendinho,"ST, RM",63,63,475000.0,6000.0,29,181,2024.0,3,44,66,65,70,63,61,57,50,65,46,43,58,71,65,62,76,67,62,65,181
13490,L. Caballero,ST,62,62,325000.0,500.0,31,175,2021.0,3,44,64,58,66,65,59,49,50,65,42,45,55,59,39,62,67,70,65,69,175
15772,J. Duin,ST,60,67,500000.0,2000.0,22,186,2024.0,3,44,63,67,64,68,57,58,32,52,47,42,48,52,54,66,63,76,60,69,186
16031,D. Ríos,ST,59,62,300000.0,2000.0,26,184,2022.0,3,44,64,62,68,64,55,62,29,62,40,48,51,50,52,63,63,67,54,46,184
15446,B. Hadžić,ST,60,66,400000.0,2000.0,22,185,2022.0,3,45,60,67,66,65,56,58,39,59,48,42,54,57,60,57,62,75,62,62,185
14619,Pedro Martelo,ST,61,75,800000.0,2000.0,21,190,2023.0,3,45,64,65,64,63,54,63,44,56,42,48,53,57,43,69,40,82,64,65,190
5669,T. Hemed,ST,69,69,675000.0,6000.0,34,186,2022.0,4,45,73,75,74,73,62,71,54,66,41,49,58,72,53,77,80,80,68,85,186
8705,S. Vokes,ST,66,66,725000.0,4000.0,31,186,2022.0,3,45,68,76,63,74,56,70,46,65,41,49,47,64,52,80,77,84,71,79,186
895,B. Dost,ST,77,77,8500000.0,29000.0,32,196,2022.0,3,45,79,76,81,91,73,82,30,74,43,47,33,81,33,80,44,87,85,90,196
8994,R. Salinas,ST,66,66,425000.0,4000.0,34,188,2022.0,3,45,67,66,69,73,57,66,28,64,41,49,52,70,45,71,70,75,70,65,188
11239,S. Novothny,ST,64,65,675000.0,6000.0,27,185,2022.0,3,45,64,70,72,74,53,58,37,66,34,54,53,60,63,66,75,79,67,64,185
2555,Borja Bastón,ST,73,73,3100000.0,11000.0,28,188,2023.0,4,45,75,76,72,79,69,74,46,75,38,51,61,74,33,84,58,90,76,72,188
6639,T. Boyd,ST,68,68,1200000.0,2000.0,30,188,2022.0,3,46,71,78,71,75,57,74,34,64,47,45,54,64,57,78,84,86,71,56,188
4136,G. Carrillo,ST,71,71,1800000.0,14000.0,30,191,2022.0,3,46,74,72,72,80,64,77,36,72,35,55,64,71,53,76,77,76,78,75,191
19201,C. Warfield,ST,48,57,100000.0,500.0,20,180,2021.0,3,46,48,55,51,54,40,34,29,42,44,48,46,46,44,46,55,60,48,44,180
11089,B. Pitman,ST,64,64,375000.0,4000.0,33,183,2022.0,4,46,67,64,68,68,56,65,67,64,45,47,51,60,72,68,57,73,67,72,183
12859,L. Pfeiffer,ST,63,66,675000.0,5000.0,24,195,2022.0,3,46,62,78,68,71,58,59,39,58,40,51,36,60,33,64,63,91,68,57,195
6469,S. Mölders,ST,68,68,400000.0,2000.0,36,185,2022.0,3,46,71,78,74,72,63,66,42,69,43,48,40,69,59,76,56,87,72,67,185
10667,R. Yamasaki,ST,65,65,725000.0,2000.0,28,187,2022.0,2,46,66,73,66,70,64,66,38,63,38,52,43,65,43,69,48,85,69,65,187
10468,Darío Poveda,ST,65,72,1400000.0,7000.0,24,185,2026.0,3,46,67,51,71,72,68,60,51,68,47,46,53,59,57,67,65,62,65,55,185
14704,S. Guðjohnsen,ST,61,70,725000.0,1000.0,23,189,2024.0,2,46,60,69,64,66,52,43,31,60,38,52,50,61,43,65,64,78,64,54,189
11064,A. Bunjaku,ST,64,64,200000.0,1000.0,37,180,2022.0,4,47,64,59,65,62,61,63,59,66,54,42,66,65,77,66,75,71,67,66,180
17114,T. Nakamura,"CB, ST",57,66,325000.0,750.0,20,186,2022.0,3,47,49,67,54,63,45,46,34,46,48,46,54,48,48,62,60,80,50,34,186
1314,I. Slimani,ST,76,76,4800000.0,57000.0,33,188,2022.0,3,47,76,80,77,78,75,76,47,74,44,49,53,78,53,81,80,86,81,77,188
7251,T. Chorý,ST,68,70,1500000.0,500.0,26,200,2022.0,3,47,68,81,70,78,59,64,44,67,43,51,38,67,32,71,52,93,74,69,200
14432,B. Stokke,ST,61,61,325000.0,950.0,30,191,2022.0,3,47,62,74,60,65,57,53,49,58,48,46,43,57,57,69,74,80,63,63,191
8764,Y. Endo,"RM, ST",66,66,525000.0,3000.0,33,168,2022.0,2,47,61,65,64,61,65,47,72,69,39,53,75,67,80,59,87,62,67,54,168
7497,H. Goitom,ST,67,67,350000.0,3000.0,36,189,2021.0,2,47,67,69,67,66,66,73,58,69,45,48,51,69,39,70,48,82,75,65,189
13178,K. Aribi,ST,63,64,550000.0,2000.0,27,192,2024.0,3,47,62,71,59,72,54,63,26,65,49,45,44,64,46,69,72,81,64,62,192
9958,A. Vellios,ST,65,65,725000.0,2000.0,29,191,2023.0,3,47,66,68,66,70,65,63,63,65,46,47,53,64,49,70,56,75,69,62,191
13640,Dêniro Prestes,ST,62,62,475000.0,2000.0,21,187,2024.0,3,47,64,73,63,72,47,56,47,57,45,49,60,56,52,70,67,80,66,62,187
7872,Alex Alegría,ST,67,67,1000000.0,10000.0,28,188,2022.0,3,47,67,72,66,71,67,68,28,69,46,48,63,63,37,69,73,81,71,63,188
7573,D. Čop,"ST, LW",67,67,850000.0,500.0,31,184,2023.0,3,48,69,65,67,69,67,68,67,72,62,37,66,68,69,72,64,68,69,62,184
10372,Y. Minagawa,ST,65,65,725000.0,2000.0,29,186,2022.0,3,48,65,78,66,74,60,63,20,58,49,48,38,62,41,68,67,90,70,70,186
7848,S. Kutschke,ST,67,67,825000.0,8000.0,32,194,2022.0,3,49,69,81,69,76,53,59,29,59,47,50,45,69,35,74,45,91,73,69,194
2071,E. Gigliotti,ST,74,74,2100000.0,23000.0,34,187,2025.0,3,49,76,80,77,78,66,75,49,75,53,46,61,79,53,82,80,87,79,63,187
12260,A. Senghor,ST,63,63,200000.0,2000.0,35,188,2021.0,3,49,65,66,68,66,37,63,52,64,52,46,58,59,40,71,45,73,68,60,188
10374,M. Guevgeozián,ST,65,65,300000.0,500.0,35,182,2021.0,3,49,66,63,70,70,39,57,25,65,53,46,59,70,52,65,70,77,75,65,182
12316,A. Grimaldi,ST,63,63,475000.0,2000.0,30,188,2023.0,4,49,63,73,64,67,60,63,46,64,45,52,56,62,50,66,66,85,65,57,188
4106,L. Depoitre,ST,71,71,1500000.0,16000.0,32,191,2022.0,2,49,69,81,69,79,69,64,29,70,45,53,32,69,36,76,54,91,78,64,191
7511,M. Franco,"ST, LW, CF",67,67,350000.0,500.0,37,180,2021.0,3,49,70,58,73,68,67,70,76,74,63,37,68,65,69,69,55,73,70,74,180
15065,S. Crowther,ST,61,70,750000.0,1000.0,21,194,2022.0,3,49,63,69,65,72,50,51,31,59,48,50,50,51,39,65,68,75,61,65,194
18337,Li Xiang,ST,54,54,110000.0,3000.0,30,190,2021.0,2,49,55,65,56,70,41,53,35,43,52,46,52,45,41,59,60,76,56,53,190
12248,L. Clarke,ST,63,63,160000.0,2000.0,36,188,2022.0,4,49,64,71,65,66,59,62,40,62,47,50,32,63,44,67,72,85,65,71,188
15326,D. Ceter,ST,60,69,550000.0,5000.0,23,189,2022.0,3,49,62,67,62,71,42,51,29,57,46,52,58,58,51,66,71,82,64,60,189
18639,G. Kirejczyk,ST,53,66,220000.0,600.0,18,196,2023.0,2,49,54,67,58,57,41,43,22,47,46,51,33,45,32,58,62,79,53,55,196
13292,Koldo Obieta,ST,63,64,550000.0,2000.0,27,187,2022.0,3,49,67,62,70,75,53,56,34,62,48,49,54,57,51,69,67,80,62,68,187
9861,G. Madine,ST,65,65,700000.0,4000.0,30,193,2022.0,3,49,66,78,65,69,59,67,35,66,46,51,53,65,51,70,80,85,67,66,193
5834,F. Avenatti,"ST, CAM",69,69,1400000.0,9000.0,28,197,2022.0,3,49,67,76,68,78,74,64,67,71,48,50,52,67,36,68,48,84,71,62,197
13149,S. Cocimano,ST,63,75,1200000.0,3000.0,21,188,2022.0,3,49,63,67,66,71,60,48,28,67,46,51,44,62,49,69,64,71,65,61,188
1489,G. Bergessio,ST,75,75,1900000.0,1000.0,36,179,2021.0,4,50,77,73,83,83,64,67,68,73,61,41,34,77,72,78,62,88,84,81,179
529,L. de Jong,ST,79,79,17000000.0,34000.0,30,188,2022.0,5,50,78,75,79,93,80,83,69,79,48,52,54,76,57,83,88,84,84,67,188
1505,Ó. Cardozo,ST,75,75,1900000.0,1000.0,38,193,2021.0,3,50,80,68,80,85,62,81,74,70,50,50,45,73,30,84,45,88,81,75,193
8734,G. Molins,ST,66,66,700000.0,2000.0,32,186,2021.0,2,50,67,78,67,56,66,65,60,68,52,48,65,67,62,70,39,88,66,64,186
15238,E. Sánchez,"CAM, CM, ST",60,61,275000.0,2000.0,27,182,2022.0,2,50,52,59,52,50,68,50,36,60,52,48,52,53,34,58,50,64,61,55,182
5922,N. Mazzola,ST,69,69,1200000.0,6000.0,31,188,2022.0,3,50,70,81,73,67,65,65,40,69,50,50,65,71,49,75,71,91,73,67,188
14959,D. Radonjic,ST,61,61,325000.0,3000.0,30,190,2022.0,3,50,61,71,67,77,51,53,27,52,47,53,48,51,45,64,68,84,63,54,190
3148,T. Pekhart,ST,72,72,1900000.0,9000.0,32,196,2022.0,3,50,72,77,73,78,67,70,34,68,48,52,34,76,34,75,73,88,83,69,196
2180,Douglas Tanque,ST,74,75,4900000.0,11000.0,27,188,2022.0,3,50,76,78,77,79,73,70,64,66,50,50,38,74,36,82,51,93,80,65,188
12435,R. Šimović,ST,63,63,475000.0,1000.0,30,199,2021.0,2,50,64,67,65,65,61,61,59,63,44,55,43,54,32,70,31,90,65,61,199
10986,Y. Yamagishi,ST,65,65,775000.0,2000.0,27,183,2022.0,3,50,67,70,68,71,48,61,30,64,46,54,55,59,53,69,69,80,71,60,183
1991,T. Deeney,ST,74,74,2700000.0,22000.0,33,183,2023.0,3,50,76,79,73,81,69,76,51,76,50,50,60,77,65,86,83,91,76,82,183
16711,S. Zobo,ST,58,69,450000.0,1000.0,20,180,2022.0,3,50,61,58,65,65,45,47,34,54,48,52,48,60,70,61,69,57,57,74,180
17720,C. Dundas,ST,56,56,2850451.813201148,1000.0,40,188,2022.0,3,50,56,63,58,53,44,44,35,54,45,54,49,54,44,57,62,84,57,56,188
8775,M. Đurić,ST,66,66,725000.0,12000.0,31,198,2022.0,3,50,65,77,66,79,59,64,53,65,49,50,33,69,30,67,66,92,68,66,198
6518,Kléber,ST,68,68,1000000.0,2000.0,31,187,2022.0,3,50,68,76,66,74,64,71,45,69,57,45,55,69,42,72,65,82,68,74,187
14170,T. Smola,ST,62,62,325000.0,2000.0,32,191,2022.0,3,50,62,76,62,73,58,63,34,62,48,52,47,54,42,69,71,84,62,64,191
3223,C. Austin,ST,72,72,2000000.0,15000.0,31,188,2023.0,2,50,75,69,74,78,62,72,43,73,50,50,61,74,52,80,74,80,77,81,188
6477,Wellington,ST,68,68,775000.0,2000.0,33,188,2022.0,4,50,67,83,69,76,63,66,43,68,52,48,52,66,32,72,75,93,67,62,188
10039,Maurides,ST,65,65,775000.0,2000.0,27,189,2024.0,4,50,67,76,66,68,66,65,36,65,51,49,59,59,54,70,64,84,67,63,189
2563,Leandro Damião,ST,73,73,2600000.0,12000.0,31,188,2022.0,2,51,75,80,75,79,70,81,56,74,43,58,48,68,33,76,65,92,76,78,188
2569,R. Inglese,ST,73,73,3000000.0,28000.0,29,186,2024.0,3,51,73,66,74,90,65,68,36,73,43,58,50,70,51,78,79,79,78,72,186
1471,J. Sand,ST,75,75,2850451.813201148,13000.0,40,182,2022.0,4,51,79,70,81,77,69,77,63,75,49,53,38,81,67,77,71,83,83,85,182
6437,L. Tomlin,"CAM, ST",68,68,950000.0,14000.0,32,180,2022.0,3,51,70,62,67,54,69,72,73,71,53,50,70,66,73,73,36,75,65,70,180
15703,T. Arokodare,ST,60,70,550000.0,950.0,20,197,2023.0,3,51,61,71,64,68,54,58,30,56,49,52,36,52,34,65,68,85,55,63,197
17219,A. Jatta,"ST, LW",57,63,275000.0,2000.0,22,192,2023.0,2,51,55,59,56,64,52,48,35,60,51,51,53,52,33,62,49,70,55,42,192
2886,Rodolfo Pittaça,"ST, LM",73,73,3600000.0,12000.0,21,179,2024.0,3,51,75,81,75,81,71,70,46,72,48,53,50,73,60,80,85,84,77,79,179
4617,S. Fletcher,ST,70,70,775000.0,17000.0,34,186,2022.0,2,51,71,69,71,79,63,71,31,70,49,52,65,70,65,76,83,79,71,74,186
11451,K. van Veen,ST,64,64,575000.0,2000.0,30,185,2023.0,4,51,67,72,65,66,55,64,68,64,50,52,62,58,52,76,76,81,66,62,185
3374,F. Aristeguieta,ST,72,72,2300000.0,8000.0,29,188,2026.0,3,51,73,83,77,80,65,69,49,74,47,54,67,65,34,69,82,90,76,67,188
6656,L. Veldwijk,ST,68,68,1200000.0,3000.0,29,197,2022.0,4,51,67,76,67,77,67,64,33,67,47,54,43,62,35,72,73,90,70,70,197
9727,E. Ramírez,ST,66,74,1900000.0,500.0,22,190,2026.0,3,51,66,65,70,75,60,70,42,60,51,51,58,65,47,65,64,80,70,65,190
18574,Lee Ho Jae,ST,53,59,150000.0,1000.0,20,192,2022.0,3,51,54,65,53,65,45,49,38,46,52,51,47,45,37,56,61,75,56,50,192
18263,H. Al Slais,ST,54,68,250000.0,4000.0,20,182,2025.0,3,51,55,66,60,56,39,49,31,52,52,51,53,49,48,52,73,74,53,54,182
9118,M. Kvasina,ST,66,71,1300000.0,4000.0,24,195,2023.0,2,51,66,70,67,79,57,56,34,67,50,52,60,57,37,69,57,86,67,56,195
18962,C. Wagner,ST,51,67,150000.0,800.0,18,186,2023.0,2,51,52,50,54,50,48,45,32,48,48,53,48,48,52,58,60,60,52,50,186
13658,O. Hawkins,ST,62,62,400000.0,4000.0,29,199,2023.0,3,52,60,70,63,67,59,59,31,62,52,52,34,64,43,62,79,84,65,57,199
16276,D. Min,ST,59,68,500000.0,1000.0,22,194,2023.0,3,52,61,64,66,68,59,47,38,58,50,54,54,56,46,58,56,79,56,66,194
18799,J. Coburn,ST,52,68,200000.0,2000.0,18,178,2022.0,3,52,55,39,59,61,44,41,28,48,54,51,53,59,77,48,65,34,47,64,178
3356,Luiz Phellype,ST,72,73,2700000.0,11000.0,27,188,2022.0,3,52,75,79,74,79,63,73,67,71,52,52,58,70,46,81,67,85,74,75,188
7829,H. Osorio,ST,67,67,650000.0,500.0,33,178,2021.0,2,52,70,59,75,75,66,59,63,66,48,55,72,59,71,72,68,69,65,71,178
15525,Carlos Kevin,ST,60,77,650000.0,2000.0,20,178,2023.0,2,52,61,67,64,60,58,54,29,59,52,52,53,57,62,65,58,74,54,57,178
17458,K. Kiklaisz,ST,56,64,325000.0,1000.0,23,186,2022.0,3,52,58,57,61,60,55,55,28,56,54,51,64,45,59,61,64,66,49,64,186
5478,Bobô,ST,69,69,475000.0,4000.0,36,188,2022.0,3,52,71,71,71,74,65,72,43,67,55,49,66,71,54,75,79,80,71,78,188
9838,E. Gutiérrez,"ST, CF, RW",65,65,300000.0,500.0,35,183,2021.0,3,52,69,68,75,64,56,48,47,62,51,52,62,62,53,70,73,72,70,75,183
5527,D. Kadah,"ST, CAM",69,69,600000.0,6000.0,35,188,2022.0,4,52,70,73,70,72,68,60,60,74,51,53,63,72,64,72,76,77,71,73,188
3191,P. Mortensen,ST,72,72,2000000.0,13000.0,31,190,2023.0,3,52,72,81,76,74,67,65,33,72,54,51,61,70,51,79,91,88,78,78,190
16944,O. Boissy,ST,58,65,425000.0,1000.0,22,191,2024.0,2,52,57,68,60,75,42,47,27,52,44,59,47,48,44,60,63,82,55,61,191
18922,C. Kiernan,ST,51,69,150000.0,500.0,19,175,2021.0,3,52,53,40,58,57,39,37,28,46,54,51,51,54,79,46,64,37,53,66,175
10362,N. Ishihara,"ST, CF",65,65,240000.0,1000.0,36,173,2022.0,3,52,68,53,68,63,67,69,55,68,65,41,70,63,76,69,72,47,73,67,173
10998,M. Giménez,ST,65,70,1100000.0,4000.0,24,184,2022.0,3,52,68,74,70,75,49,55,58,63,51,53,46,56,74,77,70,79,70,77,184
9042,J. Vogliotti,ST,66,66,300000.0,500.0,36,180,2021.0,2,53,71,59,72,71,60,65,61,61,55,52,54,65,65,72,67,72,72,71,180
15804,R. Chacón,ST,60,69,550000.0,500.0,23,183,2025.0,2,53,62,66,67,69,57,55,33,58,51,55,56,49,60,60,61,76,53,49,183
10354,Oh Se Hun,ST,65,74,1600000.0,3000.0,22,193,2022.0,3,53,65,72,69,76,50,51,28,62,50,55,59,62,74,67,73,83,68,63,193
16740,J. Hernández,ST,58,69,450000.0,3000.0,21,172,2022.0,2,53,61,48,65,64,55,58,41,53,53,53,55,51,73,55,67,50,59,66,172
4788,M. de Leeuw,"ST, CAM",70,70,775000.0,7000.0,34,178,2022.0,3,53,69,69,69,82,65,71,57,72,54,52,61,71,74,70,82,65,75,68,178
13154,Derik Lacerda,ST,63,68,750000.0,2000.0,21,191,2025.0,2,53,64,67,69,70,53,55,33,63,50,55,50,56,49,69,65,71,61,62,191
15723,Salazar,ST,60,80,675000.0,8000.0,18,177,2022.0,3,53,64,48,70,59,55,44,33,60,51,54,52,54,67,60,67,49,61,63,177
15251,D. Chávez,"ST, LM, CAM",60,63,325000.0,4000.0,26,185,2026.0,3,53,60,71,62,54,63,48,55,64,56,50,58,57,62,63,61,71,62,55,185
11199,N. Mezquida,"CAM, ST",64,64,575000.0,2000.0,29,168,2025.0,3,53,60,45,55,55,62,64,72,68,68,40,84,64,85,67,41,50,63,43,168
3594,Hélton Celanova,ST,72,72,2300000.0,21000.0,29,180,2024.0,3,53,76,73,73,76,71,77,52,73,53,53,68,67,56,86,68,88,74,76,180
19187,P. Kyum,ST,48,53,70000.0,3000.0,20,172,2021.0,2,53,50,39,55,55,38,39,30,41,52,53,50,52,81,44,69,35,48,56,172
